Device;Load Type;Profile;Number of Activations
Bathroom Light (20W);Apparent;Bath - light [Synthetic for Light Device];15
Bathroom Light (20W);Electricity;Bath - light [Synthetic for Light Device];15
Bathroom Light (20W);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];15
Bathroom Light (20W);Reactive;Bath - light [Synthetic for Light Device];15
Bathroom Mirror Light 10 W (LED);Apparent;Bath - light [Synthetic for Light Device];15
Bathroom Mirror Light 10 W (LED);Electricity;Bath - light [Synthetic for Light Device];15
Bathroom Mirror Light 10 W (LED);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];15
Bathroom Mirror Light 10 W (LED);Reactive;Bath - light [Synthetic for Light Device];15
Bathroom Sink 5 L/Min;Warm Water;0 h 01 min 100% [Synthetic];43
Bathroom Sink 5 L/Min;Warm Water;0 h 01 min 50% [Synthetic];6
Bed 1;None;08 h 0 min 100% [Synthetic];5
Bed 2;None;08 h 0 min 100% [Synthetic];5
Bedroom Light (20W);Apparent;Bedroom - light [Synthetic for Light Device];173
Bedroom Light (20W);Electricity;Bedroom - light [Synthetic for Light Device];173
Bedroom Light (20W);Inner Device Heat Gains;Bedroom - light [Synthetic for Light Device];173
Bedroom Light (20W);Reactive;Bedroom - light [Synthetic for Light Device];173
Blender Vitamix Moulinex;Apparent;Profile for Blender Vitamix Moulinex Apparent [Measurement by ZSW (1min)];9
Blender Vitamix Moulinex;Electricity;Profile for Blender Vitamix Moulinex Electricity [Measurement by ZSW (1min)];9
Blender Vitamix Moulinex;Inner Device Heat Gains;Profile for Blender Vitamix Moulinex Electricity [Measurement by ZSW (1min)];9
Blender Vitamix Moulinex;Reactive;Profile for Blender Vitamix Moulinex Reactive [Measurement by ZSW (1min)];9
Book;None;0 h 01 min 100% [Synthetic];192
CD/DVD Player / Philips DVDR 725 H;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Philips DVDR 725 H;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Philips DVDR 725 H;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Canon CanoScan LIDE 110;Apparent;0 h 10 min 100% [Synthetic];2
Canon CanoScan LIDE 110;Electricity;0 h 10 min 100% [Synthetic];2
Canon CanoScan LIDE 110;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];2
Canon CanoScan LIDE 110;Reactive;0 h 10 min 100% [Synthetic];2
Christopeit Treadmill TM 2 Pro;Apparent;0 h 30 min 100% [Synthetic];1
Christopeit Treadmill TM 2 Pro;Electricity;0 h 30 min 100% [Synthetic];1
Christopeit Treadmill TM 2 Pro;Inner Device Heat Gains;0 h 30 min 100% [Synthetic];1
Christopeit Treadmill TM 2 Pro;Reactive;0 h 30 min 100% [Synthetic];1
Clatronic MS 3249 Milk Foamer;Apparent;0 h 10 min 100% [Synthetic];1
Clatronic MS 3249 Milk Foamer;Electricity;0 h 10 min 100% [Synthetic];1
Clatronic MS 3249 Milk Foamer;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];1
Clatronic MS 3249 Milk Foamer;Reactive;0 h 10 min 100% [Synthetic];1
Couch;None;02 h 0 min 100% [Synthetic];6
Dishwasher NEFF SD6P1F (2011);Apparent;Profile for Dishwasher NEFF SD6P1F (2011) Apparent [Measurement by ZSW (1min)];1
Dishwasher NEFF SD6P1F (2011);Cold Water;0 h 05 min 100% [Synthetic];1
Dishwasher NEFF SD6P1F (2011);Electricity;Profile for Dishwasher NEFF SD6P1F (2011) Electricity [Measurement by ZSW (1min)];1
Dishwasher NEFF SD6P1F (2011);Inner Device Heat Gains;Profile for Dishwasher NEFF SD6P1F (2011) Electricity [Measurement by ZSW (1min)];1
Dishwasher NEFF SD6P1F (2011);Reactive;Profile for Dishwasher NEFF SD6P1F (2011) Reactive [Measurement by ZSW (1min)];1
Dryer / Miele T 8626 WP;Apparent;Dryer Profile 2h [Measured 1 min resolution];1
Dryer / Miele T 8626 WP;Electricity;Dryer Profile 2h [Measured 1 min resolution];1
Dryer / Miele T 8626 WP;Inner Device Heat Gains;Dryer Profile 2h [Measured 1 min resolution];1
Dryer / Miele T 8626 WP;Reactive;Dryer Profile 2h [Measured 1 min resolution];1
Egg Cooker / Russell Hobbs 14048-56 Stylo;Apparent;0 h 05 min 100% [Synthetic];8
Egg Cooker / Russell Hobbs 14048-56 Stylo;Electricity;0 h 05 min 100% [Synthetic];8
Egg Cooker / Russell Hobbs 14048-56 Stylo;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];8
Egg Cooker / Russell Hobbs 14048-56 Stylo;Reactive;0 h 05 min 100% [Synthetic];8
