Reactive.Time;Time span;Bathroom Light (20W) [var];Bathroom Mirror Light 10 W (LED) [var];Kitchen Light (20W) [var];Living Room Light (Energy Saving Lamp, 20W) [var];Bedroom Light (20W) [var];Egg Cooker / Russell Hobbs 14048-56 Stylo [var];Juicer / Moulinex Vitafruit [var];Kitchen radio / AEG KRC 4323 CD [var];Single Stove Plate [var];Nespresso Coffee Machine, Single Cup [var];Food Slicer / DOMO Schneidemaschine DO521S [var];Toaster Salco MT 400 [var];Electric Kettle / Petra WK288 1.5L [var];PC / Acer 8400 [var];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [var];Epson Stylus Color 860 [var];TASKalfa 180 [var];Canon CanoScan LIDE 110 [var];External Harddrive Iomega 3.5" [var];Miele DA 61 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [var];Christopeit Treadmill TM 2 Pro [var];Hedge Trimmer / Bosch AHS 550-24 ST [var];Atika LH 2500 G [var];Lawn Mower / Sabo 32-EL [var];Hair Dryer Braun Silencio 1250 [var];Laptop Sony Vaio SVE151G11M [var];Energy Saving Lamp / EL-REF 11 E27 [var];CD/DVD Player / Philips DVDR 725 H [var];TV Medion MD20123_DE_A [var];SAT Receiver / Kathrein UFS913 [var];Blender Vitamix Moulinex [var];AFK BM-2N [var];Miele DG 1450 [var];Handmixer / Phillips Robust HR 1581 [var];Clatronic MS 3249 Milk Foamer [var];Dishwasher NEFF SD6P1F (2011) [var];Dryer / Miele T 8626 WP [var];Steam Iron / Phillips GC 4410 [var];Washing Machine / Bosch WAE 28143 [var];Sony PlayStation 3 [var];Canister vacuum cleaner / Siemens VS 06 G 1831 [var];Siemens Kl 20 LA 65 (A+) [var];Router O2 Box 6431 [var];Phone Siemens Gigaset C320 [var];Electric Toothbrush Dondodent Professional Clean [var];Electric Razor Braun Cruzer 5 [var];
0;00:00:00;0;0;0;0;0;0;0;0,2743806883924463;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;0;0,3413230009043466;0,26850393174962234;0,05140386088889503;0,5559381975566398;0;0;0;0;0;0;0;0;-20,4813249016393;-25,7462983606557;0;0,21597452773989162;-49,8641131147541;0,27606895235283924;0;0;0;0;0;-171,672098360656;0;0;0;1,0036469110426391;0;0;-9,95073016393443;3,33918672131147;-4,17003360655738;-0,227673278688525;
1;00:01:00;0;0;0;0;0;0;0;0,2872932917798839;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;0;0,3429713967687939;0,2722400976575077;0,05147442023976571;0,5604347814012272;0;0;0;0;0;0;0;0;-20,4813249016393;-25,7462983606557;0;0,22508790672287293;-49,8022803278688;0,28015783956612705;0;0;0;0;0;-160,234491803279;0;0;0;1,00877435507548;0;0;-9,95073016393443;3,33918672131147;-4,17003360655738;-0,227673278688525;
2;00:02:00;0;0;0;0;0;0;0;0,28791776326270185;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;0;0,3442587094559782;0,27424524927715777;0,051689793125286015;0,5799740156043148;0;0;0;0;0;0;0;0;-17,0260885245902;-25,7462983606557;0;0,231389073494522;-49,8014147540984;0,282915689783042;0;0;0;0;0;-160,193459016393;0;0;0;1,0376499927236178;0;0;-9,95073016393443;3,33918672131147;-4,17003360655738;-0,227673278688525;
3;00:03:00;0;0;0;0;0;0;0;0,2970151836392719;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;0;0,34546512462174744;0,2758370172276026;0,053455067559462416;0,5828557228004642;0;0;0;0;0;0;0;0;-16,9780360655738;-25,7462983606557;0;0,23274317926197247;-49,8014147540984;0,29482601098726974;0;0;0;0;0;-159,999114754098;0;0;0;1,0399354174532385;0;0;-9,95073016393443;3,33918672131147;-4,17003360655738;-0,227673278688525;
4;00:04:00;0;0;0;0;0;0;0;0,3035912298076193;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;0;0,3499973310446303;0,28259944304502616;0,053887550282401706;0,5835867024142097;0;0;0;0;0;0;0;0;-16,9780360655738;-25,7462983606557;0;0,23334673243168708;-49,7987213114754;0,2956783423641459;0;0;0;0;0;-159,786;0;0;0;1,040963280406707;0;0;-9,95073016393443;3,33918672131147;-4,17003360655738;-0,227673278688525;
5;00:05:00;0;0;0;0;0;0;0;0,309128734256897;-25,7309901639344;-21,6467368852459;0;-38,8099229508197;0;0,3546550811844744;0,2847149925705133;0,0540319747681936;0,5847043554141266;0;0;0;0;0;0;0;0;-16,9660196721312;-25,7462983606557;0;0,2349797399403959;-49,7912672131147;0,2977032024719738;0;0;0;0;0;-159,733409836066;0;0;0;1,0502358004748273;0;0;-9,95073016393443;3,33918672131147;-4,17003360655738;-0,227673278688525;
6;00:06:00;0;0;0;0;0;0;0;0,3130089923989983;-25,7309901639344;-21,6467368852459;0;-38,8099229508197;0;0,35873548939079136;0,28612837448076817;0,054187092569466744;0,5879883944627378;0;0;0;0;0;0;0;0;-16,9507918032787;-25,7462983606557;0;0,24150257720828366;-49,7764;0,299076425961165;0;0;0;0;0;-159,079557377049;0;0;0;1,058409274876072;0;0;-9,95073016393443;3,33918672131147;-4,17003360655738;-0,227673278688525;
7;00:07:00;0;0;0;0;0;0;0;0,31309682535280975;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0;0,3633172536034461;0,2865312671938052;0,054488049902376094;0,5919058062901854;0;0;0;0;0;0;0;0;-16,9507918032787;-25,7462983606557;0;0,24261386910954577;-49,7395836065574;0,3052268713898281;0;0;0;0;0;-158,966639344262;0;0;0;1,0630730860259252;0;0;-9,95073016393443;3,33918672131147;-4,17003360655738;-0,227673278688525;
8;00:08:00;0;0;0;0;0;0;0;0,3140271817174531;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0;0,36608337141604647;0,28677614845961075;0,05568727974574014;0,5932637525273752;0;0;0;0;0;0;0;0;-16,9319475409836;-25,7462983606557;0;0,24409974698246198;-49,7395836065574;0,30584963530428144;0;0;0;0;0;-158,545524590164;0;0;0;1,0659934594960923;0;0;-9,95073016393443;3,33918672131147;-4,17003360655738;-0,227673278688525;
9;00:09:00;0;0;0;0;0;0;0;0,3145239559240935;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0;0,3698798957096247;0,28940466848606966;0,05610858487971608;0,5943203704989155;0;0;0;0;0;0;0;0;-16,882993442623;-25,7462983606557;0;0,24694163211300876;-49,7188573770492;0,30771601342600513;0;0;0;0;0;-158,100278688525;0;0;0;1,0671545167449075;0;0;-9,95073016393443;3,33918672131147;-4,17003360655738;-0,227673278688525;
10;00:10:00;0;0;0;0;0;0;0;0,31629549353229486;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0;0,3778359140707247;0,290255098758438;0,05630599828057759;0,5957721412309035;0;0;0;0;0;0;0;0;-16,882993442623;-25,7462983606557;0;0,24718650150055085;-49,6807426229508;0,31220765177666127;0;0;0;0;0;-157,861049180328;0;0;0;1,0678084874938665;0;0;-9,95073016393443;3,33918672131147;-4,17003360655738;-0,227673278688525;
11;00:11:00;0;0;0;0;0;0;0;0,3163719925552136;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0;0,37846823711648697;0,2905689516995433;0,056385711916872965;0,5972805922970557;0;0;0;0;0;0;0;0;-16,882993442623;-25,7462983606557;0;0,24762542664581788;-49,6377295081967;0,3128447926628713;0;0;0;0;0;-157,855868852459;0;0;0;1,0730370583963356;0;0;-9,95073016393443;3,33918672131147;-4,17003360655738;-0,227673278688525;
12;00:12:00;0;0;0;0;0;0;0;0,3170836617838662;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0;0,37983215820550853;0,29131973213600854;0,056528697846494814;0,5973088411453837;0;0;0;0;0;0;0;0;-16,8791885245902;-25,7462983606557;0;0,2480036539349826;-49,6098721311475;0,31363280155484297;0;0;0;0;0;-157,716836065574;0;0;0;1,0774971486608682;0;0;-9,95073016393443;3,33918672131147;-4,17003360655738;-0,227673278688525;
