-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,00012583266138316306;0,8174;;
Dishwashing;1,537861464795081E-05;0,0999;;
Laundry;1,2728885914115441E-05;0,0827;;

Sum;0,00015394016194522931;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;3,349999999999999E-06;0,0218;301,3;
Office;2,129176344853587E-05;0,1383;414,8;
Cooling;7,4954043572222164E-06;0,0487;333,1;
TV/Audio;7,912744919371838E-06;0,0514;399,7;
Washing;2,056134351910245E-05;0,1336;136,8;
Cooking;4,1690295369218405E-05;0,2708;329,1;
Dish washing;1,537861464795081E-05;0,0999;145,9;
Other;9,013597219168697E-06;0,0586;212,7;
Drying;2,724639846465906E-05;0,1770;155;

Sum;0,00015394016194522931;1;
