-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,00012583266138316306;0,9713;;
Dishwashing;2,0330528564590967E-06;0,0157;;
Laundry;1,6879609581761788E-06;0,0130;;

Sum;0,00012955367519779836;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;3,349999999999999E-06;0,0259;;
Office;2,129176344853587E-05;0,1643;;
Cooling;7,4954043572222164E-06;0,0579;;
TV/Audio;7,912744919371838E-06;0,0611;;
Washing;9,520418563163191E-06;0,0735;;
Cooking;4,1690295369218405E-05;0,3218;;
Dish washing;2,0330528564590967E-06;0,0157;;
Other;9,013597219168697E-06;0,0696;;
Drying;2,724639846465906E-05;0,2103;;

Sum;0,00012955367519779836;1;
