-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;1,9566261487168658E-05;0,9520;;
Dishwashing;-3,1971319307832406E-06;-0,1556;;
Laundry;4,183782476604873E-06;0,2036;;

Sum;2,055291203299029E-05;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;1,101091752349192E-06;0,0536;;
Office;-3,2489895072772173E-06;-0,1581;;
Cooling;7,4954043572222164E-06;0,3647;;
TV/Audio;2,535374008963729E-06;0,1234;;
Washing;2,5276289860265516E-06;0,1230;;
Cooking;1,4214501313606994E-06;0,0692;;
Dish washing;-3,1971319307832406E-06;-0,1556;;
Other;2,962626136425152E-06;0,1441;;
Drying;8,955458098703207E-06;0,4357;;

Sum;2,055291203299029E-05;1;
