Timestep;Time span;Sum [Watt]
0;00:00:00;4838,952571624035
1;00:01:00;4403,908542321542
2;00:02:00;4400,498252241529
3;00:03:00;4008,2725892247036
4;00:04:00;3988,826058919644
5;00:05:00;3145,867950851541
6;00:06:00;3028,591152676168
7;00:07:00;3010,6050592672705
8;00:08:00;2928,9706897630795
9;00:09:00;2916,573165306669
10;00:10:00;2906,0900225399446
11;00:11:00;2898,288852346607
12;00:12:00;2876,0913134581792
13;00:13:00;2867,350565274082
14;00:14:00;2835,9599225774755
15;00:15:00;2835,837486668186
16;00:16:00;2829,1332341746447
17;00:17:00;2828,6622185802553
18;00:18:00;2828,320301872943
19;00:19:00;2819,4993505770035
20;00:20:00;2816,110351336506
21;00:21:00;2810,8136448467408
22;00:22:00;2810,631393211571
23;00:23:00;2801,9989263655198
24;00:24:00;2794,801459810406
25;00:25:00;2791,199402879595
26;00:26:00;2765,6550683285523
27;00:27:00;2747,7208260320576
28;00:28:00;2739,3017020694183
29;00:29:00;2694,4302547119596
30;00:30:00;2684,4846660564162
31;00:31:00;2681,5823916710524
32;00:32:00;2661,5361153656145
33;00:33:00;2639,1368383605172
34;00:34:00;2605,818419565403
35;00:35:00;2556,246813035583
36;00:36:00;2535,3500985793344
37;00:37:00;2524,740491514778
38;00:38:00;2505,8369517485007
39;00:39:00;2458,9320398931823
40;00:40:00;2419,532524671871
41;00:41:00;2400,595158964993
42;00:42:00;2386,9581366009297
43;00:43:00;2383,0447557053344
44;00:44:00;2368,100551854805
45;00:45:00;2360,3210339275815
46;00:46:00;2346,2590881378464
47;00:47:00;2341,77993825722
48;00:48:00;2339,1371158141487
49;00:49:00;2327,7595244847007
50;00:50:00;2327,6521301330476
51;00:51:00;2278,899575028018
52;00:52:00;2276,4123442485334
53;00:53:00;2276,0417603499895
54;00:54:00;2268,5002803598836
55;00:55:00;2234,5044295219664
56;00:56:00;2204,165684486724
57;00:57:00;2199,636404278944
58;00:58:00;2199,0670695864765
59;00:59:00;2194,3022585944905
60;01:00:00;2190,177680587891
61;01:01:00;2180,9395222085664
62;01:02:00;2180,349519603887
63;01:03:00;2174,062460389532
64;01:04:00;2172,845903219331
65;01:05:00;2150,5945782246445
66;01:06:00;2136,0980529968447
67;01:07:00;2125,947339894107
68;01:08:00;2121,0058513280096
69;01:09:00;2117,9198499266336
70;01:10:00;2114,0325961088492
71;01:11:00;2094,277993702986
72;01:12:00;2078,04215299091
73;01:13:00;2074,5538774491433
74;01:14:00;2073,565551554222
75;01:15:00;2066,1226210354416
76;01:16:00;2045,0123995575934
77;01:17:00;2039,6819928547811
78;01:18:00;2016,7171963005198
79;01:19:00;2000,054283139103
80;01:20:00;1977,1444922186815
81;01:21:00;1882,9821976739465
82;01:22:00;1877,5669424500056
83;01:23:00;1847,6216741080575
84;01:24:00;1839,4108559265874
85;01:25:00;1791,6483381887483
86;01:26:00;1778,6924283312665
87;01:27:00;1751,7149571263194
88;01:28:00;1750,2681087814376
89;01:29:00;1741,8274431570792
90;01:30:00;1734,5130652245873
91;01:31:00;1725,862785661719
92;01:32:00;1708,906632891537
93;01:33:00;1698,5747924271095
94;01:34:00;1679,8886930073681
95;01:35:00;1679,2901642114243
96;01:36:00;1675,397340082799
97;01:37:00;1673,0978312908653
98;01:38:00;1669,8546971402288
99;01:39:00;1668,9135444889425
100;01:40:00;1668,1083188414082
101;01:41:00;1667,4889501672012
102;01:42:00;1665,5925651635018
103;01:43:00;1664,5924047170656
104;01:44:00;1663,0063999611398
105;01:45:00;1662,821345088231
106;01:46:00;1657,1075530877156
107;01:47:00;1655,2024746500729
108;01:48:00;1652,3799897944677
109;01:49:00;1646,9903997605118
110;01:50:00;1646,634448263643
111;01:51:00;1644,7126158536323
112;01:52:00;1643,171665671855
113;01:53:00;1641,3509165169542
114;01:54:00;1634,1369715377593
115;01:55:00;1633,0150138270515
116;01:56:00;1631,300643471154
117;01:57:00;1631,2051577282516
118;01:58:00;1624,1412054604043
119;01:59:00;1623,1984062580925
120;02:00:00;1621,6022541992513
121;02:01:00;1617,2114580301704
122;02:02:00;1614,8044023765747
123;02:03:00;1614,1438562839642
124;02:04:00;1612,4610329370046
125;02:05:00;1611,246135334154
126;02:06:00;1607,9969181060671
127;02:07:00;1607,857973366101
128;02:08:00;1606,0340592458788
129;02:09:00;1605,0121651271654
130;02:10:00;1602,4009146721658
131;02:11:00;1599,526805135115
132;02:12:00;1595,5066343077963
133;02:13:00;1594,3969751125562
134;02:14:00;1593,3867894134305
135;02:15:00;1592,7234433583449
136;02:16:00;1591,1769362906505
137;02:17:00;1591,0766297678888
138;02:18:00;1590,9274667872883
139;02:19:00;1590,8377976776314
140;02:20:00;1589,8588297645754
141;02:21:00;1587,0101465007363
142;02:22:00;1582,4697369572302
143;02:23:00;1581,6995905136123
144;02:24:00;1579,970220678948
145;02:25:00;1579,3013137689768
146;02:26:00;1577,6614658074554
147;02:27:00;1576,591606396619
148;02:28:00;1576,545482476286
149;02:29:00;1574,2913746182674
150;02:30:00;1573,023031514777
151;02:31:00;1571,0769950271733
152;02:32:00;1564,8665788711046
153;02:33:00;1563,377960327102
154;02:34:00;1561,9286087843752
155;02:35:00;1561,2319240397887
156;02:36:00;1560,8369248566967
157;02:37:00;1560,2029808224904
158;02:38:00;1559,1986316843982
159;02:39:00;1558,8171185721744
160;02:40:00;1557,7323774726715
161;02:41:00;1555,1880990552788
162;02:42:00;1551,4715420232694
163;02:43:00;1550,6183207598401
164;02:44:00;1547,9017281515025
165;02:45:00;1545,0613703151994
166;02:46:00;1543,7908231662486
167;02:47:00;1542,615847468656
168;02:48:00;1542,5533923921666
169;02:49:00;1535,9561394207576
170;02:50:00;1534,1088120009597
171;02:51:00;1529,7484919050967
