Device;Load Type;Profile;Number of Activations
Bathroom Light (200W);Apparent;Bath - light [Synthetic for Light Device];15
Bathroom Light (200W);Electricity;Bath - light [Synthetic for Light Device];15
Bathroom Light (200W);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];15
Bathroom Light (200W);Reactive;Bath - light [Synthetic for Light Device];15
Bathroom Mirror Light 30W (CFL);Apparent;Bath - light [Synthetic for Light Device];15
Bathroom Mirror Light 30W (CFL);Electricity;Bath - light [Synthetic for Light Device];15
Bathroom Mirror Light 30W (CFL);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];15
Bathroom Mirror Light 30W (CFL);Reactive;Bath - light [Synthetic for Light Device];15
Bathroom Sink 5 L/Min;Warm Water;0 h 01 min 100% [Synthetic];65
Bathroom Sink 5 L/Min;Warm Water;0 h 01 min 50% [Synthetic];10
Bed 1;None;08 h 0 min 100% [Synthetic];5
Bed 2;None;10 h 0 min 100% [Synthetic];5
Bed 3 (Children);None;10 h 0 min 100% [Synthetic];5
Bedroom Light (200W);Apparent;Bedroom - light [Synthetic for Light Device];241
Bedroom Light (200W);Electricity;Bedroom - light [Synthetic for Light Device];241
Bedroom Light (200W);Inner Device Heat Gains;Bedroom - light [Synthetic for Light Device];241
Bedroom Light (200W);Reactive;Bedroom - light [Synthetic for Light Device];241
Board Games;None;01 h 0 min 100% [Synthetic];2
Book;None;0 h 01 min 100% [Synthetic];389
Bread Baking Machine Unold 6595;Apparent;Profile for Bread Baking Machine Unold 6595 Apparent [Measured 1 min Resolution (TUC)];1
Bread Baking Machine Unold 6595;Electricity;Profile for Bread Baking Machine Unold 6595 Electricity [Measured 1 min Resolution (TUC)];1
Bread Baking Machine Unold 6595;Inner Device Heat Gains;Profile for Bread Baking Machine Unold 6595 Electricity [Measured 1 min Resolution (TUC)];1
Bread Baking Machine Unold 6595;Reactive;Profile for Bread Baking Machine Unold 6595 Electricity [Measured 1 min Resolution (TUC)];1
CD/DVD Player / Phillips HDR3810/31;Apparent;01 h 30 min 100% [Synthetic];5
CD/DVD Player / Phillips HDR3810/31;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];121
CD/DVD Player / Phillips HDR3810/31;Electricity;01 h 30 min 100% [Synthetic];5
CD/DVD Player / Phillips HDR3810/31;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];121
CD/DVD Player / Phillips HDR3810/31;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];5
CD/DVD Player / Phillips HDR3810/31;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];121
CD/DVD Player / Phillips HDR3810/31;Reactive;01 h 30 min 100% [Synthetic];5
CD/DVD Player / Phillips HDR3810/31;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];121
Canon CanoScan LIDE 110;Apparent;0 h 10 min 100% [Synthetic];1
Canon CanoScan LIDE 110;Electricity;0 h 10 min 100% [Synthetic];1
Canon CanoScan LIDE 110;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];1
Canon CanoScan LIDE 110;Reactive;0 h 10 min 100% [Synthetic];1
Christopeit Treadmill TM 2 Pro;Apparent;0 h 30 min 100% [Synthetic];5
Christopeit Treadmill TM 2 Pro;Electricity;0 h 30 min 100% [Synthetic];5
Christopeit Treadmill TM 2 Pro;Inner Device Heat Gains;0 h 30 min 100% [Synthetic];5
Christopeit Treadmill TM 2 Pro;Reactive;0 h 30 min 100% [Synthetic];5
Couch;None;02 h 0 min 100% [Synthetic];3
Digitalpiano / Kawai CN-23;Apparent;01 h 0 min 100% [Synthetic];5
Digitalpiano / Kawai CN-23;Electricity;01 h 0 min 100% [Synthetic];5
Digitalpiano / Kawai CN-23;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];5
Digitalpiano / Kawai CN-23;Reactive;01 h 0 min 100% [Synthetic];5
