Tag + Time Used [60 seconds];CHR03 Fin (43/Male);CHR03 Luka (10/Male);CHR03 Ava (40/Female);
wake up by alarm clock A;364;0;0;
get ready in the morning (men);24;0;0;
eat small breakfast (25min) interruping subaff, no alarm;54;27;51;
take a shower (men);44;19;0;
watch a movie for 2 h with home cinema system;140;137;0;
work at the office (09 h);1097;0;0;
go to the toilet;17;15;24;
go shopping for food in the supermarket (1_5 h);99;0;0;
use the laptop for Internet, Movie, Music, News (2 h);182;270;118;
cook for the family after 16:30;117;118;289;
play Wii;65;0;0;
sleep bed 01 (08 h);496;0;0;
exercise for 30 min on the treadmill;31;0;27;
play board games (1 h);54;50;40;
run the dishwasher (triggered);16;0;0;
bake bread;80;0;0;
wake up by alarm clock C;0;397;0;
get ready in the morning (children);0;10;0;
go to primary school for 6h every day, with vacation;0;739;0;
watch a movie for 1 h 30 min with home cinema system;0;91;0;
relax in the garden 2;0;63;0;
use the computer (1_5 h);0;75;91;
play digital piano (1 h);0;57;0;
sleep bed 03 (10 h) Child;0;710;0;
play in the garden;0;75;0;
use the laptop (1 h);0;27;0;
wake up by alarm clock B;0;0;422;
get ready in the morning (women);0;0;42;
work as teacher;0;0;1097;
take a shower with hair washing (women) (5 min hair drying);0;0;57;
do laundry at 30°C (by variable);0;0;14;
open bathroom window;0;0;5;
sleep bed 02 (10 h);0;0;528;
run the dryer with wet laundry, only below 15°C (by variable);0;0;15;
take a shower without hair washing (women);0;0;60;
