Apparent.Time;Time span;Bedroom Light (200W) [VA];Living Room Light (Energy Saving Lamp, 20W) [VA];Kitchen Light (60W) [VA];Bathroom Light (200W) [VA];Bathroom Mirror Light 30W (CFL) [VA];Children Room Light Device (20W) [VA];Bread Baking Machine Unold 6595 [VA];Toaster Salco MT 400 [VA];Single Stove Plate [VA];Electric Kettle / Petra WK288 1.5L [VA];Oven / AEG B 33512-5-M [VA];Handmixer / Phillips Robust HR 1581 [VA];PC / Acer Aspire T310 [VA];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [VA];Epson Stylus Color 860 [VA];TASKalfa 180 [VA];Canon CanoScan LIDE 110 [VA];External Harddrive Iomega 3.5" [VA];Food Slicer / DOMO Schneidemaschine DO521S [VA];Miele DA 61 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [VA];Dehumidifier / Trotec TTK 50 S [VA];Dryer / Miele T 8626 WP [VA];Christopeit Treadmill TM 2 Pro [VA];Hedge Trimmer / Bosch AHS 550-24 ST [VA];Atika LH 2500 G [VA];Lawn Mower / Sabo 32-EL [VA];Laptop / ACER BT.00603.043 Replacement laptop battery [VA];SAT Receiver / Kathrein UFS913 [VA];Steam Iron / Phillips GC 4410 [VA];TV / Phillips Goya 9770 VT [VA];Washing Machine Samsung P1405J [VA];Asviva High End Wellness Massage Seat [VA];CD/DVD Player / Phillips HDR3810/31 [VA];Home Cinema System / Samsung HT-D5550 [VA];Digitalpiano / Kawai CN-23 [VA];Hifi System / Sharp XL-HF300PH [VA];Hair Dryer / Braun Satin Pro 2200 Ion Care [VA];LED Lamp Globe E 14 Ambient 3W matt [VA];Nintendo Wii [VA];Microsoft Xbox 360 [VA];Egg Cooker / Russell Hobbs 14048-56 Stylo [VA];Kitchen radio / AEG KRC 4323 CD [VA];Nespresso Coffee Machine, Single Cup [VA];Moulinex electronic 833 [VA];Dishwasher NEFF SD6P1F (2011) [VA];Canister vacuum cleaner / Siemens VS 06 G 1831 [VA];Liebherr CBNPes 3956 [VA];Router O2 Box 6431 [VA];Electric Tooth Brush / Phillips HX9332 [VA];Phone Siemens Gigaset C320 [VA];Smartphone Samung S4 [VA];Electric Razor / Phillips PT860/16 Razor PowerTouch Plus [VA];
0;00:00:00;0;0;0;0;-50,25141269704839;0;0;0;0;0;0;0;1,9944111354072647;0,8690665132629751;0,1678620655093579;1,7101104278423498;0;0;0;0;0;0;0;0;0;0;0;4,972508372639697;0,9277516015170287;0;1,5984830433987751;0;0;0,47552013150817374;1,3279650194822321;0;1,9165729927062871;0;0;1,292768570822281;2,0580740050333612;0;0,9438023149651935;0;0;0;0;0;11,3268114754098;1,2901389401265937;4,31627770491803;0;0,14051974556926508;
1;00:01:00;0;0;0;0;-42,058995323746196;0;0;0;0;0;0;0;2,0643287190095214;0,8703539243359852;0,1697135841013458;1,7371973770837563;0;0;0;0;0;0;0;0;0;0;0;4,994738439207775;0,9310183879684567;0;1,7216255937547564;0;0;0,5275991887034461;1,4574857510106278;0;2,0184762953355704;0;0;1,3041857865886168;2,425465622602412;0;0,953244780512942;0;0;0;0;0;11,3268114754098;1,3257030244159411;4,31627770491803;0;0,14518339125768134;
2;00:02:00;0;0;0;0;-40,62852543504146;0;0;0;0;0;0;0;2,0729137295900353;0,8719548456919168;0,1702590011058976;1,7584876593662253;0;0;0;0;0;0;0;0;0;0;0;5,045373649332104;0,9392451107870966;0;1,7720937928008629;0;0;0,5461467293216384;1,4777234025822388;0;2,041931725987346;0;0;1,3094755591601286;2,4720189192523168;0;0,9535823601729102;0;0;0;0;0;11,3268114754098;1,387773374989761;4,31627770491803;0;0,14529772258805157;
3;00:03:00;0;0;0;0;-39,5003588311996;0;0;0;0;0;0;0;2,1285575428420755;0,8722894421819002;0,17442175851046846;1,7756939624547603;0;0;0;0;0;0;0;0;0;0;0;5,117874560255555;0,9432047338157794;0;1,7767163251449298;0;0;0,5485392176237716;1,5013082303111227;0;2,0852426809780527;0;0;1,378805024240887;2,5209391463563877;0;0,9611404600870661;0;0;0;0;0;11,3268114754098;1,4290528180850557;4,31627770491803;0;0,1511614371684999;
4;00:04:00;0;0;0;0;-36,08420826463151;0;0;0;0;0;0;0;2,1310651030626278;0,8797770056913041;0,1759118056804455;1,8354113135766597;0;0;0;0;0;0;0;0;0;0;0;5,154534143035424;0,9609059300417793;0;1,782991662940791;0;0;0,5586811142391321;1,5203683172735647;0;2,1118574986021157;0;0;1,387392500152306;2,5355473002582567;0;0,9659085927877847;0;0;0;0;0;11,3268114754098;1,4613179319848044;4,31627770491803;0;0,1512184124596717;
5;00:05:00;0;0;0;0;-33,50452882743009;0;0;0;0;0;0;0;2,1655484373456817;0,8839926803265482;0,17778456571084206;1,8624413459045948;0;0;0;0;0;0;0;0;0;0;0;5,180092554058005;0,9726706835776353;0;1,8173647737895717;0;0;0,5618559449207399;1,5409487423600874;0;2,121618831843364;0;0;1,3894375227163498;2,5611958058070114;0;0,9733263358922825;0;0;0;0;0;11,3268114754098;1,4746307910069112;4,31627770491803;0;0,15183120835192584;
6;00:06:00;0;0;0;0;-28,16036311555681;0;0;0;0;0;0;0;2,1898932254077663;0,8936729729830429;0,17822105319386986;1,8639593553902787;0;0;0;0;0;0;0;0;0;0;0;5,2105631027752795;0,9801113017056571;0;1,853347503485755;0;0;0,5635507328802333;1,5419956784299222;0;2,166551791785036;0;0;1,399287669993421;2,6059066691522403;0;0,9742901996727914;0;0;0;0;0;11,3268114754098;1,478010874503907;4,31627770491803;0;0,1544593586510489;
7;00:07:00;0;0;0;0;-25,088456894299355;0;0;0;0;0;0;0;2,197139167944322;0,8964110585089017;0,17826141512973512;1,8694623508497445;0;0;0;0;0;0;0;0;0;0;0;5,219002230358142;0,9862309603206112;0;1,8826641569830316;0;0;0,5641826096196256;1,5504188558901089;0;2,1790729499756094;0;0;1,4037448430470465;2,6224639403240806;0;0,9793055733875996;0;0;0;0;0;11,3268114754098;1,4797819492204456;4,31627770491803;0;0,15482717607791258;
8;00:08:00;0;0;0;0;-24,21419317500403;0;0;0;0;0;0;0;2,206070493253106;0,903953292281551;0,1785318402090025;1,8719215262975257;0;0;0;0;0;0;0;0;0;0;0;5,240912691061498;0,9873189397126727;0;1,8863483319248433;0;0;0,5659611977062445;1,564301128765353;0;2,179800968353255;0;0;1,4207279854877324;2,632121778787917;0;0,9849589035273745;0;0;0;0;0;11,3268114754098;1,481774195623658;4,31627770491803;0;0,15495189883213156;
9;00:09:00;0;0;0;0;-23,41318936883476;0;0;0;0;0;0;0;2,2371507636383474;0,9260480911086764;0,17919300415038308;1,8791107667620246;0;0;0;0;0;0;0;0;0;0;0;5,270512782518549;0,9960088860838332;0;1,8894481479938694;0;0;0,5723444805126403;1,5658149348759594;0;2,1883223411363963;0;0;1,4375879764690942;2,6438819325808045;0;0,9969080838745549;0;0;0;0;0;11,3268114754098;1,4891233298897324;4,31627770491803;0;0,15510370518424652;
10;00:10:00;0;0;0;0;-21,656647617550178;0;0;0;0;0;0;0;2,251129410938502;0,9267368663879261;0,1793242064573916;1,8844919433011007;0;0;0;0;0;0;0;0;0;0;0;5,2736385590685435;0,9965768848461518;0;1,8974752805558628;0;0;0,5797550057539343;1,5669848423819335;0;2,191065065366006;0;0;1,4427343226711564;2,644292160360066;0;0,998560092609069;0;0;0;0;0;11,3268114754098;1,4994156203358529;4,31627770491803;0;0,15595530513518482;
11;00:11:00;0;0;0;0;-21,419346939419086;0;0;0;0;0;0;0;2,2524539918549036;0,9273079851174852;0,17963141015748568;1,8903009601468603;0;0;0;0;0;0;0;0;0;0;0;5,32089401186242;0,9971570616952189;0;1,9113871382925842;0;0;0,5830899920795747;1,5674671637036919;0;2,1976859757111726;0;0;1,443569238481894;2,6489640407267956;0;1,0088260457003864;0;0;0;0;0;11,3268114754098;1,502988952628469;4,31627770491803;0;0,15815454012706737;
