Inner Device Heat Gains.Time;Time span;Bedroom Light (200W) [Watt];Living Room Light (Energy Saving Lamp, 20W) [Watt];Kitchen Light (60W) [Watt];Bathroom Light (200W) [Watt];Bathroom Mirror Light 30W (CFL) [Watt];Children Room Light Device (20W) [Watt];Bread Baking Machine Unold 6595 [Watt];Toaster Salco MT 400 [Watt];Single Stove Plate [Watt];Electric Kettle / Petra WK288 1.5L [Watt];Oven / AEG B 33512-5-M [Watt];Handmixer / Phillips Robust HR 1581 [Watt];PC / Acer Aspire T310 [Watt];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [Watt];Epson Stylus Color 860 [Watt];TASKalfa 180 [Watt];Canon CanoScan LIDE 110 [Watt];External Harddrive Iomega 3.5" [Watt];Food Slicer / DOMO Schneidemaschine DO521S [Watt];Miele DA 61 [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [Watt];Dehumidifier / Trotec TTK 50 S [Watt];Dryer / Miele T 8626 WP [Watt];Christopeit Treadmill TM 2 Pro [Watt];Hedge Trimmer / Bosch AHS 550-24 ST [Watt];Atika LH 2500 G [Watt];Lawn Mower / Sabo 32-EL [Watt];Laptop / ACER BT.00603.043 Replacement laptop battery [Watt];SAT Receiver / Kathrein UFS913 [Watt];Steam Iron / Phillips GC 4410 [Watt];TV / Phillips Goya 9770 VT [Watt];Washing Machine Samsung P1405J [Watt];Asviva High End Wellness Massage Seat [Watt];CD/DVD Player / Phillips HDR3810/31 [Watt];Home Cinema System / Samsung HT-D5550 [Watt];Digitalpiano / Kawai CN-23 [Watt];Hifi System / Sharp XL-HF300PH [Watt];Hair Dryer / Braun Satin Pro 2200 Ion Care [Watt];LED Lamp Globe E 14 Ambient 3W matt [Watt];Nintendo Wii [Watt];Microsoft Xbox 360 [Watt];Egg Cooker / Russell Hobbs 14048-56 Stylo [Watt];Kitchen radio / AEG KRC 4323 CD [Watt];Nespresso Coffee Machine, Single Cup [Watt];Moulinex electronic 833 [Watt];Dishwasher NEFF SD6P1F (2011) [Watt];Canister vacuum cleaner / Siemens VS 06 G 1831 [Watt];Liebherr CBNPes 3956 [Watt];Router O2 Box 6431 [Watt];Electric Tooth Brush / Phillips HX9332 [Watt];Phone Siemens Gigaset C320 [Watt];Smartphone Samung S4 [Watt];Electric Razor / Phillips PT860/16 Razor PowerTouch Plus [Watt];
0;00:00:00;0;0;0;0;-47,738842062195964;0;0;0;0;0;0;0;1,8946905786369015;0,8256131875998262;0,15946896223389004;1,6246049064502324;0;0;0;0;0;0;0;0;0;0;0;4,745001517247386;0,8813640214411772;0;1,5185588912288364;0;0;0,4517441249327651;1,2615667685081204;0;1,8207443430709729;0;0;1,2281301422811666;1,955170304781693;0;0,8966121992169338;0;0;0;0;0;6,11708049180328;1,2256319931202642;2,72044196721312;0;0,13349375829080182;
1;00:01:00;0;0;0;0;-39,95604555755888;0;0;0;0;0;0;0;1,9611122830590455;0,8268362281191858;0,16122790489627853;1,6503375082295686;0;0;0;0;0;0;0;0;0;0;0;4,793104966865499;0,8844674685700339;0;1,6355443140670185;0;0;0,5012192292682738;1,3846114634600963;0;1,917552480568792;0;0;1,238976497259186;2,3041923414722913;0;0,9055825414872948;0;0;0;0;0;6,11708049180328;1,2594178731951442;2,72044196721312;0;0,1379242216947973;
2;00:02:00;0;0;0;0;-38,597099163289386;0;0;0;0;0;0;0;1,9692680431105334;0,8283571034073208;0,16174605105060272;1,670563276397914;0;0;0;0;0;0;0;0;0;0;0;4,896807435883653;0,8922828552477418;0;1,6834891031608197;0;0;0,5188393928555565;1,4038372324531267;0;1,939835139687979;0;0;1,244001781202122;2,3484179732897004;0;0,9059032421642647;0;0;0;0;0;6,11708049180328;1,318384706240273;2,72044196721312;0;0,138032836458649;
3;00:03:00;0;0;0;0;-37,525340889639615;0;0;0;0;0;0;0;2,0221296656999717;0,828674970072805;0,16570067058494506;1,6869092643320223;0;0;0;0;0;0;0;0;0;0;0;4,921087926355104;0,8960444971249903;0;1,6878805088876834;0;0;0,521112256742583;1,4262428187955665;0;1,9809805469291502;0;0;1,3098647730288424;2,394892189038568;0;0,9130834370827127;0;0;0;0;0;6,11708049180328;1,357600177180803;2,72044196721312;0;0,1436033653100749;
4;00:04:00;0;0;0;0;-34,27999785139994;0;0;0;0;0;0;0;2,0245118479094963;0,8357881554067387;0,16711621539642327;1,7436407478978266;0;0;0;0;0;0;0;0;0;0;0;4,9500349476365155;0,9128606335396902;0;1,6938420797937512;0;0;0,5307470585271755;1,4443499014098864;0;2,00626462367201;0;0;1,3180228751446903;2,4087699352453438;0;0,9176131631483954;0;0;0;0;0;6,11708049180328;1,3882520353855643;2,72044196721312;0;0,14365749183668813;
5;00:05:00;0;0;0;0;-31,829302386058586;0;0;0;0;0;0;0;2,0572710154783973;0,8397930463102206;0,16889533742529997;1,769319278609365;0;0;0;0;0;0;0;0;0;0;0;4,958052118840234;0,9240371493987535;0;1,7264965351000932;0;0;0,5337631476747029;1,4639013052420828;0;2,0155378902511956;0;0;1,319965646580532;2,433136015516661;0;0,9246600190976683;0;0;0;0;0;6,11708049180328;1,4008992514565657;2,72044196721312;0;0,14423964793432956;
6;00:06:00;0;0;0;0;-26,752344959778966;0;0;0;0;0;0;0;2,080398564137378;0,8489893243338906;0,16931000053417639;1,7707613876207648;0;0;0;0;0;0;0;0;0;0;0;5,006987143392621;0,9311057366203741;0;1,760680128311467;0;0;0,5353731962362216;1,464895894508426;0;2,0582242021957837;0;0;1,3293232864937496;2,4756113356946283;0;0,9255756896891518;0;0;0;0;0;6,11708049180328;1,4041103307787117;2,72044196721312;0;0,14673639071849645;
7;00:07:00;0;0;0;0;-23,834034049584385;0;0;0;0;0;0;0;2,087282209547106;0,8515905055834564;0,1693483443732484;1,7759892333072573;0;0;0;0;0;0;0;0;0;0;0;5,009956631115116;0,9369194123045805;0;1,7885309491338799;0;0;0,5359734791386443;1,4728979130956033;0;2,070119302476829;0;0;1,3335576008946939;2,4913407433078762;0;0,9303402947182196;0;0;0;0;0;6,11708049180328;1,4057928517594234;2,72044196721312;0;0,14708581727401696;
8;00:08:00;0;0;0;0;-23,003483516253826;0;0;0;0;0;0;0;2,0957669685904508;0,8587556276674733;0,1696052481985524;1,7783254499826495;0;0;0;0;0;0;0;0;0;0;0;5,054849311269299;0,9379529927270389;0;1,7920309153286011;0;0;0,5376631378209323;1,4860860723270854;0;2,0708109199355924;0;0;1,3496915862133456;2,500515689848521;0;0,9357109583510057;0;0;0;0;0;6,11708049180328;1,4076854858424752;2,72044196721312;0;0,147204303890525;
9;00:09:00;0;0;0;0;-22,24252990039302;0;0;0;0;0;0;0;2,12529322545643;0,8797456865532424;0,17023335394286396;1,7851552284239234;0;0;0;0;0;0;0;0;0;0;0;5,057187666787035;0,9462084417796415;0;1,794975740594176;0;0;0,5437272564870083;1,4875241881321615;0;2,0789062240795766;0;0;1,3657085776456392;2,511687835951764;0;0,9470626796808271;0;0;0;0;0;6,11708049180328;1,414667163395246;2,72044196721312;0;0,1473485199250342;
