Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Bedroom Light (200W);1,238596491228073;226,0438596491233;0;0;(no category);
Living Room Light (Energy Saving Lamp, 20W);0,6536842105262977;119,29736842104933;0;0;(no category);
Kitchen Light (60W);0,8168421052631532;149,07368421052544;0;0;(no category);
Bathroom Light (200W);0,8491228070175424;154,9649122807015;0;0;(no category);
Bathroom Mirror Light 30W (CFL);0,13277675216112036;24,231757269404465;0;0;(no category);
Children Room Light Device (20W);0;0;0;0;(no category);
Bread Baking Machine Unold 6595;0,34119567833333336;62,26821129583334;0;0;Kitchen equipment / Breadmaker;
Toaster Salco MT 400;0,6657561889330595;121,50050448028337;0;0;Kitchen equipment / Toaster;
Single Stove Plate;8,824249523484982;1610,4255380360091;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Electric Kettle / Petra WK288 1.5L;1,7891177069095636;326,51398151099534;0;0;Kitchen equipment / Electric kettle;
Oven / AEG B 33512-5-M;0;0;83;0;Kitchen equipment / Baking oven / Normal sized Baking oven;
Handmixer / Phillips Robust HR 1581;0;0;1;0;Kitchen equipment / Handmixer;
PC / Acer Aspire T310;0,6000034904829394;109,50063701313644;135;0,8111158297269366;Computers and Components / Computer / PC;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,4876678071942145;88,99937481294414;72;1,2361024279575574;Computers and Components / Monitor / TFT display;
Epson Stylus Color 860;0,016743732439809894;3,0557311702653056;30;0,10185770567551018;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,8626934491993155;157,44155447887508;29;5,429019119961209;Computers and Components / Computer component / Photocopier;
Canon CanoScan LIDE 110;0,0004943600228018696;0,09022070416134119;4;0,022555176040335297;Computers and Components / Computer component / Scanner;
External Harddrive Iomega 3.5";0,15983713129818594;29,170276461918935;0;0;Computers and Components / Computer component / External Harddrives;
Food Slicer / DOMO Schneidemaschine DO521S;0,07422068157603663;13,545274387626685;1;13,545274387626685;Kitchen equipment / Food slicer;
Miele DA 61;0,9606505168188813;175,31871931944582;16;10,957419957465364;Kitchen equipment / Extractor hood / Wall mounted;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;2,427148033913775;442,954516189264;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Dehumidifier / Trotec TTK 50 S;0;0;74,73684210526316;0;Devices for enviromental improvement / Air Dehumidifier;
Dryer / Miele T 8626 WP;1,7134470954334657;312,7040949166075;349;0,8960002719673568;Appliances / Dryer;
Christopeit Treadmill TM 2 Pro;2,531322391112652;461,96633637805894;200;2,309831681890295;Health equipment / Electronic hometrainer / Treadmill;
Hedge Trimmer / Bosch AHS 550-24 ST;0;0;1;0;Tools / Garden devices / Hedge trimmer;
Atika LH 2500 G;0;0;30;0;Tools / Garden devices / Garden Shredder;
Lawn Mower / Sabo 32-EL;0;0;127;0;Tools / Garden devices / Lawn mower;
Laptop / ACER BT.00603.043 Replacement laptop battery;2,605701660829529;475,54055310138904;17;27,972973711846414;Computers and Components / Computer / Laptop;
SAT Receiver / Kathrein UFS913;0,16807766933365031;30,674174653391184;31;0,9894895049481027;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Steam Iron / Phillips GC 4410;0;0;31;0;Appliances / Steam iron;
TV / Phillips Goya 9770 VT;1,9151906717510165;349,52229759456054;139;2,5145489035579893;Education and Entertainment equipment / Entertainment device / Television set;
Washing Machine Samsung P1405J;0,8410341199999994;153,4887268999999;0;0;Appliances / Washing machine;
Asviva High End Wellness Massage Seat;0;0;7;0;Health equipment / Massage Chair;
CD/DVD Player / Phillips HDR3810/31;0,206129549666729;37,618642814178045;33;1,1399588731569104;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
Home Cinema System / Samsung HT-D5550;0,7162837842609953;130,72179062763163;440;0,2970949786991628;Education and Entertainment equipment / Hifi devices / Home cinema system;
Digitalpiano / Kawai CN-23;0,2642691933045509;48,22912777808054;14;3,444937698434324;Education and Entertainment equipment / Music instrument / Digital piano;
Hifi System / Sharp XL-HF300PH;0;0;0;0;Education and Entertainment equipment / Hifi devices / Compact System;
Hair Dryer / Braun Satin Pro 2200 Ion Care;0,37089484675270556;67,68830953236876;54;1,2534872135623845;Bath devices / Hair dryer;
LED Lamp Globe E 14 Ambient 3W matt;0;0;13;0;Light;
Nintendo Wii;0,03676119850492934;6,708918727149605;20;0,33544593635748027;Education and Entertainment equipment / Video game console / Nintendo Wii;
Microsoft Xbox 360;0,1224288303632569;22,343261541294385;63;0,35465494509991086;Education and Entertainment equipment / Video game console / Xbox360;
Egg Cooker / Russell Hobbs 14048-56 Stylo;0;0;9;0;Kitchen equipment / Egg cooker;
Kitchen radio / AEG KRC 4323 CD;0;0;4;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Nespresso Coffee Machine, Single Cup;0;0;0;0;Kitchen equipment / Coffee equipment / Coffee machine;
Moulinex electronic 833;0;0;0;0;Kitchen equipment / Juicer;
Dishwasher NEFF SD6P1F (2011);2,0642231679562824;376,72072815202154;0;0;Kitchen equipment / Dishwashers;
Canister vacuum cleaner / Siemens VS 06 G 1831;0;0;48;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;
Liebherr CBNPes 3956;1,7783535558503398;324,549523942687;0;0;(no category);
PC / Acer Aspire T310;0,3043616082717576;55,54599350959577;0;0;Computers and Components / Computer / PC;
Epson Stylus Color 860;0,02983234580066347;5,444403108621083;0;0;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,3164758372661829;57,75684030107838;0;0;Computers and Components / Computer component / Photocopier;
Router O2 Box 6431;1,4075591028688355;256,87953627356245;0;0;(no category);
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,12400222319790988;22,630405733618552;0;0;Computers and Components / Monitor / TFT display;
Laptop / ACER BT.00603.043 Replacement laptop battery;0,6231905510422733;113,73227556521488;0;0;Computers and Components / Computer / Laptop;
Electric Tooth Brush / Phillips HX9332;0,2525018157932563;46,08158138226928;0;0;(no category);
SAT Receiver / Kathrein UFS913;0,15525337229777983;28,33374044434482;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
TV / Phillips Goya 9770 VT;0,26450402060506856;48,27198376042501;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Phone Siemens Gigaset C320;0,5290493465472753;96,55150574487774;0;0;(no category);
CD/DVD Player / Phillips HDR3810/31;0,0924081797915038;16,864492811949443;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
Home Cinema System / Samsung HT-D5550;0,2248325289211881;41,03193652811683;0;0;Education and Entertainment equipment / Hifi devices / Home cinema system;
Hifi System / Sharp XL-HF300PH;0,37964257066467794;69,28476914630372;0;0;Education and Entertainment equipment / Hifi devices / Compact System;
Smartphone Samung S4;0,05903918882775464;10,774651961065222;0;0;(no category);
Nintendo Wii;0,24407679849936445;44,54401572613401;0;0;Education and Entertainment equipment / Video game console / Nintendo Wii;
Microsoft Xbox 360;0,4462115647860158;81,43361057344788;0;0;Education and Entertainment equipment / Video game console / Xbox360;
Kitchen radio / AEG KRC 4323 CD;0,17050834507922674;31,11777297695888;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Electric Razor / Phillips PT860/16 Razor PowerTouch Plus;0,027311215329327943;4,98429679760235;0;0;(no category);
Sums;41,88567901751325;7644,136420696168;2075,7368421052633
