Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Bedroom Light (200W);1,1766666666666665;214,74166666666665;0;0;(no category);
Living Room Light (Energy Saving Lamp, 20W);0,6209999999999999;113,33249999999998;0;0;(no category);
Kitchen Light (60W);0,7759999999999999;141,61999999999998;0;0;(no category);
Bathroom Light (200W);0,8066666666666665;147,21666666666664;0;0;(no category);
Bathroom Mirror Light 30W (CFL);0,1261379145530644;23,02016940593425;0;0;(no category);
Children Room Light Device (20W);0;0;0;0;(no category);
Bread Baking Machine Unold 6595;0,29372529889999993;53,60486704924999;0;0;Kitchen equipment / Breadmaker;
Toaster Salco MT 400;0,6649509077751364;121,3535406689624;0;0;Kitchen equipment / Toaster;
Single Stove Plate;8,821525987103884;1609,9284926464588;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Electric Kettle / Petra WK288 1.5L;1,7884429951148617;326,39084660846225;0;0;Kitchen equipment / Electric kettle;
Oven / AEG B 33512-5-M;0;0;0;0;Kitchen equipment / Baking oven / Normal sized Baking oven;
Handmixer / Phillips Robust HR 1581;0;0;0;0;Kitchen equipment / Handmixer;
PC / Acer Aspire T310;0,5700033159587932;104,02560516247975;0;0;Computers and Components / Computer / PC;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,46328441683450294;84,54940607229679;0;0;Computers and Components / Monitor / TFT display;
Epson Stylus Color 860;0,015906545817819407;2,9029446117520417;0;0;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,8195587767393498;149,56947675493134;0;0;Computers and Components / Computer component / Photocopier;
Canon CanoScan LIDE 110;0,0004696420216617761;0,08570966895327414;0;0;Computers and Components / Computer component / Scanner;
External Harddrive Iomega 3.5";0,08536419725462252;15,57896599896861;0;0;Computers and Components / Computer component / External Harddrives;
Food Slicer / DOMO Schneidemaschine DO521S;0,0705096474972348;12,868010668245352;0;0;Kitchen equipment / Food slicer;
Miele DA 61;0,9126179909779379;166,55278335347367;0;0;Kitchen equipment / Extractor hood / Wall mounted;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;2,3057906322180868;420,8067903798008;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Dehumidifier / Trotec TTK 50 S;0;0;0;0;Devices for enviromental improvement / Air Dehumidifier;
Dryer / Miele T 8626 WP;1,627774740661794;297,0688901707774;0;0;Appliances / Dryer;
Christopeit Treadmill TM 2 Pro;2,4047562715570185;438,86801955915587;0;0;Health equipment / Electronic hometrainer / Treadmill;
Hedge Trimmer / Bosch AHS 550-24 ST;0;0;0;0;Tools / Garden devices / Hedge trimmer;
Atika LH 2500 G;0;0;0;0;Tools / Garden devices / Garden Shredder;
Lawn Mower / Sabo 32-EL;0;0;0;0;Tools / Garden devices / Lawn mower;
Laptop / ACER BT.00603.043 Replacement laptop battery;3,0770070667567055;561,5537896830988;0;0;Computers and Components / Computer / Laptop;
SAT Receiver / Kathrein UFS913;0,15967378586696768;29,1404659207216;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Steam Iron / Phillips GC 4410;0;0;0;0;Appliances / Steam iron;
TV / Phillips Goya 9770 VT;1,8194311381634687;332,04618271483304;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Washing Machine Samsung P1405J;0,07770336548260001;14,180864200574502;0;0;Appliances / Washing machine;
Asviva High End Wellness Massage Seat;0;0;0;0;Health equipment / Massage Chair;
CD/DVD Player / Phillips HDR3810/31;0,19582307218339248;35,73771067346913;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
Home Cinema System / Samsung HT-D5550;0,6804695950479456;124,18570109625007;0;0;Education and Entertainment equipment / Hifi devices / Home cinema system;
Digitalpiano / Kawai CN-23;0,25105573363932343;45,817671389176525;0;0;Education and Entertainment equipment / Music instrument / Digital piano;
Hifi System / Sharp XL-HF300PH;0;0;0;0;Education and Entertainment equipment / Hifi devices / Compact System;
Hair Dryer / Braun Satin Pro 2200 Ion Care;0,35235010441507014;64,3038940557503;0;0;Bath devices / Hair dryer;
LED Lamp Globe E 14 Ambient 3W matt;0;0;0;0;Light;
