Device name;Usage sum in this simulation [None];Usage sum in this simulation linear extrapolated to 1 year [None];Comparison Value from the device entry [None];Percentage of the comparison value [1 = 100%];Device Category;
Alarm clock B;0;0;0;0;Other;
Board Games;0;0;0;0;Other;
Cleanser;0;0;0;0;Cleaning devices;
Window;0;0;0;0;Furniture;
Cloth Drying Rack;0;0;0;0;Furniture;
Couch;0;0;0;0;Furniture;
Opera;0;0;0;0;Other;
Sunbed;0;0;0;0;Furniture / Garden furniture;
Sunbed 2;0;0;0;0;Furniture / Garden furniture;
Book;0;0;0;0;Other;
Book;0;0;0;0;Other;
Couch;0;0;0;0;Furniture;
Magazine;0;0;0;0;Other;
Newspaper;0;0;0;0;Other;
Bed 2;150120;27396900;0;0;Furniture;
Teachers job;0;0;0;0;External locations;
Alarm clock A;0;0;0;0;Other;
Supermarket;5940;1084050;0;0;Other;
Bed 1;0;0;0;0;Furniture;
Office;130620;23838150;0;0;Other;
Alarm clock C;0;0;0;0;Other;
Sandbox;0;0;0;0;Furniture / Garden Toy;
Swing;0;0;0;0;Furniture / Garden Toy;
Slide;0;0;0;0;Furniture / Garden Toy;
Schoolbook;0;0;0;0;Other;
School (primary);0;0;0;0;External locations;
Bed 3 (Children);0;0;0;0;Furniture;
Sums;286680;52319100;0
