Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Bedroom Light (200W);0,3867516304271323;70,58217255295165;0;0;(no category);
Living Room Light (Energy Saving Lamp, 20W);0,20411282931606956;37,250591350182695;0;0;(no category);
Kitchen Light (60W);0,25505886561879565;46,548242975430206;0;0;(no category);
Bathroom Light (200W);0,26513851151094975;48,38777835074833;0;0;(no category);
Bathroom Mirror Light 30W (CFL);0,041459527574001856;7,566363782255339;0;0;(no category);
Children Room Light Device (20W);0;0;0;0;(no category);
Bread Baking Machine Unold 6595;0,09399209564799997;17,153557455759994;0;0;Kitchen equipment / Breadmaker;
Toaster Salco MT 400;-0,031189332741530077;-5,692053225329239;0;0;Kitchen equipment / Toaster;
Single Stove Plate;-0,1744948909475413;-31,84531759792629;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Electric Kettle / Petra WK288 1.5L;-0,04619161241366119;-8,429969265493167;0;0;Kitchen equipment / Electric kettle;
Oven / AEG B 33512-5-M;0;0;83;0;Kitchen equipment / Baking oven / Normal sized Baking oven;
Handmixer / Phillips Robust HR 1581;0;0;1;0;Kitchen equipment / Handmixer;
PC / Acer Aspire T310;0,18735102985490068;34,191562948519376;135;0,2532708366556991;Computers and Components / Computer / PC;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,15227422399056045;27,790045878277283;72;0,38597285942051784;Computers and Components / Monitor / TFT display;
Epson Stylus Color 860;0,005228228778616554;0,954151752097521;30;0,0318050584032507;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,26937594317405694;49,16110962926539;29;1,6952106768712203;Computers and Components / Computer component / Photocopier;
Canon CanoScan LIDE 110;0,00015436386764429324;0,028171405845083517;4;0,007042851461270879;Computers and Components / Computer component / Scanner;
External Harddrive Iomega 3.5";0,02731654312147918;4,98526911966995;0;0;Computers and Components / Computer component / External Harddrives;
Food Slicer / DOMO Schneidemaschine DO521S;0,023175400394105684;4,229510571924287;1;4,229510571924287;Kitchen equipment / Food slicer;
Miele DA 61;0,299963027734715;54,743252561585486;16;3,421453285099093;Kitchen equipment / Extractor hood / Wall mounted;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;0,7578767306804062;138,31250334917414;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Dehumidifier / Trotec TTK 50 S;0;0;71;0;Devices for enviromental improvement / Air Dehumidifier;
Dryer / Miele T 8626 WP;0,5350236840671773;97,64182234225984;349;0,2797759952500282;Appliances / Dryer;
Christopeit Treadmill TM 2 Pro;0,7904051632899788;144,24894230042113;200;0,7212447115021057;Health equipment / Electronic hometrainer / Treadmill;
Hedge Trimmer / Bosch AHS 550-24 ST;0;0;1;0;Tools / Garden devices / Hedge trimmer;
Atika LH 2500 G;0;0;30;0;Tools / Garden devices / Garden Shredder;
Lawn Mower / Sabo 32-EL;0;0;127;0;Tools / Garden devices / Lawn mower;
Laptop / ACER BT.00603.043 Replacement laptop battery;1,0113633143659637;184,57380487178838;17;10,857282639516963;Computers and Components / Computer / Laptop;
SAT Receiver / Kathrein UFS913;0,05248223542820576;9,57800796564755;31;0,3089679988918565;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Steam Iron / Phillips GC 4410;0;0;31;0;Appliances / Steam iron;
TV / Phillips Goya 9770 VT;0,5980180955818197;109,1383024436821;139;0,7851676434797273;Education and Entertainment equipment / Entertainment device / Television set;
Washing Machine Samsung P1405J;0,18837179510933322;34,37785260745331;0;0;Appliances / Washing machine;
Asviva High End Wellness Massage Seat;0;0;7;0;Health equipment / Massage Chair;
CD/DVD Player / Phillips HDR3810/31;0,0643639312539742;11,746417453850292;33;0,35595204405606945;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
Home Cinema System / Samsung HT-D5550;0,22365953994975693;40,81786604083064;440;0,09276787736552418;Education and Entertainment equipment / Hifi devices / Home cinema system;
Digitalpiano / Kawai CN-23;0,08251802916126408;15,059540321930694;14;1,075681451566478;Education and Entertainment equipment / Music instrument / Digital piano;
Hifi System / Sharp XL-HF300PH;0;0;0;0;Education and Entertainment equipment / Hifi devices / Compact System;
Hair Dryer / Braun Satin Pro 2200 Ion Care;0,11581187877934643;21,135667877230723;54;0,3914012569857541;Bath devices / Hair dryer;
LED Lamp Globe E 14 Ambient 3W matt;0;0;13;0;Light;
Nintendo Wii;0,011478680554100503;2,094859201123342;20;0,1047429600561671;Education and Entertainment equipment / Video game console / Nintendo Wii;
Microsoft Xbox 360;0,03822839002823983;6,9766811801537685;63;0,11074097111355188;Education and Entertainment equipment / Video game console / Xbox360;
Egg Cooker / Russell Hobbs 14048-56 Stylo;0;0;9;0;Kitchen equipment / Egg cooker;
Kitchen radio / AEG KRC 4323 CD;0;0;4;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Nespresso Coffee Machine, Single Cup;0;0;0;0;Kitchen equipment / Coffee equipment / Coffee machine;
Moulinex electronic 833;0;0;0;0;Kitchen equipment / Juicer;
Dishwasher NEFF SD6P1F (2011);-0,40180707164480833;-73,32979057517753;0;0;Kitchen equipment / Dishwashers;
Canister vacuum cleaner / Siemens VS 06 G 1831;0;0;48;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;
Liebherr CBNPes 3956;0,555290719836503;101,3405563701618;0;0;(no category);
PC / Acer Aspire T310;0,09503688172232201;17,344230914323767;0;0;Computers and Components / Computer / PC;
Epson Stylus Color 860;0,009315146990633653;1,7000143257906417;0;0;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,09881954851343808;18,03456760370245;0;0;Computers and Components / Computer component / Photocopier;
Router O2 Box 6431;-1,1787638483415315;-215,1244023223295;0;0;(no category);
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,03871968178339492;7,0663419254695725;0;0;Computers and Components / Monitor / TFT display;
Laptop / ACER BT.00603.043 Replacement laptop battery;0,17486065876593573;31,91207022478327;0;0;Computers and Components / Computer / Laptop;
Electric Tooth Brush / Phillips HX9332;0,07884366671104232;14,388969174765222;0;0;(no category);
SAT Receiver / Kathrein UFS913;0,04847784996221174;8,847207618103642;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
TV / Phillips Goya 9770 VT;0,08259135396234928;15,072922098128743;0;0;Education and Entertainment equipment / Entertainment device / Television set;
