-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,0002364792180765327;0,8801;;
Dishwashing;1,819809806384334E-05;0,0677;;
Laundry;1,4017235333333322E-05;0,0522;;

Sum;0,00026869455147370935;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;1,2795043040738646E-05;0,0476;;
Office;4,075536218136665E-05;0,1517;;
Cooling;1,1118044607466496E-05;0,0414;;
Washing;1,87425001859593E-05;0,0698;;
TV/Audio;2,9896966909526962E-05;0,1113;;
Cooking;9,215145687405972E-05;0,3430;;
Other;1,6479628020190562E-05;0,0613;;
Dish washing;1,819809806384334E-05;0,0677;;
Drying;2,855745159055776E-05;0,1063;;

Sum;0,00026869455147370935;1;
