-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,00022353010439809422;0,8941;;
Dishwashing;1,6663418896643883E-05;0,0667;;
Laundry;9,811030995277772E-06;0,0392;;

Sum;0,00025000455429001586;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;1,2155290888701703E-05;0,0486;387,2;
Office;3,4696190235457535E-05;0,1388;522,6;
Cooling;1,056214237709317E-05;0,0422;430,7;
Washing;1,430003260527245E-05;0,0572;200,3;
TV/Audio;2,840211856405062E-05;0,1136;528,8;
Cooking;9,044013509258554E-05;0,3618;386,9;
Other;1,5655646619181036E-05;0,0626;274,4;
Dish washing;1,6663418896643883E-05;0,0667;227,9;
Drying;2,7129579011029895E-05;0,1085;287,1;

Sum;0,00025000455429001586;1;
