-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,00022353010439809422;0,9846;;
Dishwashing;2,202903978136321E-06;0,0097;;
Laundry;1,2950560913766666E-06;0,0057;;

Sum;0,00022702806446760722;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;1,2155290888701703E-05;0,0535;;
Office;3,4696190235457535E-05;0,1528;;
Cooling;1,056214237709317E-05;0,0465;;
Washing;5,784057701371345E-06;0,0255;;
TV/Audio;2,840211856405062E-05;0,1251;;
Cooking;9,044013509258554E-05;0,3984;;
Other;1,5655646619181036E-05;0,0690;;
Dish washing;2,202903978136321E-06;0,0097;;
Drying;2,7129579011029895E-05;0,1195;;

Sum;0,00022702806446760722;1;
