-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;4,1824522552630396E-05;1,0091;;
Dishwashing;-3,5161468721311456E-06;-0,0848;;
Laundry;3,1395299184888863E-06;0,0757;;

Sum;4,144790559898814E-05;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;3,995250908941707E-06;0,0964;;
Office;3,867808202072492E-06;0,0933;;
Cooling;3,471608315986622E-06;0,0838;;
Washing;4,614993395816464E-06;0,1113;;
TV/Audio;9,335324925408956E-06;0,2252;;
Cooking;5,616243121751414E-06;0,1355;;
Other;5,1457622000220136E-06;0,1242;;
Dish washing;-3,5161468721311456E-06;-0,0848;;
Drying;8,91706140111962E-06;0,2151;;

Sum;4,144790559898814E-05;1;
