Timestep;Time span;Sum [Watt]
0;00:00:00;5045,484014772953
1;00:01:00;5000,647640502524
2;00:02:00;4914,7389542072915
3;00:03:00;4892,401441137778
4;00:04:00;4885,578386403763
5;00:05:00;4783,179329090686
6;00:06:00;4777,551218896473
7;00:07:00;4500,202715065874
8;00:08:00;4471,249576500753
9;00:09:00;4344,056126717355
10;00:10:00;4338,88015946413
11;00:11:00;4338,095105779248
12;00:12:00;4308,5835500577
13;00:13:00;4303,078720775835
14;00:14:00;4291,001362575008
15;00:15:00;4286,673116320967
16;00:16:00;4286,419584487596
17;00:17:00;4285,0335500983965
18;00:18:00;4278,583371761573
19;00:19:00;4257,384173934331
20;00:20:00;4253,917278540132
21;00:21:00;4244,886611284758
22;00:22:00;4244,684432905829
23;00:23:00;4242,306087437279
24;00:24:00;4239,887489036462
25;00:25:00;4227,921092497036
26;00:26:00;4226,697388507342
27;00:27:00;4226,185673627661
28;00:28:00;4226,021953113016
29;00:29:00;4225,0090534691235
30;00:30:00;4183,976120915064
31;00:31:00;4182,098927283216
32;00:32:00;4181,753469007862
33;00:33:00;4181,161128476369
34;00:34:00;4180,737261828186
35;00:35:00;4084,3162777213315
36;00:36:00;4045,5131572645073
37;00:37:00;4042,1364033910295
38;00:38:00;4038,8503950856234
39;00:39:00;4010,617853290143
40;00:40:00;4000,8456946959186
41;00:41:00;3983,3136950281605
42;00:42:00;3958,114815766696
43;00:43:00;3887,8321144565366
44;00:44:00;3887,6612525764963
45;00:45:00;3828,4326854848014
46;00:46:00;3827,855146503257
47;00:47:00;3827,7376116541154
48;00:48:00;3827,6635558317257
49;00:49:00;3827,146315678086
50;00:50:00;3811,5211739419105
51;00:51:00;3763,2695509151927
52;00:52:00;3744,400410970317
53;00:53:00;3711,5319388306893
54;00:54:00;3668,34845043112
55;00:55:00;3668,195900808415
56;00:56:00;3634,1211681499144
57;00:57:00;3559,999748626135
58;00:58:00;3529,792609364175
59;00:59:00;3485,6596702657835
60;01:00:00;3452,912245213555
61;01:01:00;3449,734952448188
62;01:02:00;3449,5031872222094
63;01:03:00;3445,8916652715225
64;01:04:00;3433,853355182239
65;01:05:00;3430,988645545928
66;01:06:00;3429,967096623116
67;01:07:00;3398,015285379016
68;01:08:00;3390,43772589352
69;01:09:00;3381,70446031993
70;01:10:00;3380,245395923761
71;01:11:00;3376,844963015226
72;01:12:00;3376,496875954607
73;01:13:00;3374,4173930760535
74;01:14:00;3370,455186379535
75;01:15:00;3363,3591193591415
76;01:16:00;3362,051119853066
77;01:17:00;3321,462353526851
78;01:18:00;3319,9047708967405
79;01:19:00;3318,190329587549
80;01:20:00;3317,6883278089576
81;01:21:00;3316,5470545162466
82;01:22:00;3316,5188246096754
83;01:23:00;3307,63890345979
84;01:24:00;3295,1363373335307
85;01:25:00;3278,6201993608465
86;01:26:00;3278,171555869705
87;01:27:00;3241,763983558188
88;01:28:00;3238,2969395208515
89;01:29:00;3177,510155755087
90;01:30:00;3177,2946518540143
91;01:31:00;3160,2503344851502
92;01:32:00;3110,2775112545287
93;01:33:00;3070,1420165349896
94;01:34:00;3043,4618577445754
95;01:35:00;3035,129091220176
96;01:36:00;3004,398574905433
97;01:37:00;2992,85482156235
98;01:38:00;2991,5860446117185
99;01:39:00;2972,9632301213583
100;01:40:00;2966,946085630086
101;01:41:00;2956,4218966107014
102;01:42:00;2947,9986728439
103;01:43:00;2928,826008719498
104;01:44:00;2913,624953112587
105;01:45:00;2767,8902828054906
106;01:46:00;2739,179033808661
107;01:47:00;2679,4996629532993
108;01:48:00;2678,4168501159647
109;01:49:00;2677,907972445707
110;01:50:00;2667,9105427736754
111;01:51:00;2663,308311954471
112;01:52:00;2652,9630462776636
113;01:53:00;2651,8558968066604
114;01:54:00;2651,6438811012285
115;01:55:00;2641,0516704518395
116;01:56:00;2639,6896615581127
117;01:57:00;2622,0867544445337
118;01:58:00;2621,851483772693
119;01:59:00;2618,6481342634956
120;02:00:00;2611,8313983536636
121;02:01:00;2606,1619823979718
122;02:02:00;2605,778358822081
123;02:03:00;2603,749503882521
124;02:04:00;2602,5307639597786
125;02:05:00;2600,9595088880915
126;02:06:00;2599,107336533452
127;02:07:00;2589,047950159038
128;02:08:00;2586,391599868659
129;02:09:00;2583,983979076597
130;02:10:00;2569,6289301153893
131;02:11:00;2569,418709653053
132;02:12:00;2569,0759728186167
133;02:13:00;2566,9105099073727
134;02:14:00;2562,695416482266
135;02:15:00;2560,9250341665934
136;02:16:00;2556,854035184706
137;02:17:00;2555,4490115757367
138;02:18:00;2543,018564251537
139;02:19:00;2541,693043291813
140;02:20:00;2541,5072886482444
141;02:21:00;2541,008673288423
142;02:22:00;2540,589340154418
143;02:23:00;2534,0278322321587
144;02:24:00;2532,622028325095
145;02:25:00;2530,0662403543015
