Timestep;Time span;Sum [var]
0;00:00:00;834,2416843216288
1;00:01:00;830,5025343429833
2;00:02:00;822,1327428890186
3;00:03:00;790,6252477650411
4;00:04:00;749,8788107630105
5;00:05:00;748,6579625522428
6;00:06:00;735,2544604465045
7;00:07:00;727,924919767003
8;00:08:00;698,5619993614725
9;00:09:00;687,4231159508324
10;00:10:00;684,0456588631598
11;00:11:00;681,7430792911347
12;00:12:00;681,1356112023499
13;00:13:00;679,8209568385073
14;00:14:00;679,4696436826111
15;00:15:00;675,9859181774633
16;00:16:00;675,762783413682
17;00:17:00;667,1508911756293
18;00:18:00;658,5800891546713
19;00:19:00;637,5046858040475
20;00:20:00;635,0830097412801
21;00:21:00;631,8477208404408
22;00:22:00;629,854176833298
23;00:23:00;626,382905000872
24;00:24:00;609,7762340180923
25;00:25:00;580,0477464373396
26;00:26:00;574,5124537351613
27;00:27:00;559,5890781815857
28;00:28:00;550,7752555275464
29;00:29:00;538,1924365278521
30;00:30:00;535,9181060088265
31;00:31:00;534,9142642414088
32;00:32:00;533,7586680313882
33;00:33:00;525,6589778111776
34;00:34:00;525,0765021580361
35;00:35:00;516,0217461336831
36;00:36:00;511,0863248146945
37;00:37:00;510,185644194218
38;00:38:00;506,58514623445274
39;00:39:00;501,7856333455031
40;00:40:00;497,3932133898013
41;00:41:00;493,69538655470967
42;00:42:00;493,61166110914394
43;00:43:00;491,91049895015436
44;00:44:00;491,2821041306497
45;00:45:00;490,27575988176847
46;00:46:00;487,5405674947716
47;00:47:00;484,61837420363366
48;00:48:00;482,6130358127557
49;00:49:00;481,3889735389461
50;00:50:00;479,834942607766
51;00:51:00;478,7384949286924
52;00:52:00;477,483288359881
53;00:53:00;477,11084263468325
54;00:54:00;476,51753242291244
55;00:55:00;472,9791249002053
56;00:56:00;471,30911424058496
57;00:57:00;470,4314100030979
58;00:58:00;467,3443496486326
59;00:59:00;466,98616269868086
60;01:00:00;464,882163184033
61;01:01:00;462,95724600398665
62;01:02:00;461,6723736162052
63;01:03:00;461,4764600481116
64;01:04:00;456,10641957586176
65;01:05:00;455,4869764797665
66;01:06:00;455,40324642409456
67;01:07:00;454,4115074482965
68;01:08:00;453,36710879624013
69;01:09:00;452,319995156358
70;01:10:00;451,0128211411593
71;01:11:00;448,99178834322606
72;01:12:00;448,1871367880478
73;01:13:00;444,7395169744427
74;01:14:00;444,14773868963186
75;01:15:00;443,10252748958703
76;01:16:00;441,5584592834491
77;01:17:00;440,8892565779743
78;01:18:00;440,13046848293266
79;01:19:00;439,1624175584765
80;01:20:00;437,2963966618947
81;01:21:00;436,4815095244257
82;01:22:00;434,4436265172706
83;01:23:00;433,7872712691245
84;01:24:00;433,1299596109763
85;01:25:00;431,6625981936243
86;01:26:00;430,62612918772754
87;01:27:00;430,25558916336126
88;01:28:00;430,1054383734949
89;01:29:00;429,8189046850098
90;01:30:00;425,50359197447114
91;01:31:00;424,424666402083
92;01:32:00;424,26682756517107
93;01:33:00;423,07793924513476
94;01:34:00;417,9108747063844
95;01:35:00;410,81277652387405
96;01:36:00;410,212089764909
97;01:37:00;406,31411971371693
98;01:38:00;402,2693146698942
99;01:39:00;401,1935716306434
100;01:40:00;399,8274920689429
101;01:41:00;399,53162193247704
102;01:42:00;398,91580798832877
103;01:43:00;398,6842191653302
104;01:44:00;396,6501157182762
105;01:45:00;395,5573923540873
106;01:46:00;393,83215202135557
107;01:47:00;393,4167534260878
108;01:48:00;393,1092378233768
109;01:49:00;391,35841403029997
110;01:50:00;389,57836417378036
111;01:51:00;387,9406699094624
112;01:52:00;387,8137059966305
113;01:53:00;387,51955077441255
114;01:54:00;386,3027708057281
115;01:55:00;386,1445008237412
116;01:56:00;385,02823086001627
117;01:57:00;381,8117776942262
118;01:58:00;381,6123608115154
119;01:59:00;380,90226696526787
120;02:00:00;380,2936408376022
121;02:01:00;378,4830327301117
122;02:02:00;375,11129305695124
123;02:03:00;375,07442493390306
124;02:04:00;374,66235896597726
125;02:05:00;372,03555056344806
126;02:06:00;370,2421886965931
127;02:07:00;369,209055971014
128;02:08:00;367,38944897021537
129;02:09:00;366,89270805199357
130;02:10:00;366,1440083074642
131;02:11:00;365,8428874071808
132;02:12:00;365,5800345228698
133;02:13:00;364,49914569023895
134;02:14:00;364,2323709879772
135;02:15:00;363,62087696583296
136;02:16:00;363,34332595387116
137;02:17:00;363,2786712364685
138;02:18:00;361,2422055140392
139;02:19:00;361,1888391640377
140;02:20:00;356,9773228455202
141;02:21:00;355,7871157588393
142;02:22:00;355,48850435065765
143;02:23:00;355,36762042190264
144;02:24:00;355,1845884492784
145;02:25:00;355,06841222576986
146;02:26:00;353,98375669488007
147;02:27:00;352,3625601754259
148;02:28:00;350,4795988680519
149;02:29:00;350,3598710860652
150;02:30:00;350,2664511234695
151;02:31:00;349,6083215746905
152;02:32:00;349,5737211978887
153;02:33:00;349,35388815451125
154;02:34:00;349,1991219726532
155;02:35:00;348,32435138264754
156;02:36:00;348,0772313289003
157;02:37:00;348,0380630831386
158;02:38:00;347,39290107165186
159;02:39:00;346,3005294773949
160;02:40:00;346,2746703332424
161;02:41:00;345,6081886099662
162;02:42:00;345,3531997265458
163;02:43:00;345,3391106414797
164;02:44:00;344,90090263109676
165;02:45:00;344,0601014419143
166;02:46:00;343,23053742573967
167;02:47:00;343,0837597712161
168;02:48:00;342,90562723103113
169;02:49:00;342,358559592827
170;02:50:00;341,81659142973245
171;02:51:00;341,75483027912264
172;02:52:00;341,6007469937889
173;02:53:00;340,6972460819931
174;02:54:00;340,3231623970509
175;02:55:00;340,22762044133617
176;02:56:00;339,81565093723776
177;02:57:00;339,72696903403994
178;02:58:00;338,6877178500309
179;02:59:00;337,5558781825381
180;03:00:00;337,23723145262
181;03:01:00;336,22778422196944
182;03:02:00;335,3639999315636
183;03:03:00;334,1664097436521
184;03:04:00;332,1781851447473
185;03:05:00;332,00293629279406
186;03:06:00;331,2817433454923
187;03:07:00;331,01668326555097
188;03:08:00;330,20876809513004
189;03:09:00;328,05338505129436
190;03:10:00;327,65887153079456
191;03:11:00;326,4365526607029
192;03:12:00;326,2135175485266
193;03:13:00;325,89710242699874
194;03:14:00;325,6136800659071
195;03:15:00;324,8801827226956
196;03:16:00;324,7310833171244
197;03:17:00;324,2881235961652
198;03:18:00;323,5927269333752
199;03:19:00;321,9768888234301
200;03:20:00;321,2852023468496
201;03:21:00;321,1186485547071
