Device;Load Type;Profile;Number of Activations
Bathroom Light (20W);Apparent;Bath - light [Synthetic for Light Device];11
Bathroom Light (20W);Electricity;Bath - light [Synthetic for Light Device];11
Bathroom Light (20W);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];11
Bathroom Light (20W);Reactive;Bath - light [Synthetic for Light Device];11
Bathroom Mirror Light 100W (Conventional);Apparent;Bath - light [Synthetic for Light Device];11
Bathroom Mirror Light 100W (Conventional);Electricity;Bath - light [Synthetic for Light Device];11
Bathroom Mirror Light 100W (Conventional);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];11
Bathroom Mirror Light 100W (Conventional);Reactive;Bath - light [Synthetic for Light Device];11
Bathroom Sink 15 L/Min;Warm Water;0 h 01 min 100% [Synthetic];32
Bauknecht GTM 2511;Apparent;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];24
Bauknecht GTM 2511;Electricity;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];24
Bauknecht GTM 2511;Inner Device Heat Gains;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];24
Bauknecht GTM 2511;Reactive;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];24
Bed 1;None;08 h 0 min 100% [Synthetic];5
Bedroom Light (200W);Apparent;Bedroom - light [Synthetic for Light Device];143
Bedroom Light (200W);Electricity;Bedroom - light [Synthetic for Light Device];143
Bedroom Light (200W);Inner Device Heat Gains;Bedroom - light [Synthetic for Light Device];143
Bedroom Light (200W);Reactive;Bedroom - light [Synthetic for Light Device];143
Book;None;0 h 01 min 100% [Synthetic];143
CD/DVD Player / Phillips CD 380;Apparent;02 h 0 min 100% [Synthetic];1
CD/DVD Player / Phillips CD 380;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];122
CD/DVD Player / Phillips CD 380;Electricity;02 h 0 min 100% [Synthetic];1
CD/DVD Player / Phillips CD 380;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];122
CD/DVD Player / Phillips CD 380;Inner Device Heat Gains;02 h 0 min 100% [Synthetic];1
CD/DVD Player / Phillips CD 380;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];122
CD/DVD Player / Phillips CD 380;Reactive;02 h 0 min 100% [Synthetic];1
CD/DVD Player / Phillips CD 380;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];122
Canon CanoScan LIDE 110;Apparent;0 h 10 min 100% [Synthetic];4
Canon CanoScan LIDE 110;Electricity;0 h 10 min 100% [Synthetic];4
Canon CanoScan LIDE 110;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];4
Canon CanoScan LIDE 110;Reactive;0 h 10 min 100% [Synthetic];4
Clatronic MS 3249 Milk Foamer;Apparent;0 h 10 min 100% [Synthetic];4
Clatronic MS 3249 Milk Foamer;Electricity;0 h 10 min 100% [Synthetic];4
