Tag + Time Used [60 seconds];CHR07 Christian (23/Male);
get ready in the morning (men);447;
go to the toilet;20;
eat small breakfast (25min) interruping subaff, no alarm;51;
turn on the dehumidifier below 15 °C outside after shower;6;
cook coffee;22;
use the computer (1_5 h);197;
work at the office (09 h);1091;
take a shower (men);46;
make frozen pizza and eat it;34;
open bathroom window;5;
use the computer (1 h);56;
sleep bed 01 (08 h);545;
watch the news;18;
use the computer (2 h);122;
run the dishwasher (triggered);16;
go shopping for food in the supermarket (1_5 h);96;
make soup;16;
play computer games;92;
