------
CHR07 Christian (23/Male);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
get ready in the morning (men);447;hygiene;get ready in the morning (men);Hygiene
go to the toilet;20;hygiene;go to the toilet;Hygiene
eat small breakfast (25min) interruping subaff, no alarm;51;cooking;eat small breakfast (25min) interruping subaff, no alarm;Food
turn on the dehumidifier below 15 °C outside after shower;6;hygiene;turn on the dehumidifier below 15 °C outside after shower;Hygiene
cook coffee;22;cooking;cook coffee;Food
use the computer (1_5 h);197;recreation;use the computer (1_5 h);Media Use
work at the office (09 h);1091;work;work at the office (09 h);Work / School
take a shower (men);46;hygiene;take a shower (men);Hygiene
make frozen pizza and eat it;34;cooking;make frozen pizza and eat it;Food
open bathroom window;5;hygiene;open bathroom window;Hygiene
use the computer (1 h);56;recreation;use the computer (1 h);Media Use
sleep bed 01 (08 h);545;sleeping;sleep bed 01 (08 h);Sleep
watch the news;18;recreation;watch the news;Media Use
use the computer (2 h);122;recreation;use the computer (2 h);Media Use
run the dishwasher (triggered);16;cleaning;run the dishwasher (triggered);Unpaid Work
go shopping for food in the supermarket (1_5 h);96;shopping;go shopping for food in the supermarket (1_5 h);Unpaid Work
make soup;16;cooking;make soup;Food
play computer games;92;recreation;play computer games;Media Use
