Reactive.Time;Time span;Bathroom Light (20W) [var];Bathroom Mirror Light 100W (Conventional) [var];Kitchen Light (60W) [var];Living Room Light (Energy Saving Lamp, 20W) [var];Bedroom Light (200W) [var];Toaster / Bosch TAT8SL1 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left [var];Electric Kettle / Phillips Essential HD 4685/90 Schwarz [var];Westinghouse Fanaway [var];Clatronic MS 3249 Milk Foamer [var];Nespresso Coffee Machine, Single Cup [var];PC / Acer Aspire M3640 [var];PC Monitor / Fujitsu Siemens Scaleoview H19-1 [var];Epson Stylus Color 860 [var];TASKalfa 180 [var];Canon CanoScan LIDE 110 [var];External Harddrive Iomega 3.5" [var];Extractor Hood / Miele DA 429-4 [var];Kitchen radio / AEG KRC 4323 CD [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv [var];Microwave / Panasonic NN 5259 [var];Oven / AEG B 33512-5-M [var];Miele DA 61 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [var];Bauknecht GTM 2511 [var];Dehumidifier / Trotec TTK 50 S [var];Dishwasher Whirlpool 45cm from Ikea [var];Miele T 495 C [var];Electronic hometrainer / Kettler Track Perfomance [var];Coffee Machine / Braun Impression KF 600 [var];Electric Kettle / Petra WK288 1.5L [var];Washing Machine AEG Lavamat 54610 [var];Tectro TP 020 [var];Sony PlayStation 3 [var];TV Samsung LED UE40 B7090 [var];Osram Light Bulb Classic A 60W [var];CD/DVD Player / Phillips CD 380 [var];SAT Receiver / Kathrein UFS913 [var];Siemens VS 91143 S Super 911 [var];Siemens Kl 20 LA 65 (A+) [var];Router O2 Box 6431 [var];Electric Razor / Phillips PT860/16 Razor PowerTouch Plus [var];Electric Toothbrush Dondodent Professional Clean [var];Smartphone Samung S4 [var];Yamaha RX-V667 [var];
0;00:00:00;0;-47,2440666675454;0;0;0;0;0;0;0;0;-21,6467368852459;1,0719679702975187;0,3032526952960881;0,04205912930531677;0,5256666421518104;0;0;0;0,27783172402675793;0;2,33250271082656;0;0;0;0;0;0;0;0;0;0;0;0;0,9317336753042509;0,41000000000000003;0;0,18886701999172173;0,24594923982319486;0;0;-9,95073016393443;0,04527116438578623;-4,17003360655738;0;2,450306369976924;
1;00:01:00;0;-34,829016465739336;0;0;0;0;0;0;0;0;-21,6467368852459;1,1782650719103738;0,31013743111500597;0,04985020426653417;0,5448007018780537;0;0;0;0,28739791054321395;0;2,4879591426097405;0;0;0;0;0;0;0;0;0;0;0;0;0,950443040944217;0,41000000000000003;0;0,19278213344479098;0,2594495155124285;0;0;-9,95073016393443;0,04790724363956929;-4,17003360655738;0;2,460260243505408;
2;00:02:00;0;-31,875514979187663;0;0;0;0;0;0;0;0;-21,6467368852459;1,1887248516355684;0,3263387957018757;0,05149649840159432;0,5479424261418702;0;0;0;0,3005024878690885;0;2,526714274851703;0;0;0;0;0;0;0;0;0;0;0;0;0,9934816757798652;0,41000000000000003;0;0,19427901538634984;0,2706001632486244;0;0;-9,95073016393443;0,048116300701371253;-4,17003360655738;0;2,495362359807123;
3;00:03:00;0;-31,420846345559813;0;0;0;0;0;0;0;0;-21,6467368852459;1,1929536520965036;0,32980387407270034;0,05289590633716937;0,5544340904071007;0;0;0;0,30549291931432254;0;2,556425899478724;0;0;0;0;0;0;0;0;0;0;0;0;1,0187921805808655;0,41000000000000003;0;0,194513303545151;0,29969949551666486;0;0;-9,95073016393443;0,04868646461897144;-4,17003360655738;0;2,6179401122897326;
4;00:04:00;0;-29,35366939545202;0;0;0;0;0;0;0;0;-21,6467368852459;1,1988880633384793;0,330672717975268;0,05336801281690209;0,5564000511180629;0;0;0;0,30564296675026376;0;2,597005251310837;0;0;0;0;0;0;0;0;0;0;0;0;1,0389390934405835;0,41000000000000003;0;0,19508005151849755;0,3080837399785302;0;0;-9,95073016393443;0,04883196916881735;-4,17003360655738;0;2,632401226555098;
5;00:05:00;0;-26,18585315367436;0;0;0;0;0;0;0;0;-21,6467368852459;1,2222407657987486;0,33553646655477354;0,05338181724102851;0,5622474204565234;0;0;0;0,3068707712073359;0;2,6232011615442357;0;0;0;0;0;0;0;0;0;0;0;0;1,0414670943266993;0,41000000000000003;0;0,19588380332922817;0,31130553058431537;0;0;-9,95073016393443;0,048858565212445276;-4,17003360655738;0;2,6840245719450655;
6;00:06:00;0;-24,87186221680712;0;0;0;0;0;0;0;0;0;1,2390241297973654;0,33566695506805455;0,05437561674306555;0,5706206400297706;0;0;0;0,3102448438346364;0;2,6264563233902516;0;0;0;0;0;0;0;0;0;0;0;0;1,044040456144533;0,41000000000000003;0;0,19841979101823662;0,31269799008078697;0;0;-9,95073016393443;0,04888913784598841;-4,17003360655738;0;2,6893422175419923;
7;00:07:00;0;-23,01653585176117;0;0;0;0;0;0;0;0;0;1,241228298279757;0,33998643385872906;0,05459356932596666;0,5718302513126632;0;0;0;0,3138080987928623;0;2,6337640693162454;0;0;0;0;0;0;0;0;0;0;0;0;1,0537295735173513;0,41000000000000003;0;0,2009800560669245;0,3144069511215489;0;0;-9,95073016393443;0,04893714540178032;-4,17003360655738;0;2,7189785091321177;
8;00:08:00;0;-19,06919745996829;0;0;0;0;0;0;0;0;0;1,2428581919275068;0,3405889991781292;0,05491291687540988;0,5758273068492133;0;0;0;0,3139441875341624;0;2,649521670140611;0;0;0;0;0;0;0;0;0;0;0;0;1,060580329711176;0,41000000000000003;0;0,20380791866501669;0,3158796059898377;0;0;-9,95073016393443;0,04906107197401901;-4,17003360655738;0;2,7265843411307196;
9;00:09:00;0;-18,58212750585791;0;0;0;0;0;0;0;0;0;1,2440466400428078;0,34655472164668427;0,05502636745010005;0,5782159206846307;0;0;0;0,3152771086197924;0;2,665863799700015;0;0;0;0;0;0;0;0;0;0;0;0;1,0631400141554925;0,41000000000000003;0;0,20750468307475783;0,3160566292226027;0;0;-9,95073016393443;0,049338747858027464;-4,17003360655738;0;2,7493923157207623;
10;00:10:00;0;-18,30940080376179;0;0;0;0;0;0;0;0;0;1,2443946297631734;0,34859101085107297;0,055130262509881595;0,5859964835036503;0;0;0;0,31809112603679207;0;2,6809707188650154;0;0;0;0;0;0;0;0;0;0;0;0;1,066035435246906;0,41000000000000003;0;0,20780427700557672;0,3167541858587963;0;0;-9,95073016393443;0,04963147295840131;-4,17003360655738;0;2,751622994797091;
11;00:11:00;0;-18,025050044091326;0;0;0;0;0;0;0;0;0;1,2535933766768372;0,3508251515337603;0,055287152739761584;0,5876375578424281;0;0;0;0,31834331819247136;0;2,709678354123794;0;0;0;0;0;0;0;0;0;0;0;0;1,0727232114049539;0,41000000000000003;0;0,2079169158536139;0,3173498105472138;0;0;-9,95073016393443;0,04977118691450022;-4,17003360655738;0;2,7687273051156946;
12;00:12:00;0;-17,500371984961518;0;0;0;0;0;0;0;0;0;1,2539080325910128;0,3520091036243903;0,05534748320771473;0,590388264885652;0;0;0;0,31842640410257866;0;2,711807370034635;0;0;0;0;0;0;0;0;0;0;0;0;1,0768958152156465;0,41000000000000003;0;0,20816088577080985;0,31810545385236255;0;0;-9,95073016393443;0,04980723537682899;-4,17003360655738;0;2,772684479712956;
13;00:13:00;0;-16,216412300401164;0;0;0;0;0;0;0;0;0;1,2542798552134775;0,35203757561950655;0,056362222205166165;0,594398420244683;0;0;0;0,31961264917408494;0;2,7129920564521344;0;0;0;0;0;0;0;0;0;0;0;0;1,079405563418123;0,41000000000000003;0;0,21075151579390705;0,32108375110737325;0;0;-9,95073016393443;0,049879616690141515;-4,17003360655738;0;2,7772654863444184;
14;00:14:00;0;-9,080891657527403;0;0;0;0;0;0;0;0;0;1,260320347551032;0,3522681177444559;0,056543616892076216;0,597743481671709;0;0;0;0,31983618405887587;0;2,735368252789907;0;0;0;0;0;0;0;0;0;0;0;0;1,0817014167588315;0,41000000000000003;0;0,21097068984620204;0,32175796884613395;0;0;-9,95073016393443;0,049978930987814967;-4,17003360655738;0;2,7806534461781327;
15;00:15:00;0;-8,86829338989803;0;0;0;0;0;0;0;0;0;1,2608654997667246;0,35364454822075425;0,05673647661036563;0,598113045613886;0;0;0;0,3209250356670143;0;2,7370285257739506;0;0;0;0;0;0;0;0;0;0;0;0;1,084174542065572;0,41000000000000003;0;0,21207280880022544;0,3223392559330027;0;0;-9,95073016393443;0,05006766674231536;-4,17003360655738;0;2,798893129696155;
16;00:16:00;0;-8,639204555998328;0;0;0;0;0;0;0;0;0;1,261644418188346;0,35399195548163853;0,056849297641777645;0,5988196008044733;0;0;0;0,32252140214501734;0;2,7474996101669884;0;0;0;0;0;0;0;0;0;0;0;0;1,086515708569798;0,41000000000000003;0;0,21240863831477086;0,3224465023703454;0;0;-9,95073016393443;0,0508655919836975;-4,17003360655738;0;2,800469985534195;
17;00:17:00;0;-8,601005041285832;0;0;0;0;0;0;0;0;0;1,2616812730835252;0,3564978830177288;0,057119420491638775;0,6009820936371407;0;0;0;0,3235817847533641;0;2,751183483538059;0;0;0;0;0;0;0;0;0;0;0;0;1,0875523768714972;0,41000000000000003;0;0,21304766745239326;0,3226467206218306;0;0;-9,95073016393443;0,050870219952559914;-4,17003360655738;0;2,800989789290817;
18;00:18:00;0;-8,592274040784686;0;0;0;0;0;0;0;0;0;1,263941229608951;0,35916317412432114;0,05712548275027222;0,6015250093706611;0;0;0;0,3244271793070134;0;2,75156977304915;0;0;0;0;0;0;0;0;0;0;0;0;1,0913854213237555;0,41000000000000003;0;0,21311340754008476;0,32333438659786945;0;0;-9,95073016393443;0,05107014910971691;-4,17003360655738;0;2,8158004496043065;
19;00:19:00;0;-8,027267377363842;0;0;0;0;0;0;0;0;0;1,2665758447450857;0,3596943152388028;0,05738497281998801;0,6021204248353049;0;0;0;0,32457969807256587;0;2,754407288954173;0;0;0;0;0;0;0;0;0;0;0;0;1,0918830251514011;0,41000000000000003;0;0,21405913234903598;0,3239063267183847;0;0;-9,95073016393443;0,05115731028989379;-4,17003360655738;0;2,8161326202501478;
20;00:20:00;0;-7,838529385118912;0;0;0;0;0;0;0;0;0;1,2674449082168158;0,36177213546603526;0,05741136152092698;0,6030226561946048;0;0;0;0,32476999701475107;0;2,7586582932815737;0;0;0;0;0;0;0;0;0;0;0;0;1,093938515355368;0,41000000000000003;0;0,21424161288679255;0,3239896121658331;0;0;-9,95073016393443;0,05117655819402048;-4,17003360655738;0;2,826068084122597;
21;00:21:00;0;-6,08927467149153;0;0;0;0;0;0;0;0;0;1,268607799767158;0,36462219708025134;0,0577126076948351;0,6034638263592061;0;0;0;0,32501042134162317;0;2,7698649933306547;0;0;0;0;0;0;0;0;0;0;0;0;1,0941908233776239;0,41000000000000003;0;0,21424832303837849;0,3248156020177722;0;0;-9,95073016393443;0,05124045831480526;-4,17003360655738;0;2,833648003139082;
22;00:22:00;0;-5,569104701835081;0;0;0;0;0;0;0;0;0;1,2687321610789666;0,36503187232865736;0,05772492218028082;0,6044004063770987;0;0;0;0,325442819328;0;2,7753631763535833;0;0;0;0;0;0;0;0;0;0;0;0;1,0990754427676415;0,41000000000000003;0;0,21522795904234956;0,32500712258178094;0;0;-9,95073016393443;0,051326511888922094;-4,17003360655738;0;2,8398591568968996;
23;00:23:00;0;-5,275174984795509;0;0;0;0;0;0;0;0;0;1,2708380081169632;0,36518119944688404;0,05776162985547241;0,6057377810599811;0;0;0;0,32549774003166454;0;2,781689503901278;0;0;0;0;0;0;0;0;0;0;0;0;1,1003285522150423;0,41000000000000003;0;0,21548457680483127;0,3267358279791358;0;0;-9,95073016393443;0,051425748371407384;-4,17003360655738;0;2,84305998215457;
24;00:24:00;0;-4,877080442841303;0;0;0;0;0;0;0;0;0;1,2711568960604476;0,36549006529646033;0,05785437028720803;0,6062796726912854;0;0;0;0,3265084876616204;0;2,793503572130906;0;0;0;0;0;0;0;0;0;0;0;0;1,100421950427899;0,41000000000000003;0;0,21571380655697905;0,32762495903169164;0;0;-9,95073016393443;0,05146381291742714;-4,17003360655738;0;2,852484673504474;
25;00:25:00;0;-2,038724412878901;0;0;0;0;0;0;0;0;0;1,2724487064933723;0,3664913302885686;0,05804209323468197;0,6072031133580446;0;0;0;0,32671639641704875;0;2,793897283298251;0;0;0;0;0;0;0;0;0;0;0;0;1,100939578122355;0,41000000000000003;0;0,21582209816485756;0,32853947112171944;0;0;-9,95073016393443;0,05152624285886352;-4,17003360655738;0;2,856046816429537;
26;00:26:00;0;0;0;0;0;0;0;0;0;0;0;1,2725028582205038;0,36695177908300713;0,05822158346172472;0,6080560368486387;0;0;0;0,3268022164325147;0;2,816853427926776;0;0;0;0;0;0;0;0;0;0;0;0;1,101460935605146;0,41000000000000003;0;0,21602107518610655;0,328756682733197;0;0;-9,95073016393443;0,051664775689702375;-4,17003360655738;0;2,8671273010793676;
27;00:27:00;0;0;0;0;0;0;0;0;0;0;0;1,2726848121297516;0,36938167974676184;0,0583502054265178;0,6084025062320171;0;0;0;0,32710704537218627;0;2,8174454922999668;0;0;0;0;0;0;0;0;0;0;0;0;1,1033279468187818;0,41000000000000003;0;0,21703003054572886;0,3291990672650787;0;0;-9,95073016393443;0,05173329778013272;-4,17003360655738;0;2,8747752583515567;
28;00:28:00;0;0;0;0;0;0;0;0;0;0;0;1,2732853246183249;0,37047319112496657;0,05836640319537595;0,6085737508116225;0;0;0;0,32793177472157187;0;2,8275452342216636;0;0;0;0;0;0;0;0;0;0;0;0;1,1039036355769694;0,41000000000000003;0;0,2174222587759741;0,3306757913747063;0;0;-9,95073016393443;0,0520670897562497;-4,17003360655738;0;2,8774480304629124;
29;00:29:00;0;0;0;0;0;0;0;0;0;0;0;1,2740914917501867;0,37079737598782253;0,058375851733427214;0,6098339762628862;0;0;0;0,328039843496204;0;2,8292290417126216;0;0;0;0;0;0;0;0;0;0;0;0;1,1079198074180983;0,41000000000000003;0;0,2175443415692273;0,3314631763451823;0;0;-9,95073016393443;0,05218508363754379;-4,17003360655738;0;2,8788449343075473;
