Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Bathroom Light (20W);0,0308771929824561;5,635087719298238;0;0;(no category);
Bathroom Mirror Light 100W (Conventional);0,10873587675790475;19,844297508317617;0;0;(no category);
Kitchen Light (60W);0,10000000000000019;18,250000000000036;0;0;(no category);
Living Room Light (Energy Saving Lamp, 20W);0,4087719298245521;74,60087719298076;0;0;(no category);
Bedroom Light (200W);0,7052631578947357;128,71052631578925;0;0;(no category);
Toaster / Bosch TAT8SL1;0,10975165144126253;20,029676388030413;7;2,861382341147202;Kitchen equipment / Toaster;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;5,845288371794182;1066,7651278524381;160;6,6672820490777385;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;0,7123513365455447;130,0041189195619;30;4,333470630652063;Kitchen equipment / Electric kettle;
Westinghouse Fanaway;0;0;14,73684210526316;0;Devices for enviromental improvement / Fan / Ceiling fan;
Clatronic MS 3249 Milk Foamer;0,4549296341560485;83,02465823347885;4;20,75616455836971;Kitchen equipment / Coffee equipment / Cappucino creamer;
Nespresso Coffee Machine, Single Cup;0,052503357901639396;9,58186281704919;0;0;Kitchen equipment / Coffee equipment / Coffee machine;
PC / Acer Aspire M3640;1,7761306811322786;324,14384930664085;214;1,5146908846104712;Computers and Components / Computer / PC;
PC Monitor / Fujitsu Siemens Scaleoview H19-1;0,7053070365470276;128,71853416983254;72;1,787757419025452;Computers and Components / Monitor / TFT display;
Epson Stylus Color 860;0,0125630491043566;2,2927564615450793;30;0,07642521538483597;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,6626197138565588;120,92809777882198;29;4,169934406166275;Computers and Components / Computer component / Photocopier;
Canon CanoScan LIDE 110;0,001704784298725647;0,31112313451743057;4;0,07778078362935764;Computers and Components / Computer component / Scanner;
External Harddrive Iomega 3.5";0,029209097033840427;5,330660208675877;0;0;Computers and Components / Computer component / External Harddrives;
Extractor Hood / Miele DA 429-4;0,05287291091530649;9,649306242043435;16;0,6030816401277147;Kitchen equipment / Extractor hood / Cabinet mounted;
Kitchen radio / AEG KRC 4323 CD;0,00875175718609149;1,597195686461697;4;0,39929892161542424;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv;0,2200811888809832;40,164816970779434;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind left;
Microwave / Panasonic NN 5259;0;0;46;0;Kitchen equipment / Microwave;
Oven / AEG B 33512-5-M;0,9918219967127359;181,00751440007429;83;2,1808134265069192;Kitchen equipment / Baking oven / Normal sized Baking oven;
Miele DA 61;0,13560934237821476;24,748704984024194;16;1,546794061501512;Kitchen equipment / Extractor hood / Wall mounted;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;0,5187493803960009;94,67176192227016;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Bauknecht GTM 2511;0;0;282;0;Appliances / Freezer;
Dehumidifier / Trotec TTK 50 S;0;0;74,73684210526316;0;Devices for enviromental improvement / Air Dehumidifier;
Dishwasher Whirlpool 45cm from Ikea;1,8575421916666672;339,00144997916675;300;1,1300048332638892;Kitchen equipment / Dishwashers;
Miele T 495 C;0;0;349;0;Appliances / Dryer;
Electronic hometrainer / Kettler Track Perfomance;0,9339709105870071;170,4496911821288;187;0,9114956747707422;Health equipment / Electronic hometrainer / Treadmill;
Coffee Machine / Braun Impression KF 600;0;0;17;0;Kitchen equipment / Coffee equipment / Coffee machine;
Electric Kettle / Petra WK288 1.5L;0;0;0;0;Kitchen equipment / Electric kettle;
Washing Machine AEG Lavamat 54610;0;0;0;0;Appliances / Washing machine;
Tectro TP 020;0;0;234,73684210526318;0;Devices for enviromental improvement / Air conditioning;
Sony PlayStation 3;0;0;57;0;Education and Entertainment equipment / Video game console / Playstation 3;
TV Samsung LED UE40 B7090;0,8668257416666666;158,19569785416664;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Osram Light Bulb Classic A 60W;0;0;263;0;Light;
CD/DVD Player / Phillips CD 380;0,06905123318925686;12,601850057039378;33;0,38187424415270843;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
SAT Receiver / Kathrein UFS913;0,059956349047922235;10,942033701245808;31;0,3529688290724454;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Siemens VS 91143 S Super 911;0;0;48;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;
Siemens Kl 20 LA 65 (A+);2,14986758333335;392,35083395833635;0;0;(no category);
PC / Acer Aspire M3640;0,5013907844795326;91,5038181675147;0;0;Computers and Components / Computer / PC;
Router O2 Box 6431;1,4075078908469778;256,87019007957343;0;0;(no category);
PC Monitor / Fujitsu Siemens Scaleoview H19-1;0,1477630223843262;26,966751585139534;0;0;Computers and Components / Monitor / TFT display;
Epson Stylus Color 860;0,02993128998524908;5,462460422307957;0;0;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,31761777626530824;57,96524416841876;0;0;Computers and Components / Computer component / Photocopier;
Kitchen radio / AEG KRC 4323 CD;0,16978375102250176;30,98553456160657;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Microwave / Panasonic NN 5259;1,489163378637791;271,7723166013968;0;0;Kitchen equipment / Microwave;
Bauknecht GTM 2511;3,182840695246858;580,8684268825516;0;0;Appliances / Freezer;
Electric Razor / Phillips PT860/16 Razor PowerTouch Plus;0,027229401114701807;4,96936570343308;0;0;(no category);
Electric Toothbrush Dondodent Professional Clean;0,4941393991049204;90,18044033664798;0;0;(no category);
Smartphone Samung S4;0,05816343376595894;10,614826662287507;0;0;(no category);
TV Samsung LED UE40 B7090;0,29124999999999995;53,15312499999999;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Sony PlayStation 3;0,578738344994671;105,61974796152747;0;0;Education and Entertainment equipment / Video game console / Playstation 3;
CD/DVD Player / Phillips CD 380;0,11161190474512206;20,369172615984777;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
SAT Receiver / Kathrein UFS913;0,1651566600181185;30,141090453306624;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Yamaha RX-V667;1,516328380906252;276,729929515391;0;0;(no category);
Sums;30,069723570749616;5487,724551661801;2606,2105263157896
