Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Bathroom Light (20W);0,009641400418579988;1,7595555763908477;0;0;(no category);
Bathroom Mirror Light 100W (Conventional);0,03395276663536053;6,196379910953297;0;0;(no category);
Kitchen Light (60W);0,03122498999199196;5,698560673538532;0;0;(no category);
Living Room Light (Energy Saving Lamp, 20W);0,12763899417778948;23,29411643744658;0;0;(no category);
Bedroom Light (200W);0,22021835046983843;40,189848960745515;0;0;(no category);
Toaster / Bosch TAT8SL1;0,034269942178580176;6,254264447590882;7;0,8934663496558403;Kitchen equipment / Toaster;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;1,825190709095806;333,0973044099846;160;2,0818581525624036;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;0,2224316335441675;40,59377312181057;30;1,353125770727019;Kitchen equipment / Electric kettle;
Westinghouse Fanaway;0;0;14;0;Devices for enviromental improvement / Fan / Ceiling fan;
Clatronic MS 3249 Milk Foamer;0,14205173273583188;25,924441224289318;4;6,481110306072329;Kitchen equipment / Coffee equipment / Cappucino creamer;
Nespresso Coffee Machine, Single Cup;-0,0021646736885245895;-0,3950529481557376;0;0;Kitchen equipment / Coffee equipment / Coffee machine;
PC / Acer Aspire M3640;0,5545966274282523;101,21388450565605;214;0,4729620771292339;Computers and Components / Computer / PC;
PC Monitor / Fujitsu Siemens Scaleoview H19-1;0,2202320515746249;40,19234941236904;72;0,5582270751717923;Computers and Components / Monitor / TFT display;
Epson Stylus Color 860;0,003922810825524384;0,7159129756582;30;0,023863765855273333;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,2069029393366765;37,759786428943464;29;1,3020616009980506;Computers and Components / Computer component / Photocopier;
Canon CanoScan LIDE 110;0,0005323187266621348;0,09714816761583961;4;0,024287041903959902;Computers and Components / Computer component / Scanner;
External Harddrive Iomega 3.5";0,005003841639683144;0,9132010992421739;0;0;Computers and Components / Computer component / External Harddrives;
Extractor Hood / Miele DA 429-4;0,01650956114177929;3,0129949083747203;16;0,18831218177342002;Kitchen equipment / Extractor hood / Cabinet mounted;
Kitchen radio / AEG KRC 4323 CD;0,0027327353054805103;0,4987241932501931;4;0,12468104831254828;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv;0,06872032920234405;12,54146007942779;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind left;
Microwave / Panasonic NN 5259;0;0;46;0;Kitchen equipment / Microwave;
Oven / AEG B 33512-5-M;0,3096963192119272;56,519578256176715;83;0,6809587741708037;Kitchen equipment / Baking oven / Normal sized Baking oven;
Miele DA 61;0,04234400358580374;7,727780654409182;16;0,4829862909005739;Kitchen equipment / Extractor hood / Wall mounted;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;0,16197944211217175;29,561248185471342;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Bauknecht GTM 2511;0;0;282;0;Appliances / Freezer;
Dehumidifier / Trotec TTK 50 S;0;0;71;0;Devices for enviromental improvement / Air Dehumidifier;
Dishwasher Whirlpool 45cm from Ikea;0,5737723861866666;104,71346047906665;300;0,3490448682635555;Kitchen equipment / Dishwashers;
Miele T 495 C;0;0;349;0;Appliances / Dryer;
Electronic hometrainer / Kettler Track Perfomance;0,2916323233589097;53,22289901300102;187;0,2846144332246044;Health equipment / Electronic hometrainer / Treadmill;
Coffee Machine / Braun Impression KF 600;0;0;17;0;Kitchen equipment / Coffee equipment / Coffee machine;
Electric Kettle / Petra WK288 1.5L;0;0;0;0;Kitchen equipment / Electric kettle;
Washing Machine AEG Lavamat 54610;0;0;0;0;Appliances / Washing machine;
Tectro TP 020;0;0;223;0;Devices for enviromental improvement / Air conditioning;
Sony PlayStation 3;0;0;57;0;Education and Entertainment equipment / Video game console / Playstation 3;
TV Samsung LED UE40 B7090;0,14129423472533337;25,78619783737334;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Osram Light Bulb Classic A 60W;0;0;263;0;Light;
CD/DVD Player / Phillips CD 380;0,021561240652692527;3,9349264191163864;33;0,11924019451867837;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
SAT Receiver / Kathrein UFS913;0,01872136398977752;3,4166489281343977;31;0,11021448155272251;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Siemens VS 91143 S Super 911;0;0;48;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;
Siemens Kl 20 LA 65 (A+);1,1261931552999942;205,53025084224893;0;0;(no category);
PC / Acer Aspire M3640;0,15655922227450494;28,572058065097153;0;0;Computers and Components / Computer / PC;
Router O2 Box 6431;-1,1787166623360665;-215,11579087633214;0;0;(no category);
PC Monitor / Fujitsu Siemens Scaleoview H19-1;0,046138988951370676;8,420365483625147;0;0;Computers and Components / Monitor / TFT display;
Epson Stylus Color 860;0,009346042302368147;1,7056527201821867;0;0;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,09917611885163015;18,0996416904225;0;0;Computers and Components / Computer component / Photocopier;
Kitchen radio / AEG KRC 4323 CD;0,0530149592648049;9,675230065826895;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Microwave / Panasonic NN 5259;0,464991115944059;84,86087865979077;0;0;Kitchen equipment / Microwave;
Bauknecht GTM 2511;0,9938416885518813;181,37610816071833;0;0;Appliances / Freezer;
Electric Razor / Phillips PT860/16 Razor PowerTouch Plus;0,008502377772945017;1,5516839435624656;0;0;(no category);
Electric Toothbrush Dondodent Professional Clean;-0,49329693285518533;-90,02669024607133;0;0;(no category);
Smartphone Samung S4;0,018161526372419568;3,314478562966571;0;0;(no category);
TV Samsung LED UE40 B7090;0,04776499999999813;8,717112499999658;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Sony PlayStation 3;0,18071099030440635;32,97975573055416;0;0;Education and Entertainment equipment / Video game console / Playstation 3;
CD/DVD Player / Phillips CD 380;0,03485080608653596;6,360272110792812;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
SAT Receiver / Kathrein UFS913;0,05157015056176575;9,41155247752225;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Yamaha RX-V667;0,4734733851837149;86,40889279602797;0;0;(no category);
Sums;7,376892307094879;1346,2828460448147;2590
