-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,00014302151149254158;0,8272;;
Dishwashing;2,988397844722222E-05;0,1728;;

Sum;0,00017290548993976378;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;3,0272438935570528E-06;0,0175;198;
Cooling;7,582071673333324E-06;0,0439;333,1;
Office;2,6386304097899803E-05;0,1526;317,4;
TV/Audio;1,7884619081930414E-05;0,1034;283,9;
Cooking;6,827321430584285E-05;0,3949;173;
Freezing;1,9518320441459197E-05;0,1129;56,1;
Washing;3,497379985189487E-07;0,0020;78;
Other;0;0,0000;133,3;
Dish washing;2,988397844722222E-05;0,1728;51;

Sum;0,00017290548993976378;1;
