Timestep;Time span;Sum [var]
0;00:00:00;1949,673799992867
1;00:01:00;1563,085546734743
2;00:02:00;1528,109497428283
3;00:03:00;1488,260433388852
4;00:04:00;1432,2583915674138
5;00:05:00;1391,7902885087851
6;00:06:00;1378,0997049284654
7;00:07:00;1374,9738532557585
8;00:08:00;1362,6672937349172
9;00:09:00;1359,0064447200702
10;00:10:00;1357,8421891828198
11;00:11:00;1349,8073121655675
12;00:12:00;1345,0677066689275
13;00:13:00;1335,8640821224244
14;00:14:00;1309,587396266908
15;00:15:00;1291,4043186403674
16;00:16:00;1291,2286758521568
17;00:17:00;1288,1567617368787
18;00:18:00;1270,2631528190004
19;00:19:00;1260,6513199229425
20;00:20:00;1242,9392891442108
21;00:21:00;1227,12810836246
22;00:22:00;1216,7027413621527
23;00:23:00;1210,2199569457996
24;00:24:00;1206,6735206690842
25;00:25:00;1186,5875373003387
26;00:26:00;1162,3152934197453
27;00:27:00;1140,1433479445197
28;00:28:00;1128,4726307696715
29;00:29:00;1125,0204815603513
30;00:30:00;1103,7204085261892
31;00:31:00;1099,7702862276822
32;00:32:00;1095,2000273558763
33;00:33:00;1092,1634205486635
34;00:34:00;1074,8014385518893
35;00:35:00;1072,860918183635
36;00:36:00;1050,4814054226167
37;00:37:00;1033,5948468522374
38;00:38:00;1033,136705544818
39;00:39:00;1031,5820398705914
40;00:40:00;1031,3133820709731
41;00:41:00;1029,2749284262215
42;00:42:00;1027,3135745514703
43;00:43:00;1020,5871725985508
44;00:44:00;1016,2668677831294
45;00:45:00;1015,7040048246544
46;00:46:00;1011,5651991411531
47;00:47:00;1002,9659535630117
48;00:48:00;994,6601737237281
49;00:49:00;990,9599007350702
50;00:50:00;984,784388632241
51;00:51:00;981,409864977404
52;00:52:00;965,5130126274123
53;00:53:00;961,7857381759236
54;00:54:00;951,2281049065788
55;00:55:00;946,574637893976
56;00:56:00;938,5845852410548
57;00:57:00;848,218828748321
58;00:58:00;837,3206318487959
59;00:59:00;815,6628651058359
60;01:00:00;773,3143724528289
61;01:01:00;770,4646145801822
62;01:02:00;765,9071011379168
63;01:03:00;761,1145100911181
64;01:04:00;746,9463814354847
65;01:05:00;742,9584497166697
66;01:06:00;740,5057460489933
67;01:07:00;737,0297995877263
68;01:08:00;736,3522627954954
69;01:09:00;735,4810012199242
70;01:10:00;735,4337943409043
71;01:11:00;731,1609297361291
72;01:12:00;731,059313873327
73;01:13:00;725,4166088183025
74;01:14:00;721,5049452249257
75;01:15:00;720,0943325465407
76;01:16:00;718,4966787715564
77;01:17:00;718,3914161151391
78;01:18:00;718,2887299033273
79;01:19:00;714,8003245908918
80;01:20:00;713,511204641743
81;01:21:00;712,2450079041108
82;01:22:00;712,2265085326991
83;01:23:00;711,5527907397127
84;01:24:00;710,627296208007
85;01:25:00;709,0352409392817
86;01:26:00;703,008687755603
87;01:27:00;699,5872151291721
88;01:28:00;697,5258769375888
89;01:29:00;697,4338515233433
90;01:30:00;693,9339711177546
91;01:31:00;689,6040676559004
92;01:32:00;688,8910634660679
93;01:33:00;687,8899449518259
94;01:34:00;684,0936212984584
95;01:35:00;683,893843207984
96;01:36:00;683,7425270690377
97;01:37:00;683,1954484115062
98;01:38:00;683,0058554878033
99;01:39:00;682,981910626759
100;01:40:00;681,6027759420689
101;01:41:00;681,1020572064634
102;01:42:00;679,4337712611731
103;01:43:00;678,5358735071019
104;01:44:00;678,3214645165772
105;01:45:00;677,2782936595488
106;01:46:00;673,070862513979
107;01:47:00;672,395717797671
108;01:48:00;671,1460092720763
109;01:49:00;671,1057519905673
110;01:50:00;669,6354940474864
111;01:51:00;668,6883884100918
112;01:52:00;666,6743541498449
113;01:53:00;666,5109648556866
114;01:54:00;666,4671274053345
115;01:55:00;665,4839923260562
116;01:56:00;665,2469176080942
117;01:57:00;664,618642037069
118;01:58:00;664,5135694143279
119;01:59:00;664,1726883041662
120;02:00:00;663,5378580239814
121;02:01:00;663,3816132682794
122;02:02:00;661,693517458424
123;02:03:00;661,1375260299056
124;02:04:00;660,997864338367
125;02:05:00;660,3996324779812
126;02:06:00;659,6801733270165
127;02:07:00;658,4411875453762
128;02:08:00;658,220347061602
129;02:09:00;657,647159584966
130;02:10:00;656,8917337783955
131;02:11:00;656,5955689885137
132;02:12:00;656,5608310017246
133;02:13:00;656,3401997887589
134;02:14:00;656,2431510531693
135;02:15:00;656,1222466243423
136;02:16:00;655,6425106950901
137;02:17:00;655,196208033439
138;02:18:00;655,0587692941356
139;02:19:00;653,1150407346194
140;02:20:00;652,4479194408643
141;02:21:00;651,3519361294386
142;02:22:00;650,8614336462339
143;02:23:00;650,7739123941695
144;02:24:00;646,9479602813748
145;02:25:00;645,5430805633249
146;02:26:00;643,5227182009238
147;02:27:00;643,1915194003561
148;02:28:00;643,1573774217728
149;02:29:00;641,4880074976707
150;02:30:00;641,2071120188704
151;02:31:00;641,006280920477
152;02:32:00;639,5614267318836
153;02:33:00;639,4944505907131
154;02:34:00;638,2913068535976
155;02:35:00;637,8612913943916
156;02:36:00;637,8053802083402
157;02:37:00;637,6751780228182
158;02:38:00;637,3486625101209
159;02:39:00;637,052995777455
160;02:40:00;635,9909843396339
161;02:41:00;634,8669410252484
162;02:42:00;634,566324489545
163;02:43:00;634,3897053253829
164;02:44:00;634,0728112203124
165;02:45:00;633,2321681105766
166;02:46:00;631,3534789572186
167;02:47:00;631,2436390336151
168;02:48:00;628,3948210058311
169;02:49:00;626,9867687632973
170;02:50:00;626,4947333311134
171;02:51:00;625,5452758587893
172;02:52:00;624,516931922523
173;02:53:00;624,5121907352809
174;02:54:00;624,4964499415324
175;02:55:00;623,3933770689634
176;02:56:00;622,6002632452384
177;02:57:00;621,6992054171312
178;02:58:00;621,4588119116796
179;02:59:00;620,7137356169883
180;03:00:00;616,5449749359095
181;03:01:00;615,215781251194
182;03:02:00;615,2061354336251
183;03:03:00;614,7773574679009
184;03:04:00;614,7578512670203
185;03:05:00;611,6771120258569
186;03:06:00;611,0446558886305
187;03:07:00;608,539003418919
188;03:08:00;608,40661952948
189;03:09:00;608,2470147660783
190;03:10:00;608,141172953227
191;03:11:00;607,5231680749895
192;03:12:00;607,0666211569855
193;03:13:00;606,5146487444962
194;03:14:00;605,7996449905393
195;03:15:00;605,2920824019369
196;03:16:00;605,0552723226543
197;03:17:00;604,8000413118882
198;03:18:00;604,5062741621228
199;03:19:00;601,3319281092328
200;03:20:00;600,8305181816548
201;03:21:00;600,1021490419332
202;03:22:00;599,5531838537634
203;03:23:00;598,7590332409451
204;03:24:00;596,5899147640457
205;03:25:00;594,8576202721459
206;03:26:00;594,3587615366221
207;03:27:00;593,4059194906191
208;03:28:00;593,1173945727486
209;03:29:00;592,3587133692607
210;03:30:00;592,1725244584995
211;03:31:00;591,4849223636128
212;03:32:00;589,706398741465
213;03:33:00;589,4936314277429
214;03:34:00;589,4551320683911
215;03:35:00;589,2962744556952
216;03:36:00;588,6607312597578
217;03:37:00;586,7154811428336
218;03:38:00;584,6791742218819
219;03:39:00;583,883535311268
220;03:40:00;583,5949917385242
221;03:41:00;583,382408593454
222;03:42:00;576,7780533275499
223;03:43:00;576,2452641592771
224;03:44:00;574,8690442973874
225;03:45:00;574,5332197463537
226;03:46:00;572,8282026326052
227;03:47:00;572,7307054746442
228;03:48:00;572,2718021693437
229;03:49:00;571,6119415709563
230;03:50:00;571,5704044216475
231;03:51:00;566,2475952590717
232;03:52:00;565,9384791081727
233;03:53:00;565,5045958553569
234;03:54:00;562,4158261062247
235;03:55:00;561,7541875005979
236;03:56:00;560,0664676763763
237;03:57:00;559,8155800379268
238;03:58:00;557,3134713179788
239;03:59:00;555,999393193177
240;04:00:00;551,5933714065154
241;04:01:00;549,1603512846763
242;04:02:00;548,0015102477745
243;04:03:00;546,5327035994818
244;04:04:00;546,1220631335585
245;04:05:00;544,1493401104196
246;04:06:00;543,4340794529064
247;04:07:00;542,6234121969094
248;04:08:00;541,5751407312407
249;04:09:00;539,4616474927491
250;04:10:00;538,2983642411227
251;04:11:00;537,4365973913765
252;04:12:00;537,0365722390519
253;04:13:00;536,4897203907101
254;04:14:00;534,7852691501856
255;04:15:00;534,5126018202797
256;04:16:00;533,769772684803
257;04:17:00;532,2189189567954
258;04:18:00;532,0523135561211
259;04:19:00;531,2892134604881
260;04:20:00;528,7813186986498
261;04:21:00;528,7761952715583
262;04:22:00;525,7364365877386
263;04:23:00;523,8369825998569
264;04:24:00;522,1492211052697
265;04:25:00;520,8273745194475
266;04:26:00;520,3091609321407
267;04:27:00;517,8559656987413
268;04:28:00;517,7967746560433
269;04:29:00;514,8473862062107
270;04:30:00;512,2404621353808
271;04:31:00;509,06321923219616
272;04:32:00;502,6326672657707
273;04:33:00;501,63143138611287
274;04:34:00;498,49787518247314
275;04:35:00;498,4648464024063
276;04:36:00;498,3808444387335
277;04:37:00;496,19608864379006
278;04:38:00;493,3637680201591
279;04:39:00;493,05946120893475
280;04:40:00;489,07966876339174
281;04:41:00;484,0359679212635
282;04:42:00;480,61344652458223
283;04:43:00;472,2641633585752
284;04:44:00;472,0866262641418
285;04:45:00;462,764486903681
286;04:46:00;459,01686219454643
287;04:47:00;456,9194775743956
288;04:48:00;454,1436638285323
289;04:49:00;410,42052049700675
290;04:50:00;409,9779613313533
291;04:51:00;397,53773189323744
292;04:52:00;390,71026208239977
293;04:53:00;386,8959396868097
294;04:54:00;382,5164863727399
295;04:55:00;371,7783994857972
296;04:56:00;362,44330539069233
297;04:57:00;350,1601862786566
298;04:58:00;344,42741411628236
299;04:59:00;340,4392979390856
300;05:00:00;321,7979264658668
301;05:01:00;316,0069346389102
302;05:02:00;312,70242502359093
303;05:03:00;307,6810140395789
304;05:04:00;305,1294107364084
305;05:05:00;300,78441389405305
306;05:06:00;282,1369622794433
307;05:07:00;274,7700570307712
308;05:08:00;260,8130056311384
309;05:09:00;256,7713350553969
310;05:10:00;255,6628862983504
311;05:11:00;255,62692177157186
312;05:12:00;250,97784706148477
313;05:13:00;248,38837452362682
314;05:14:00;246,23950126508115
315;05:15:00;246,06633447523345
316;05:16:00;244,4024026518367
317;05:17:00;243,49406204331063
318;05:18:00;240,2444601741393
319;05:19:00;239,49886999624542
320;05:20:00;238,05339744764814
321;05:21:00;236,9414514501909
322;05:22:00;235,34185255115904
323;05:23:00;234,95850493218293
324;05:24:00;231,3215439480638
325;05:25:00;231,26225744933538
326;05:26:00;229,5185042607045
327;05:27:00;228,3942653126477
328;05:28:00;227,6110606074443
329;05:29:00;227,39201812345195
330;05:30:00;226,50391815406635
331;05:31:00;223,802999372189
332;05:32:00;222,2902654444771
333;05:33:00;220,11450324417953
334;05:34:00;220,07306652666531
335;05:35:00;219,99219275845735
336;05:36:00;218,64362286296034
337;05:37:00;216,60611680378548
338;05:38:00;216,210186087776
339;05:39:00;215,47997884293653
340;05:40:00;214,81346765091286
341;05:41:00;213,70499142872038
342;05:42:00;213,0934477402714
343;05:43:00;212,58948050529946
344;05:44:00;207,88518972192915
345;05:45:00;207,81032653620684
346;05:46:00;206,88395560072993
347;05:47:00;204,33735552260364
348;05:48:00;204,21848576187625
349;05:49:00;202,54646134632716
350;05:50:00;201,9205517104231
351;05:51:00;201,67624495000848
352;05:52:00;200,2463887011
353;05:53:00;198,97087132359565
354;05:54:00;196,38169410733192
355;05:55:00;194,65082001542862
356;05:56:00;193,87832727682823
357;05:57:00;193,74098366014746
358;05:58:00;193,72444713332524
359;05:59:00;192,550295402853
360;06:00:00;192,534810260953
361;06:01:00;191,80669087430562
362;06:02:00;191,4045934173844
363;06:03:00;191,29370950770448
364;06:04:00;191,29010882313193
365;06:05:00;187,26112666293554
366;06:06:00;187,00158961430793
367;06:07:00;186,63976047069886
368;06:08:00;186,41384075242505
369;06:09:00;186,27575149494095
370;06:10:00;185,70677712084102
371;06:11:00;185,56596646376735
372;06:12:00;184,67681524731196
373;06:13:00;184,36569698954602
374;06:14:00;184,31426365175963
375;06:15:00;184,24657959094554
376;06:16:00;183,52157287782754
377;06:17:00;183,09604973748455
378;06:18:00;182,93288866832674
379;06:19:00;182,5636521954656
380;06:20:00;182,2641188778252
381;06:21:00;182,08199048582514
382;06:22:00;182,05944668630445
383;06:23:00;182,0282663780867
