None.Timestep;Time;HH1 - Bath - Cleanser [None];HH1 - Dance Club - Dance Club [None];HH1 - Bath - Window [None];HH1 - Kitchen - Cloth Drying Rack [None];HH1 - Kitchen - Mop [None];HH1 - Supermarket - Supermarket [None];HH1 - Cafe - Cafe Table [None];HH1 - Bedroom - Book [None];HH1 - Bedroom - Couch [None];HH1 - Living room - Book [None];HH1 - Living room - Couch [None];HH1 - Living room - Magazine [None];HH1 - Living room - Newspaper [None];HH1 - Bedroom - Bed 1 [None];HH1 - Kitchen - Window [None];HH1 - Office Workplace 1 - Office [None]
0;16/04/2025 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;16/04/2025 00:01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;16/04/2025 00:02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;16/04/2025 00:03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;16/04/2025 00:04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;16/04/2025 00:05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;16/04/2025 00:06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;16/04/2025 00:07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;16/04/2025 00:08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;16/04/2025 00:09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;16/04/2025 00:10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;16/04/2025 00:11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;16/04/2025 00:12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;16/04/2025 00:13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;16/04/2025 00:14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;16/04/2025 00:15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;16/04/2025 00:16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;16/04/2025 00:17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;16/04/2025 00:18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;16/04/2025 00:19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;16/04/2025 00:20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;16/04/2025 00:21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;16/04/2025 00:22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;16/04/2025 00:23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;16/04/2025 00:24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;16/04/2025 00:25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;16/04/2025 00:26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;16/04/2025 00:27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
