Device;Load Type;Profile;Number of Activations
Bathroom Light (60W);Apparent;Bath - light [Synthetic for Light Device];10
Bathroom Light (60W);Electricity;Bath - light [Synthetic for Light Device];10
Bathroom Light (60W);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];10
Bathroom Light (60W);Reactive;Bath - light [Synthetic for Light Device];10
Bathroom Mirror Light 100W (Conventional);Apparent;Bath - light [Synthetic for Light Device];10
Bathroom Mirror Light 100W (Conventional);Electricity;Bath - light [Synthetic for Light Device];10
Bathroom Mirror Light 100W (Conventional);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];10
Bathroom Mirror Light 100W (Conventional);Reactive;Bath - light [Synthetic for Light Device];10
Bathroom Sink 10L/min;Warm Water;0 h 01 min 100% [Synthetic];20
Bathroom Sink 10L/min;Warm Water;0 h 01 min 50% [Synthetic];6
Bed 1;None;08 h 0 min 100% [Synthetic];5
Bed 3 (Children);None;10 h 0 min 100% [Synthetic];5
Bedroom Light (200W);Apparent;Bedroom - light [Synthetic for Light Device];132
Bedroom Light (200W);Electricity;Bedroom - light [Synthetic for Light Device];132
Bedroom Light (200W);Inner Device Heat Gains;Bedroom - light [Synthetic for Light Device];132
Bedroom Light (200W);Reactive;Bedroom - light [Synthetic for Light Device];132
Book;None;0 h 01 min 100% [Synthetic];128
Book;None;01 h 0 min 100% [Synthetic];2
CD/DVD Player / Philips DVDR 725 H;Apparent;01 h 30 min 100% [Synthetic];1
CD/DVD Player / Philips DVDR 725 H;Apparent;02 h 0 min 100% [Synthetic];3
CD/DVD Player / Philips DVDR 725 H;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Philips DVDR 725 H;Electricity;01 h 30 min 100% [Synthetic];1
CD/DVD Player / Philips DVDR 725 H;Electricity;02 h 0 min 100% [Synthetic];3
CD/DVD Player / Philips DVDR 725 H;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];1
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;02 h 0 min 100% [Synthetic];3
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Philips DVDR 725 H;Reactive;01 h 30 min 100% [Synthetic];1
CD/DVD Player / Philips DVDR 725 H;Reactive;02 h 0 min 100% [Synthetic];3
CD/DVD Player / Philips DVDR 725 H;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Children Room Light Device (20W);Apparent;Children's room - light [Synthetic for Light Device];7
Children Room Light Device (20W);Electricity;Children's room - light [Synthetic for Light Device];7
Children Room Light Device (20W);Inner Device Heat Gains;Children's room - light [Synthetic for Light Device];7
Children Room Light Device (20W);Reactive;Children's room - light [Synthetic for Light Device];7
Cloth Drying Rack;None;0 h 20 min 100% [Synthetic];1
Coffee Machine / Braun KF 580E;Apparent;0 h 10 min 100% [Synthetic];3
