Inner Device Heat Gains.Time;Time span;Bathroom Light (60W) [Watt];Bathroom Mirror Light 100W (Conventional) [Watt];Children Room Light Device (20W) [Watt];Living Room Light (60W) [Watt];Bedroom Light (200W) [Watt];Kitchen Light (20W) [Watt];Electric Kettle / Petra WK288 1.5L [Watt];CD/DVD Player / Philips DVDR 725 H [Watt];Phillips 32-9615 [Watt];SAT Receiver / Kathrein UFS913 [Watt];Egg Cooker / Russell Hobbs 14048-56 Stylo [Watt];Moulinex electronic 833 [Watt];Kitchen radio / AEG KRC 4323 CD [Watt];Single Stove Plate [Watt];Coffee Machine / Braun KF 580E [Watt];Food Slicer / DOMO Schneidemaschine DO521S [Watt];Toaster / Tefal Vario [Watt];Extractor Hood / Miele DA 429-4 [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [Watt];Microwave / Panasonic NN-CD757W [Watt];Miele H 5241 B [Watt];Miele DA 61 [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [Watt];Laptop Sony Vaio SVE151G11M [Watt];Washing Machine / Bosch WFS 8000 [Watt];Hair Dryer / Braun Satin Pro 2200 Ion Care [Watt];LED Lamp Globe E 14 Ambient 3W matt [Watt];Vacuum Cleaner FiF [Watt];Yamaha RX-V667 [Watt];Liebherr CBP 4056-20A [Watt];Electric Tooth Brush / Phillips HX9332 [Watt];Phone Siemens Gigaset C320 [Watt];Router / AVM FRITZ! Box Fon WLAN 7390 [Watt];
0;00:00:00;0;-179,954839750245;0;0;0;0;0;0,6731530542451958;2,196420932757681;0,8228937705936503;0;0;0,8258968976705151;0;0;0;0;0;0;14,979536110001249;0;0;0;1,4944251074446262;0;0;0;0;7,7053557897845835;0;1,3487575602287185;2,72044196721312;5,249046111253081;
1;00:01:00;0;-164,37958437977036;0;0;0;0;0;0,7083207588127602;2,209242511592502;0,8229485355302508;0;0;0,8653387624665315;0;0;0;0;0;0;15,07517647475892;0;0;0;1,7785142932725992;0;0;0;0;7,886381784522065;0;1,3752394306346913;2,72044196721312;5,265719665923543;
2;00:02:00;0;-150,4288976216771;0;0;0;0;0;0,7090789955779377;2,234676551398346;0,8690538734376795;0;0;0,8750723634233182;0;0;0;0;0;0;15,818051532186164;0;0;0;1,7849556647740628;0;0;0;0;7,916216098010203;0;1,391661764480269;2,72044196721312;5,373981871044901;
3;00:03:00;0;-134,15617950120574;0;0;0;0;0;0,7234265771710321;2,276450084204041;0,8957536925564126;0;0;0,8826892564326836;0;0;0;0;0;0;15,992695278923632;0;0;0;1,9158746406232725;0;0;0;0;7,970867958642895;0;1,3990399654909886;2,72044196721312;5,381470450665139;
4;00:04:00;0;-128,13085412000538;0;0;0;0;0;0,733232210160656;2,27958019368747;0,8974749927669194;0;0;0,899701495733867;0;0;0;0;0;0;16,346105444589114;0;0;0;1,923591501515286;0;0;0;0;8,007093849648374;0;1,4169759360262968;2,72044196721312;5,4576942968162925;
5;00:05:00;0;-127,88940117621546;0;0;0;0;0;0,7412743853906385;2,287575355695845;0,8980113322195765;0;0;0,9017369012998866;0;0;0;0;0;0;16,51877431429626;0;0;0;1,940667571805897;0;0;0;0;8,25456533200141;0;1,429435787141033;2,72044196721312;5,5898156434109225;
6;00:06:00;0;-109,58612779510175;0;0;0;0;0;0,741477033949988;2,293482152104963;0,9095331817777561;0;0;0,9038993873311469;0;0;0;0;0;0;16,542386674975855;0;0;0;1,9495041675692741;0;0;0;0;8,267577040505849;0;1,436069756105165;2,72044196721312;5,604915934094047;
7;00:07:00;0;-106,78483916851094;0;0;0;0;0;0,7415327182217478;2,3004841623709624;0,913251324927227;0;0;0,9220344775600601;0;0;0;0;0;0;16,605725706601056;0;0;0;1,9542695617022368;0;0;0;0;8,323927887136554;0;1,436136635315419;2,72044196721312;5,613593772992038;
8;00:08:00;0;-105,6251154350191;0;0;0;0;0;0,7454149493458683;2,3014096435827502;0,9282085491051061;0;0;0,9244368233005675;0;0;0;0;0;0;16,7076820665949;0;0;0;1,9592121600020418;0;0;0;0;8,41230080092772;0;1,4381150476985776;2,72044196721312;5,622348405218133;
9;00:09:00;0;-104,23499318307763;0;0;0;0;0;0,7507558940985952;2,309656077311706;0,9348536830155711;0;0;0,9306765194777917;0;0;0;0;0;0;16,860422479184784;0;0;0;1,9676067454481052;0;0;0;0;8,486314209856964;0;1,4403233960662893;2,72044196721312;5,638381589817488;
