-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,0001147440947345602;0,8721;;
Laundry;1,6831462054996862E-05;0,1279;;

Sum;0,00013157555678955705;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;2,011230273198037E-05;0,1529;301,3;
TV/Audio;2,7261991600802322E-05;0,2072;399,7;
Cooling;1,9853468933932342E-05;0,1509;333,1;
Cooking;2,3455546740229894E-05;0,1783;329,1;
Washing;2,888387829524156E-05;0,2195;136,8;
Office;1,2008368487370548E-05;0,0913;414,8;

Sum;0,00013157555678955705;1;
