Apparent.Time;Time span;Living Room Light (60W) [VA];Kitchen Light (20W) [VA];Bathroom Light (100W) [VA];Bathroom Mirror Light 100W (Conventional) [VA];Bedroom Light (200W) [VA];Children Room Light (200W) [VA];Children Room Light (100W) [VA];Bread Baking Machine Unold 6595 [VA];Toaster / Bosch TAT8SL1 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left [VA];Electric Kettle / Phillips Essential HD 4685/90 Schwarz [VA];Miele DG 1450 [VA];Handmixer / Phillips Robust HR 1581 [VA];PC / Acer 8400 [VA];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [VA];Epson Stylus S20 [VA];TASKalfa 180 [VA];Canon CanoScan LIDE 110 [VA];External Harddrive Iomega 3.5" [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right-semi aktiv [VA];Microwave / Panasonic NN 5259 [VA];Miele DA 249-2 [VA];Miele DA 61 [VA];Deep Fryer / DeLonghi F 28311.W Rotofritteuse [VA];Ricecooker / Tristar RK-6112 [VA];Steam Cooker / Phillips HD9140 [VA];Kitchen radio / AEG KRC 4323 CD [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [VA];Braun Multiquick 3 MR 300 Soup [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [VA];Fondue / Unold 48746 Asia [VA];Dishwashers / Bosch SGI 58M02 EU [VA];Hedge Trimmer / Bosch AHS 550-24 ST [VA];Atika LH 2500 G [VA];Lawn Mower / Sabo 32-EL [VA];Laptop Siemens Amilio from 2005 [VA];Coffee Machine / Braun KF 580E [VA];Washing Machine / Bosch WOL 2450 [VA];CD/DVD Player / Philips DVDR 725 H [VA];Home Cinema System / Samsung HT-D5550 [VA];TV / Phillips Goya 9770 VT [VA];SAT Receiver / Kathrein UFS913 [VA];Panasonic Hifi System (unknown type) [VA];Hair Dryer Babyliss 2000 [VA];Fancy Ceiling Lights with at least 3 Bulbs [VA];Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260 [VA];Nintendo Wii [VA];Kitchen professional Hot Stone [VA];Beamer / Acer H7531D [VA];Heater / Honeywell BH-888E [VA];Siemens Fridge from 1987 (unknown type) [VA];Router O2 Box 6431 [VA];Bauknecht GTE 260 [VA];Electric Tooth Brush / Phillips HX9332 [VA];Phone Siemens Gigaset C320 [VA];Yamaha RX-V667 [VA];Electric Razor / Phillips PT860/16 Razor PowerTouch Plus [VA];
0;00:00:00;0;0;0;-145,42917285111648;0;0;0;0;0;0;0;0;0;1,072795848011182;0,7724469251335017;0,15861022114942874;1,6865951883227208;0;0;0;8,039585911215793;0;0;0;0;0;0,9256214457005733;0;0;0;0;0;0;0;0;0;0;0;0,6769538920022582;1,2595398490291239;1,6609242208998705;0,9342444481200368;21,0752;0;0;0;1,2803618189306878;0;7,985047971230162;0;0;11,3268114754098;0;1,2786498197688345;4,31627770491803;7,426372239966894;0,14657333679310694;
1;00:01:00;0;0;0;-144,6977353854705;0;0;0;0;0;0;0;0;0;1,1215763512700836;0,8173972967008439;0,15959299064606744;1,72257466837907;0;0;0;8,160601862916623;0;0;0;0;0;0,9326562171306803;0;0;0;0;0;0;0;0;0;0;0;0,7333177973286932;1,452934861314261;1,7221592696039583;0,9397866697757843;21,0752;0;0;0;1,3358323889324188;0;8,262573092756329;0;0;11,3268114754098;0;1,2863821961087902;4,31627770491803;8,10633974225971;0,1468183204470486;
2;00:02:00;0;0;0;-133,73233535143547;0;0;0;0;0;0;0;0;0;1,1460527610026632;0,819405985302452;0,16857643200127376;1,758992164681932;0;0;0;8,25686184076894;0;0;0;0;0;0,9522079582216852;0;0;0;0;0;0;0;0;0;0;0;0,7534488628098679;1,485289244539892;1,7906022925991942;0,9624607006227005;21,0752;0;0;0;1,379371786985217;0;8,372440551697965;0;0;11,3268114754098;0;1,3048461435009229;4,31627770491803;8,123389101846712;0,147984226422715;
3;00:03:00;0;0;0;-122,19326029678071;0;0;0;0;0;0;0;0;0;1,148260343187513;0,8395170374727122;0,17288495846064633;1,8243522693221113;0;0;0;8,268271706406903;0;0;0;0;0;0,9549072988125251;0;0;0;0;0;0;0;0;0;0;0;0,7605795313676401;1,487407541423471;1,8323066540506734;0,9810849620572317;21,0752;0;0;0;1,387487372663974;0;8,420943223568761;0;0;11,3268114754098;0;1,3171518045872468;4,31627770491803;8,146626052407964;0,14966088354117413;
4;00:04:00;0;0;0;-119,48575982567463;0;0;0;0;0;0;0;0;0;1,1505667194441964;0,8720562454387822;0,17465049866786395;1,8306638589081052;0;0;0;8,310803452392646;0;0;0;0;0;0,9575387489921499;0;0;0;0;0;0;0;0;0;0;0;0,7655053079314291;1,505429632370341;1,8424765020819218;0,9930871549352642;21,0752;0;0;0;1,398838284497547;0;8,52600467760166;0;0;11,3268114754098;0;1,4016904599153135;4,31627770491803;8,241848198813628;0,1527194641606103;
5;00:05:00;0;0;0;-112,55680631304855;0;0;0;0;0;0;0;0;0;1,1669701491091768;0,8765668801482536;0,17789741189895736;1,8317561878333486;0;0;0;8,49714214502824;0;0;0;0;0;0,9594568410664985;0;0;0;0;0;0;0;0;0;0;0;0,7684336438531436;1,5110195384659497;1,896082898533344;0,9934965939857683;21,0752;0;0;0;1,4209367041899665;0;8,757103963037697;0;0;11,3268114754098;0;1,4219314452582401;4,31627770491803;8,46446986965323;0,15391199633385044;
6;00:06:00;0;0;0;-110,18243971067406;0;0;0;0;0;0;0;0;0;1,173128468737023;0,8804606218635127;0,17829561675971003;1,8364101181972385;0;0;0;8,50435236476779;0;0;0;0;0;0,9599180868455579;0;0;0;0;0;0;0;0;0;0;0;0,7714346409274201;1,5119502539197014;1,9083433553253162;1,0054798366705224;21,0752;0;0;0;1,4284106701051191;0;8,840896231678194;0;0;11,3268114754098;0;1,4546025595189067;4,31627770491803;8,495941173774803;0,15438680259617396;
7;00:07:00;0;0;0;-93,43395287387568;0;0;0;0;0;0;0;0;0;1,1731589883812694;0,8885098648441674;0,17838009072599992;1,849303562563904;0;0;0;8,514801179195606;0;0;0;0;0;0,9684733085018967;0;0;0;0;0;0;0;0;0;0;0;0,773259574722015;1,5218755633545722;1,926372467634614;1,0068504462687289;21,0752;0;0;0;1,4294559552831947;0;8,877033330361769;0;0;11,3268114754098;0;1,4649167850532638;4,31627770491803;8,740701395079826;0,15503649918112006;
8;00:08:00;0;0;0;-90,00469399097499;0;0;0;0;0;0;0;0;0;1,1779968033197135;0,8926379069215067;0,17882741946359237;1,8497384587611883;0;0;0;8,522060039182792;0;0;0;0;0;0,9711127125068495;0;0;0;0;0;0;0;0;0;0;0;0,7740283070589768;1,5401360574230947;1,9273782074476533;1,007520357580967;21,0752;0;0;0;1,4566035078125663;0;8,925298729981398;0;0;11,3268114754098;0;1,4665988133637573;4,31627770491803;8,768886100800213;0,1552353584258138;
9;00:09:00;0;0;0;-84,84526182377442;0;0;0;0;0;0;0;0;0;1,1849052059389518;0,8986290437603522;0,17907557604757413;1,8526026553170192;0;0;0;8,540518153768971;0;0;0;0;0;0,9722765738242576;0;0;0;0;0;0;0;0;0;0;0;0,7794084663867991;1,5426619944225304;1,9336365041967172;1,0093474951513686;21,0752;0;0;0;1,4622839597323745;0;9,064205144185147;0;0;11,3268114754098;0;1,4747026991703782;4,31627770491803;8,813308707503092;0,1570859173990468;
