Electricity.Time;Time span;Living Room Light (60W) [Watt];Kitchen Light (20W) [Watt];Bathroom Light (100W) [Watt];Bathroom Mirror Light 100W (Conventional) [Watt];Bedroom Light (200W) [Watt];Children Room Light (200W) [Watt];Children Room Light (100W) [Watt];Bread Baking Machine Unold 6595 [Watt];Toaster / Bosch TAT8SL1 [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left [Watt];Electric Kettle / Phillips Essential HD 4685/90 Schwarz [Watt];Miele DG 1450 [Watt];Handmixer / Phillips Robust HR 1581 [Watt];PC / Acer 8400 [Watt];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [Watt];Epson Stylus S20 [Watt];TASKalfa 180 [Watt];Canon CanoScan LIDE 110 [Watt];External Harddrive Iomega 3.5" [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right-semi aktiv [Watt];Microwave / Panasonic NN 5259 [Watt];Miele DA 249-2 [Watt];Miele DA 61 [Watt];Deep Fryer / DeLonghi F 28311.W Rotofritteuse [Watt];Ricecooker / Tristar RK-6112 [Watt];Steam Cooker / Phillips HD9140 [Watt];Kitchen radio / AEG KRC 4323 CD [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [Watt];Braun Multiquick 3 MR 300 Soup [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [Watt];Fondue / Unold 48746 Asia [Watt];Dishwashers / Bosch SGI 58M02 EU [Watt];Hedge Trimmer / Bosch AHS 550-24 ST [Watt];Atika LH 2500 G [Watt];Lawn Mower / Sabo 32-EL [Watt];Laptop Siemens Amilio from 2005 [Watt];Coffee Machine / Braun KF 580E [Watt];Washing Machine / Bosch WOL 2450 [Watt];CD/DVD Player / Philips DVDR 725 H [Watt];Home Cinema System / Samsung HT-D5550 [Watt];TV / Phillips Goya 9770 VT [Watt];SAT Receiver / Kathrein UFS913 [Watt];Panasonic Hifi System (unknown type) [Watt];Hair Dryer Babyliss 2000 [Watt];Fancy Ceiling Lights with at least 3 Bulbs [Watt];Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260 [Watt];Nintendo Wii [Watt];Kitchen professional Hot Stone [Watt];Beamer / Acer H7531D [Watt];Heater / Honeywell BH-888E [Watt];Siemens Fridge from 1987 (unknown type) [Watt];Router O2 Box 6431 [Watt];Bauknecht GTE 260 [Watt];Electric Tooth Brush / Phillips HX9332 [Watt];Phone Siemens Gigaset C320 [Watt];Yamaha RX-V667 [Watt];Electric Razor / Phillips PT860/16 Razor PowerTouch Plus [Watt];
0;00:00:00;0;0;0;-138,15771420856063;0;0;0;0;0;0;0;0;0;1,019156055610623;0,7338245788768265;0,15067971009195733;1,6022654289065847;0;0;0;7,637606615655002;0;0;0;0;0;0,8793403734155445;0;0;0;0;0;0;0;0;0;0;0;0,6431061974021454;1,1965628565776676;1,5778780098548768;0,8875322257140349;8,43008;0;0;0;1,2163437279841531;0;7,585795572668654;0;0;6,11708049180328;0;1,214717328780393;2,72044196721312;7,055053627968549;0,1392446699534516;
1;00:01:00;0;0;0;-137,46284861619696;0;0;0;0;0;0;0;0;0;1,0654975337065793;0,7765274318658015;0,1516133411137641;1,6364459349601164;0;0;0;7,7525717697707925;0;0;0;0;0;0,8860234062741462;0;0;0;0;0;0;0;0;0;0;0;0,6966519074622586;1,3802881182485478;1,6360513061237603;0,8927973362869951;8,43008;0;0;0;1,2690407694857977;0;7,849444438118512;0;0;6,11708049180328;0;1,2220630863033508;2,72044196721312;7,701022755146725;0,13947740442469617;
2;00:02:00;0;0;0;-127,04571858386369;0;0;0;0;0;0;0;0;0;1,0887501229525298;0,7784356860373292;0,1601476104012101;1,6710425564478355;0;0;0;7,844018748730492;0;0;0;0;0;0,9045975603106009;0;0;0;0;0;0;0;0;0;0;0;0,7157764196693746;1,4110247823128974;1,7010721779692344;0,9143376655915654;8,43008;0;0;0;1,3104031976359558;0;7,953818524113066;0;0;6,11708049180328;0;1,2396038363258768;2,72044196721312;7,717219646754376;0,14058501510157925;
3;00:03:00;0;0;0;-116,08359728194166;0;0;0;0;0;0;0;0;0;1,0908473260281373;0,7975411855990765;0,16424071053761405;1,7331346558560057;0;0;0;7,854858121086558;0;0;0;0;0;0,9071619338718988;0;0;0;0;0;0;0;0;0;0;0;0,7225505547992582;1,4130371643522974;1,7406913213481399;0,9320307139543701;8,43008;0;0;0;1,3181130040307751;0;7,999896062390323;0;0;6,11708049180328;0;1,2512942143578845;2,72044196721312;7,7392947497875655;0,14217783936411543;
4;00:04:00;0;0;0;-113,5114718343909;0;0;0;0;0;0;0;0;0;1,0930383834719866;0,828453433166843;0,16591797373447076;1,7391306659627;0;0;0;7,895263279773013;0;0;0;0;0;0,9096618115425423;0;0;0;0;0;0;0;0;0;0;0;0,7272300425348577;1,430158150751824;1,7503526769778257;0,9434327971885009;8,43008;0;0;0;1,3288963702726695;0;8,099704443721578;0;0;6,11708049180328;0;1,3316059369195479;2,72044196721312;7,829755788872947;0,14508349095257977;
5;00:05:00;0;0;0;-106,92896599739612;0;0;0;0;0;0;0;0;0;1,108621641653718;0,8327385361408407;0,16900254130400952;1,7401683784416813;0;0;0;8,072285037776828;0;0;0;0;0;0,9114839990131735;0;0;0;0;0;0;0;0;0;0;0;0,7300119616604865;1,4354685615426521;1,8012787536066766;0,9438217642864798;8,43008;0;0;0;1,349889868980468;0;8,319248764885812;0;0;6,11708049180328;0;1,3508348729953281;2,72044196721312;8,04124637617057;0,1462163965171579;
6;00:06:00;0;0;0;-104,67331772514035;0;0;0;0;0;0;0;0;0;1,1144720453001717;0,8364375907703369;0,16938083592172454;1,7445896122873765;0;0;0;8,0791347465294;0;0;0;0;0;0,9119221825032799;0;0;0;0;0;0;0;0;0;0;0;0,7328629088810492;1,4363527412237163;1,8129261875590503;0,9552058448369962;8,43008;0;0;0;1,356990136599863;0;8,398851420094285;0;0;6,11708049180328;0;1,3818724315429614;2,72044196721312;8,071144115086062;0,14666746246636528;
7;00:07:00;0;0;0;-88,76225523018189;0;0;0;0;0;0;0;0;0;1,1145010389622059;0,8440843716019588;0,16946108618969996;1,7568383844357087;0;0;0;8,089061120235826;0;0;0;0;0;0,9200496430768018;0;0;0;0;0;0;0;0;0;0;0;0,7345965959859143;1,4457817851868435;1,830053844252883;0,9565079239552923;8,43008;0;0;0;1,3579831575190346;0;8,433181663843682;0;0;6,11708049180328;0;1,3916709458006007;2,72044196721312;8,303666325325835;0,14728467422206404;
8;00:08:00;0;0;0;-85,50445929142623;0;0;0;0;0;0;0;0;0;1,1190969631537278;0,8480060115754312;0,16988604849041278;1,7572515358231289;0;0;0;8,095957037223652;0;0;0;0;0;0,922557076881507;0;0;0;0;0;0;0;0;0;0;0;0,735326891706028;1,4631292545519399;1,8310092970752705;0,9571443397019187;8,43008;0;0;0;1,3837733324219377;0;8,479033793482328;0;0;6,11708049180328;0;1,3932688726955695;2,72044196721312;8,330441795760201;0,1474735905045231;
9;00:09:00;0;0;0;-80,60299873258569;0;0;0;0;0;0;0;0;0;1,1256599456420042;0,8536975915723345;0,17012179724519547;1,7599725225511682;0;0;0;8,113492246080522;0;0;0;0;0;0,9236627451330446;0;0;0;0;0;0;0;0;0;0;0;0,7404380430674592;1,4655288947014038;1,8369546789868811;0,9588801203938001;8,43008;0;0;0;1,3891697617457555;0;8,61099488697589;0;0;6,11708049180328;0;1,4009675642118593;2,72044196721312;8,372643272127936;0,14923162152909444;
