Reactive.Time;Time span;Living Room Light (60W) [var];Kitchen Light (20W) [var];Bathroom Light (100W) [var];Bathroom Mirror Light 100W (Conventional) [var];Bedroom Light (200W) [var];Children Room Light (200W) [var];Children Room Light (100W) [var];Bread Baking Machine Unold 6595 [var];Toaster / Bosch TAT8SL1 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left [var];Electric Kettle / Phillips Essential HD 4685/90 Schwarz [var];Miele DG 1450 [var];Handmixer / Phillips Robust HR 1581 [var];PC / Acer 8400 [var];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [var];Epson Stylus S20 [var];TASKalfa 180 [var];Canon CanoScan LIDE 110 [var];External Harddrive Iomega 3.5" [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right-semi aktiv [var];Microwave / Panasonic NN 5259 [var];Miele DA 249-2 [var];Miele DA 61 [var];Deep Fryer / DeLonghi F 28311.W Rotofritteuse [var];Ricecooker / Tristar RK-6112 [var];Steam Cooker / Phillips HD9140 [var];Kitchen radio / AEG KRC 4323 CD [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [var];Braun Multiquick 3 MR 300 Soup [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [var];Fondue / Unold 48746 Asia [var];Dishwashers / Bosch SGI 58M02 EU [var];Hedge Trimmer / Bosch AHS 550-24 ST [var];Atika LH 2500 G [var];Lawn Mower / Sabo 32-EL [var];Laptop Siemens Amilio from 2005 [var];Coffee Machine / Braun KF 580E [var];Washing Machine / Bosch WOL 2450 [var];CD/DVD Player / Philips DVDR 725 H [var];Home Cinema System / Samsung HT-D5550 [var];TV / Phillips Goya 9770 VT [var];SAT Receiver / Kathrein UFS913 [var];Panasonic Hifi System (unknown type) [var];Hair Dryer Babyliss 2000 [var];Fancy Ceiling Lights with at least 3 Bulbs [var];Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260 [var];Nintendo Wii [var];Kitchen professional Hot Stone [var];Beamer / Acer H7531D [var];Heater / Honeywell BH-888E [var];Siemens Fridge from 1987 (unknown type) [var];Router O2 Box 6431 [var];Bauknecht GTE 260 [var];Electric Tooth Brush / Phillips HX9332 [var];Phone Siemens Gigaset C320 [var];Yamaha RX-V667 [var];Electric Razor / Phillips PT860/16 Razor PowerTouch Plus [var];
0;00:00:00;0;0;0;-45,4102446681979;0;0;0;0;0;0;0;0;0;0,33498039617599756;0,24119647506638603;0,04952602568018547;0,5266391787591883;0;0;0;2,5103598961747307;0;0;0;0;0;0,28902520378373586;0;0;0;0;0;0;0;0;0;0;0;0,21137878502810567;0,3932911918044953;0,5186234217505555;0,2917177354262226;2,6976256000000003;0;0;0;0,39979284982239427;0;2,493330429872379;0;0;-9,95073016393443;0;0,399258278255442;3,33918672131147;2,3188839886977366;0,045767509744576385;
1;00:01:00;0;0;0;-45,18185339275226;0;0;0;0;0;0;0;0;0;0,3502121034366329;0,25523222408965185;0,04983289535715526;0,537873767805954;0;0;0;2,548147114982029;0;0;0;0;0;0,2912218104587463;0;0;0;0;0;0;0;0;0;0;0;0,22897840882538084;0,45367876503554105;0,5377440595799984;0,2934482935835638;2,6976256000000003;0;0;0;0,41711352975393573;0;2,5799876212941877;0;0;-9,95073016393443;0;0,40167271199373633;3,33918672131147;2,531203773237466;0,04584400586600168;
2;00:02:00;0;0;0;-41,75790832954293;0;0;0;0;0;0;0;0;0;0,35785485992602983;0,25585943690447427;0,0526379740212549;0,5492451273818568;0;0;0;2,5782042834327084;0;0;0;0;0;0,2973268396576728;0;0;0;0;0;0;0;0;0;0;0;0,23526433200715902;0,4637814179597151;0,5591153866604777;0,3005282574462945;2,6976256000000003;0;0;0;0,43070870243849546;0;2,61429372435317;0;0;-9,95073016393443;0;0,4074380777190564;3,33918672131147;2,5365274340622066;0,046208059890219554;
3;00:03:00;0;0;0;-38,154833298558536;0;0;0;0;0;0;0;0;0;0,3585441772423142;0,2621391109319223;0,05398331097699631;0,5696538135145083;0;0;0;2,5817670128362624;0;0;0;0;0;0,2981697084870123;0;0;0;0;0;0;0;0;0;0;0;0,2374908825506855;0,4644428559496134;0,5721375693499262;0,30634368121530936;2,6976256000000003;0;0;0;0,4332427932544789;0;2,6294386787906747;0;0;-9,95073016393443;0;0,4112805191617095;3,33918672131147;2,543783169549401;0,04673159590765844;
4;00:04:00;0;0;0;-37,30941654742253;0;0;0;0;0;0;0;0;0;0,3592643429976413;0,2722994753628012;0,0545346007300046;0,5716246067310705;0;0;0;2,59504754626373;0;0;0;0;0;0,2989913785422444;0;0;0;0;0;0;0;0;0;0;0;0,23902895578975653;0,4700702520441213;0,5753131033798843;0,3100913647402946;2,6976256000000003;0;0;0;0,436787114338512;0;2,662244107297889;0;0;-9,95073016393443;0;0,4376777058272629;3,33918672131147;2,5735162752347303;0,04768663739997439;
5;00:05:00;0;0;0;-35,14585150655525;0;0;0;0;0;0;0;0;0;0,3643863122688749;0,2737079205994089;0,05554844906146219;0,5719656863286574;0;0;0;2,653231784390403;0;0;0;0;0;0,29959030260049696;0;0;0;0;0;0;0;0;0;0;0;0,23994332838824378;0,47181569966303677;0,5920516953069084;0,31021921204283776;2,6987648;0;0;0;0,44368734367585827;0;2,7344048360468562;0;0;-9,95073016393443;0;0,4439979514748723;3,33918672131147;2,6430298696744012;0,048059005451719906;
6;00:06:00;0;0;0;-34,404455772590616;0;0;0;0;0;0;0;0;0;0,3663092469563447;0,2749237410603126;0,05567278848937983;0,5734188756190163;0;0;0;2,655483174782478;0;0;0;0;0;0,29973432654884674;0;0;0;0;0;0;0;0;0;0;0;0,24088038942434659;0,47210631547032467;0,5958800217131742;0,3139609783718683;2,6987648;0;0;0;0,4460210887848696;0;2,7605689635439146;0;0;-9,95073016393443;0;0,4541995036330377;3,33918672131147;2,652856781236711;0,04820726365961178;
7;00:07:00;0;0;0;-29,17474243399022;0;0;0;0;0;0;0;0;0;0,36631877671220625;0,27743711637545315;0,05569916547689969;0,5774448523321306;0;0;0;2,6587458160418453;0;0;0;0;0;0,3024056936548313;0;0;0;0;0;0;0;0;0;0;0;0,24145022481906933;0,47520549234803733;0,6015096102273974;0,3143889510817376;2,6987648;0;0;0;0,44634747897711147;0;2,7718527689912573;0;0;-9,95073016393443;0;0,4574201195238922;3,33918672131147;2,7292831358435827;0,04841013135323951;
8;00:08:00;0;0;0;-28,10395669100498;0;0;0;0;0;0;0;0;0;0,3678293839425665;0,2787260971009675;0,05583884383044423;0,5775806486262082;0;0;0;2,661012394346377;0;0;0;0;0;0,30322984729122604;0;0;0;0;0;0;0;0;0;0;0;0,24169026141435085;0,4809073297934217;0,6018236523833644;0,3145981308219392;2,6987648;0;0;0;0,45482429953747855;0;2,786923635192081;0;0;-9,95073016393443;0;0,4579453326955063;3,33918672131147;2,7380838073840454;0,04847222513249328;
9;00:09:00;0;0;0;-26,49292451315299;0;0;0;0;0;0;0;0;0;0,3699865319690302;0,2805968289793036;0,05591633069895701;0,5784749937141174;0;0;0;2,666775938778622;0;0;0;0;0;0,30359326287110733;0;0;0;0;0;0;0;0;0;0;0;0,24337021562601657;0,4816960533686996;0,6037778049169288;0,315168654345437;2,6987648;0;0;0;0,4565980200809386;0;2,8302971491254367;0;0;-9,95073016393443;0;0,46047577022758607;3,33918672131147;2,7519547618812017;0,0490500619866812;
