Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Living Room Light (60W);2,3421052631578707;427,4342105263114;0;0;(no category);
Kitchen Light (20W);0,06666666666666683;12,166666666666696;0;0;(no category);
Bathroom Light (100W);0,2789473684210522;50,90789473684203;0;0;(no category);
Bathroom Mirror Light 100W (Conventional);0,22816545933923732;41,64019632941081;0;0;(no category);
Bedroom Light (200W);3,431578947368409;626,2631578947346;0;0;(no category);
Children Room Light (200W);1,7964912280701963;327,8596491228108;0;0;(no category);
Children Room Light (100W);0;0;0;0;(no category);
Children Room Light (100W);0;0;0;0;(no category);
Bread Baking Machine Unold 6595;0,35141958333333334;64,13407395833333;0;0;Kitchen equipment / Breadmaker;
Toaster / Bosch TAT8SL1;0,39302329667753644;71,7267516436504;7;10,246678806235773;Kitchen equipment / Toaster;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;16,81437222055341;3068,622930250997;160;19,17889331406873;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;2,4958329877374306;455,4895202620811;30;15,182984008736037;Kitchen equipment / Electric kettle;
Miele DG 1450;3,2947401790862285;601,2900826832367;62;9,698227140052206;Kitchen equipment / Baking oven / Normal sized Baking oven;
Handmixer / Phillips Robust HR 1581;0,04054410893988546;7,399299881529097;1;7,399299881529097;Kitchen equipment / Handmixer;
PC / Acer 8400;0,1540038143835421;28,105696124996435;61;0,4607491168032202;Computers and Components / Computer / PC;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,19736405940972324;36,01894084227449;72;0,5002630672538123;Computers and Components / Monitor / TFT display;
Epson Stylus S20;0,00871568532494664;1,5906125718027617;30;0,053020419060092056;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,4549600338449359;83,0302061767008;29;2,863110557817269;Computers and Components / Computer component / Photocopier;
Canon CanoScan LIDE 110;0,00037757239954718164;0,06890696291736065;4;0,017226740729340162;Computers and Components / Computer component / Scanner;
External Harddrive Iomega 3.5";0,0546438649549437;9,972505354277226;0;0;Computers and Components / Computer component / External Harddrives;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right-semi aktiv;0,852977443009681;155,66838334926678;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front right;
Microwave / Panasonic NN 5259;0;0;46;0;Kitchen equipment / Microwave;
Miele DA 249-2;0,37739725784820755;68,87499955729788;16;4,304687472331118;Kitchen equipment / Extractor hood / Cabinet mounted;
Miele DA 61;0;0;16;0;Kitchen equipment / Extractor hood / Wall mounted;
Deep Fryer / DeLonghi F 28311.W Rotofritteuse;0;0;105,26315789473685;0;Kitchen equipment / Deep Fryer;
Ricecooker / Tristar RK-6112;0;0;21,05263157894737;0;Kitchen equipment / Rice Cooker;
Steam Cooker / Phillips HD9140;0;0;31,578947368421055;0;Kitchen equipment / Steam cooker;
Kitchen radio / AEG KRC 4323 CD;0,034152629183969045;6,232854826074351;4;1,5582137065185877;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;1,3801079910328766;251,8697083635;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Braun Multiquick 3 MR 300 Soup;0,008875224226692591;1,6197284213713978;2;0,8098642106856989;Kitchen equipment / Electric whisks / Immersion blender;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;0,33940449332841593;61,94132003243591;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind left;
Fondue / Unold 48746 Asia;0;0;7;0;Kitchen equipment / Fondue;
Dishwashers / Bosch SGI 58M02 EU;2,773664194063959;506,1937154166725;242;2,0917095678374897;Kitchen equipment / Dishwashers;
Hedge Trimmer / Bosch AHS 550-24 ST;0;0;1;0;Tools / Garden devices / Hedge trimmer;
Atika LH 2500 G;0;0;30;0;Tools / Garden devices / Garden Shredder;
Lawn Mower / Sabo 32-EL;0;0;127;0;Tools / Garden devices / Lawn mower;
Laptop Siemens Amilio from 2005;3,1211509466667158;569,6100477666756;0;0;Computers and Components / Computer / Laptop;
Coffee Machine / Braun KF 580E;0,22707297838979218;41,440818556137074;17;2,437695209184534;Kitchen equipment / Coffee equipment / Coffee machine;
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;0,16385649818137338;29,903810918100643;30;0,9967936972700214;Kitchen equipment / Electric kettle;
Washing Machine / Bosch WOL 2450;1,6439096106526057;300,01350394410053;184;1,630508173609242;Appliances / Washing machine;
CD/DVD Player / Philips DVDR 725 H;0,48744047873362045;88,95788736888574;33;2,695693556632901;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
Home Cinema System / Samsung HT-D5550;0,9558061466069393;174,43462175576641;440;0,3964423221721964;Education and Entertainment equipment / Hifi devices / Home cinema system;
TV / Phillips Goya 9770 VT;3,8472766942517267;702,1279967009401;139;5,051280551805324;Education and Entertainment equipment / Entertainment device / Television set;
SAT Receiver / Kathrein UFS913;0,40689906758804073;74,25907983481743;31;2,395454188219917;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Panasonic Hifi System (unknown type);0,6062396333333377;110,63873308333413;0;0;Education and Entertainment equipment / Hifi devices / Hifi- System;
Hair Dryer Babyliss 2000;1,5739732619298241;287,2501203021929;0;0;Bath devices / Hair dryer;
Fancy Ceiling Lights with at least 3 Bulbs;0;0;0;0;Light;
Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260;0,705951300403781;128,83611232369003;48;2,684085673410209;Appliances / Vacuum cleaner / Canister vacuum cleaner;
Nintendo Wii;0,13844396251347577;25,266023158709327;20;1,2633011579354663;Education and Entertainment equipment / Video game console / Nintendo Wii;
Kitchen professional Hot Stone;0;0;7;0;Kitchen equipment / Raclette;
Beamer / Acer H7531D;0;0;56;0;Computers and Components / Computer component / Beamer;
Heater / Honeywell BH-888E;0;0;126,31578947368422;0;Devices for enviromental improvement / Heater;
Siemens Fridge from 1987 (unknown type);14,37746853333337;2623,8880073333403;0;0;(no category);
PC / Acer 8400;0,18115350274199385;33,060514250413874;0;0;Computers and Components / Computer / PC;
Epson Stylus S20;0,03004466254908428;5,483150915207881;0;0;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,3184419991158941;58,11566483865067;0;0;Computers and Components / Computer component / Photocopier;
