Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Living Room Light (60W);2,2249999999999996;406,06249999999994;0;0;(no category);
Kitchen Light (20W);0,06333333333333332;11,558333333333332;0;0;(no category);
Bathroom Light (100W);0,26499999999999996;48,36249999999999;0;0;(no category);
Bathroom Mirror Light 100W (Conventional);0,21675718637227562;39,5581865129403;0;0;(no category);
Bedroom Light (200W);3,2599999999999993;594,9499999999999;0;0;(no category);
Children Room Light (200W);1,7066666666666663;311,4666666666666;0;0;(no category);
Children Room Light (100W);0;0;0;0;(no category);
Children Room Light (100W);0;0;0;0;(no category);
Bread Baking Machine Unold 6595;0,30417709651666663;55,51232011429166;0;0;Kitchen equipment / Breadmaker;
Toaster / Bosch TAT8SL1;0,37337213184365947;68,14041406146785;0;0;Kitchen equipment / Toaster;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;15,973653609525707;2915,1917837384417;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;2,3710413383505595;432,7150442489771;0;0;Kitchen equipment / Electric kettle;
Miele DG 1450;3,1300031701319164;571,2255785490747;0;0;Kitchen equipment / Baking oven / Normal sized Baking oven;
Handmixer / Phillips Robust HR 1581;0,03851690349289119;7,0293348874526425;0;0;Kitchen equipment / Handmixer;
PC / Acer 8400;0,14630362366436492;26,700411318746596;0;0;Computers and Components / Computer / PC;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,18749585643923725;34,2179938001608;0;0;Computers and Components / Monitor / TFT display;
Epson Stylus S20;0,008279901058699309;1,511081943212624;0;0;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,43221203215268905;78,87869586786576;0;0;Computers and Components / Computer component / Photocopier;
Canon CanoScan LIDE 110;0,0003586937795698225;0,06546161477149261;0;0;Computers and Components / Computer component / Scanner;
External Harddrive Iomega 3.5";0,029239601631511007;5,336227297750758;0;0;Computers and Components / Computer component / External Harddrives;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right-semi aktiv;0,8103285708591967;147,8849641818034;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front right;
Microwave / Panasonic NN 5259;0;0;0;0;Kitchen equipment / Microwave;
Miele DA 249-2;0,35852739495579716;65,43124957943299;0;0;Kitchen equipment / Extractor hood / Cabinet mounted;
Miele DA 61;0;0;0;0;Kitchen equipment / Extractor hood / Wall mounted;
Deep Fryer / DeLonghi F 28311.W Rotofritteuse;0;0;0;0;Kitchen equipment / Deep Fryer;
Ricecooker / Tristar RK-6112;0;0;0;0;Kitchen equipment / Rice Cooker;
Steam Cooker / Phillips HD9140;0;0;0;0;Kitchen equipment / Steam cooker;
Kitchen radio / AEG KRC 4323 CD;0,03244499772477059;5,921212084770632;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;1,311102591481232;239,27622294532483;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Braun Multiquick 3 MR 300 Soup;0,00843146301535796;1,5387420003028276;0;0;Kitchen equipment / Electric whisks / Immersion blender;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;0,32243426866199515;58,84425403081411;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind left;
Fondue / Unold 48746 Asia;0;0;0;0;Kitchen equipment / Fondue;
Dishwashers / Bosch SGI 58M02 EU;0,3491349804278009;63,717133928073665;242;0,2632939418515441;Kitchen equipment / Dishwashers;
Hedge Trimmer / Bosch AHS 550-24 ST;0;0;0;0;Tools / Garden devices / Hedge trimmer;
Atika LH 2500 G;0;0;0;0;Tools / Garden devices / Garden Shredder;
Lawn Mower / Sabo 32-EL;0;0;0;0;Tools / Garden devices / Lawn mower;
Laptop Siemens Amilio from 2005;1,5177671667333457;276,9925079288356;0;0;Computers and Components / Computer / Laptop;
Coffee Machine / Braun KF 580E;0,21571932947030253;39,368777628330214;0;0;Kitchen equipment / Coffee equipment / Coffee machine;
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;0,15566367327230474;28,408620372195614;0;0;Kitchen equipment / Electric kettle;
Washing Machine / Bosch WOL 2450;0,20692712224089702;37,7641998089637;184;0,2052402163530636;Appliances / Washing machine;
CD/DVD Player / Philips DVDR 725 H;0,463068454796939;84,50999300044137;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
Home Cinema System / Samsung HT-D5550;0,9080158392765922;165,7128906679781;0;0;Education and Entertainment equipment / Hifi devices / Home cinema system;
TV / Phillips Goya 9770 VT;3,6549128595391482;667,0215968658946;0;0;Education and Entertainment equipment / Entertainment device / Television set;
SAT Receiver / Kathrein UFS913;0,3865541142086383;70,54612584307648;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Panasonic Hifi System (unknown type);0,4105726010666703;74,92949969466733;0;0;Education and Entertainment equipment / Hifi devices / Hifi- System;
Hair Dryer Babyliss 2000;1,4733390447;268,88437565775;0;0;Bath devices / Hair dryer;
Fancy Ceiling Lights with at least 3 Bulbs;0;0;0;0;Light;
Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260;0,6706537353835916;122,39430670750548;0;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;
Nintendo Wii;0,13152176438780203;24,00272200077387;0;0;Education and Entertainment equipment / Video game console / Nintendo Wii;
Kitchen professional Hot Stone;0;0;0;0;Kitchen equipment / Raclette;
Beamer / Acer H7531D;0;0;0;0;Computers and Components / Computer component / Beamer;
Heater / Honeywell BH-888E;0;0;0;0;Devices for enviromental improvement / Heater;
Siemens Fridge from 1987 (unknown type);7,311174985083396;1334,2894347777196;0;0;(no category);
PC / Acer 8400;0,17209582760489386;31,40748853789313;0;0;Computers and Components / Computer / PC;
Epson Stylus S20;0,028542429421630024;5,208993369447479;0;0;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,3025198991600977;55,20988159671783;0;0;Computers and Components / Computer component / Photocopier;
Router O2 Box 6431;0,7692265178988953;140,3838395165484;0;0;(no category);
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,13368622407269837;24,397735893267452;0;0;Computers and Components / Monitor / TFT display;
Bauknecht GTE 260;2,1696505781845086;395,96123051867283;0;0;(no category);
Kitchen radio / AEG KRC 4323 CD;0,1592182075557766;29,057322878929227;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Microwave / Panasonic NN 5259;1,415318984927657;258,2957147492974;0;0;Kitchen equipment / Microwave;
Laptop Siemens Amilio from 2005;0,23704666666668164;43,2610166666694;0;0;Computers and Components / Computer / Laptop;
Electric Tooth Brush / Phillips HX9332;0,23979048457018712;43,76176343405915;0;0;(no category);
Phone Siemens Gigaset C320;0,33338403842569164;60,842587012688725;0;0;(no category);
CD/DVD Player / Philips DVDR 725 H;0,11558253976441182;21,09381350700516;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
Home Cinema System / Samsung HT-D5550;0,19386361525835116;35,380109784649086;0;0;Education and Entertainment equipment / Hifi devices / Home cinema system;
SAT Receiver / Kathrein UFS913;0,12726933663337722;23,226653935591344;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
TV / Phillips Goya 9770 VT;0,1955836173689611;35,6940101698354;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Panasonic Hifi System (unknown type);0,8791684626666505;160,4482444366637;0;0;Education and Entertainment equipment / Hifi devices / Hifi- System;
Yamaha RX-V667;1,4402398102138494;262,8437653640275;0;0;(no category);
Nintendo Wii;0,22025585077443174;40,19669276633379;0;0;Education and Entertainment equipment / Video game console / Nintendo Wii;
Electric Razor / Phillips PT860/16 Razor PowerTouch Plus;0,025965409587968627;4,738687249804275;0;0;(no category);
Beamer / Acer H7531D;1,4659385554828928;267,5337863756279;0;0;Computers and Components / Computer component / Beamer;
Sums;62,05405315848511;11324,864701423536;426
