Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Living Room Light (60W);0,7313221340229976;133,46628945919707;0;0;(no category);
Kitchen Light (20W);0,020816659994661417;3,7990404490257084;0;0;(no category);
Bathroom Light (100W);0,08710128787239878;15,895985036712776;0;0;(no category);
Bathroom Mirror Light 100W (Conventional);0,07124464184385954;13,002147136504366;0;0;(no category);
Bedroom Light (200W);1,0715101828831164;195,55060837616875;0;0;(no category);
Children Room Light (200W);0,5609542061719347;102,37414262637809;0;0;(no category);
Children Room Light (100W);0;0;0;0;(no category);
Children Room Light (100W);0;0;0;0;(no category);
Bread Baking Machine Unold 6595;0,09733667088533329;17,763942436573327;0;0;Kitchen equipment / Breadmaker;
Toaster / Bosch TAT8SL1;0,12272148505375778;22,396671022310795;7;3,199524431758685;Kitchen equipment / Toaster;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;5,250286043084078;958,1772028628442;160;5,988607517892776;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;0,7793236006378473;142,22655711640715;30;4,740885237213572;Kitchen equipment / Electric kettle;
Miele DG 1450;1,0287822911818147;187,75276814068118;62;3,0282704538819547;Kitchen equipment / Baking oven / Normal sized Baking oven;
Handmixer / Phillips Robust HR 1581;0,01265989395882157;2,3104306474849365;1;2,3104306474849365;Kitchen equipment / Handmixer;
PC / Acer 8400;0,048087675628547;8,776000802209827;61;0,14386886560999718;Computers and Components / Computer / PC;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,06162690779847526;11,246910673221734;72;0,1562070926836352;Computers and Components / Monitor / TFT display;
Epson Stylus S20;0,0027214718704481012;0,49666861635677845;30;0,016555620545225948;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,14206122503564467;25,92617356900515;29;0,8940059851381087;Computers and Components / Computer component / Photocopier;
Canon CanoScan LIDE 110;0,00011789694397113157;0,021516192274731512;4;0,005379048068682878;Computers and Components / Computer component / Scanner;
External Harddrive Iomega 3.5";0,00935667252208352;1,7075927352802425;0;0;Computers and Components / Computer component / External Harddrives;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right-semi aktiv;0,26634212121372225;48,60743712150431;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front right;
Microwave / Panasonic NN 5259;0;0;46;0;Kitchen equipment / Microwave;
Miele DA 249-2;0,11784225599315512;21,50621171875081;16;1,3441382324219255;Kitchen equipment / Extractor hood / Cabinet mounted;
Miele DA 61;0;0;16;0;Kitchen equipment / Extractor hood / Wall mounted;
Deep Fryer / DeLonghi F 28311.W Rotofritteuse;0;0;100;0;Kitchen equipment / Deep Fryer;
Ricecooker / Tristar RK-6112;0;0;20;0;Kitchen equipment / Rice Cooker;
Steam Cooker / Phillips HD9140;0;0;30;0;Kitchen equipment / Steam cooker;
Kitchen radio / AEG KRC 4323 CD;0,010664155044696479;1,9462082956571074;4;0,48655207391427685;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;0,43093858207869745;78,64629122936229;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Braun Multiquick 3 MR 300 Soup;0,0027712878765516133;0,5057600374706694;2;0,2528800187353347;Kitchen equipment / Electric whisks / Immersion blender;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;0,10597901907416915;19,34117098103587;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind left;
Fondue / Unold 48746 Asia;0;0;7;0;Kitchen equipment / Fondue;
Dishwashers / Bosch SGI 58M02 EU;0,8660763670079357;158,05893697894825;242;0,6531361032187945;Kitchen equipment / Dishwashers;
Hedge Trimmer / Bosch AHS 550-24 ST;0;0;1;0;Tools / Garden devices / Hedge trimmer;
Atika LH 2500 G;0;0;30;0;Tools / Garden devices / Garden Shredder;
Lawn Mower / Sabo 32-EL;0;0;127;0;Tools / Garden devices / Lawn mower;
Laptop Siemens Amilio from 2005;0,48636282668799424;88,76121587055894;0;0;Computers and Components / Computer / Laptop;
