-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,000455597277989059;0,9197;;
Laundry;1,4630846491177762E-05;0,0295;;
Dishwashing;2,512365827936688E-05;0,0507;;

Sum;0,0004953517827596037;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;2,9294487356784592E-05;0,0591;;
TV/Audio;8,327724458353669E-05;0,1681;;
Office;4,366510729729539E-05;0,0881;;
Cooling;9,668688755555556E-05;0,1952;;
Freezing;1,451884883192131E-05;0,0293;;
Cooking;0,0001608268287444685;0,3247;;
Washing;3,0192865103945154E-05;0,0610;;
Dish washing;2,512365827936688E-05;0,0507;;
Other;1,176585500672968E-05;0,0238;;

Sum;0,0004953517827596037;1;
