-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,00036225352756216717;0,9056;;
Laundry;1,3899304166618872E-05;0,0347;;
Dishwashing;2,386747536539855E-05;0,0597;;

Sum;0,00040002030709418456;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;2,7829762988945347E-05;0,0696;482,6;
TV/Audio;6,878148034824873E-05;0,1719;551,6;
Office;2,4626130717769397E-05;0,0616;596,2;
Cooling;4,915360128305557E-05;0,1229;;
Freezing;1,3792906390325245E-05;0,0345;255,7;
Cooking;0,00015229096217974503;0,3807;462,6;
Washing;2,850042556430344E-05;0,0712;256,9;
Dish washing;2,386747536539855E-05;0,0597;311,5;
Other;1,1177562256393193E-05;0,0279;325,7;

Sum;0,00040002030709418456;1;
