-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,00036225352756216717;0,9864;;
Laundry;1,8416578020769988E-06;0,0050;;
Dishwashing;3,1624404859153044E-06;0,0086;;

Sum;0,00036725762585015947;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;2,7829762988945347E-05;0,0758;;
TV/Audio;6,878148034824873E-05;0,1873;;
Office;2,4626130717769397E-05;0,0671;;
Cooling;4,915360128305557E-05;0,1338;;
Freezing;1,3792906390325245E-05;0,0376;;
Cooking;0,00015229096217974503;0,4147;;
Washing;1,6442779199761567E-05;0,0448;;
Dish washing;3,1624404859153044E-06;0,0086;;
Other;1,1177562256393193E-05;0,0304;;

Sum;0,00036725762585015947;1;
