-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,00014888158708456387;0,9230;;
Laundry;4,568480352613967E-06;0,0283;;
Dishwashing;7,844859783354573E-06;0,0486;;

Sum;0,00016129492722053243;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;9,147200745361346E-06;0,0567;;
TV/Audio;2,7112972430118146E-05;0,1681;;
Office;4,5979829858051736E-07;0,0029;;
Cooling;4,915360128305557E-05;0,3047;;
Freezing;4,5335090947198756E-06;0,0281;;
Cooking;5,0011593532558415E-05;0,3101;;
Washing;9,357505004460293E-06;0,0580;;
Dish washing;7,844859783354573E-06;0,0486;;
Other;3,673887048323632E-06;0,0228;;

Sum;0,00016129492722053243;1;
