Timestep;Time span;Sum [Watt]
0;00:00:00;5670,3138122031905
1;00:01:00;5636,432882125786
2;00:02:00;5558,572356861189
3;00:03:00;5547,6448873343015
4;00:04:00;5291,730657762182
5;00:05:00;5194,5951769682015
6;00:06:00;5194,537831264024
7;00:07:00;5153,8015008262155
8;00:08:00;5142,911485114864
9;00:09:00;5127,201818804678
10;00:10:00;5108,820052051853
11;00:11:00;5097,854167327668
12;00:12:00;5092,980222239335
13;00:13:00;5062,102653027074
14;00:14:00;5056,7791705165555
15;00:15:00;5022,313513076134
16;00:16:00;5020,7253134090115
17;00:17:00;5008,497749799628
18;00:18:00;4973,434582353842
19;00:19:00;4954,998968456563
20;00:20:00;4945,9677583032
21;00:21:00;4937,960329936837
22;00:22:00;4934,658913589912
23;00:23:00;4920,3975812325625
24;00:24:00;4914,328282567277
25;00:25:00;4894,225251902466
26;00:26:00;4884,684035867647
27;00:27:00;4862,830639199052
28;00:28:00;4860,5570075015485
29;00:29:00;4856,898697434016
30;00:30:00;4849,219651068871
31;00:31:00;4803,418371949181
32;00:32:00;4797,296865313736
33;00:33:00;4793,5171265825875
34;00:34:00;4790,2545867415865
35;00:35:00;4780,5496277102375
36;00:36:00;4779,680293422155
37;00:37:00;4778,2210919147365
38;00:38:00;4775,359996005529
39;00:39:00;4743,9189530172835
40;00:40:00;4728,858368387984
41;00:41:00;4726,37686643327
42;00:42:00;4688,412233800852
43;00:43:00;4675,164601767744
44;00:44:00;4670,1715932986535
45;00:45:00;4662,1490345589145
46;00:46:00;4660,699423955127
47;00:47:00;4658,421413667358
48;00:48:00;4654,880824384325
49;00:49:00;4645,561605888153
50;00:50:00;4642,4977761460195
51;00:51:00;4641,0060993636025
52;00:52:00;4640,188663456992
53;00:53:00;4631,446932758403
54;00:54:00;4630,665146107162
55;00:55:00;4607,555776383196
56;00:56:00;4601,61194902386
57;00:57:00;4599,840622059771
58;00:58:00;4595,456331305036
59;00:59:00;4587,697232176173
60;01:00:00;4562,4585979655285
61;01:01:00;4551,670262489617
62;01:02:00;4549,25141233836
63;01:03:00;4543,538735390746
64;01:04:00;4543,212532521449
65;01:05:00;4536,299392844023
66;01:06:00;4527,762187779948
67;01:07:00;4514,6846858441795
68;01:08:00;4513,808384172595
69;01:09:00;4508,504819380227
70;01:10:00;4488,82785492677
71;01:11:00;4485,065378924138
72;01:12:00;4484,957623970279
73;01:13:00;4476,7482397436415
74;01:14:00;4471,280004973951
75;01:15:00;4467,549197260741
76;01:16:00;4466,845234372631
77;01:17:00;4451,478247047737
78;01:18:00;4450,277350019274
79;01:19:00;4447,973444795054
80;01:20:00;4440,797243770817
81;01:21:00;4432,990782912378
82;01:22:00;4431,306264989426
83;01:23:00;4425,283675294539
84;01:24:00;4403,576542747758
85;01:25:00;4387,832163503646
86;01:26:00;4384,379951781728
87;01:27:00;4379,823716800542
88;01:28:00;4369,266030833911
89;01:29:00;4359,877615551888
90;01:30:00;4335,604342062691
91;01:31:00;4325,294482599403
92;01:32:00;4322,24907351661
93;01:33:00;4305,49376975969
94;01:34:00;4304,983752514543
95;01:35:00;4304,880657702767
96;01:36:00;4301,060412849559
97;01:37:00;4257,654185899825
98;01:38:00;4255,33343788429
99;01:39:00;4240,508210550096
100;01:40:00;4222,751096201242
101;01:41:00;4217,2088728968965
102;01:42:00;4212,491595336243
103;01:43:00;4204,131666252272
104;01:44:00;4197,340383366447
105;01:45:00;4188,663571059346
106;01:46:00;4179,5169275611215
107;01:47:00;4166,433791923896
108;01:48:00;4150,025561781572
109;01:49:00;4136,75332542877
110;01:50:00;4132,458902966941
111;01:51:00;4078,6564853390096
112;01:52:00;4067,0271916469874
113;01:53:00;4065,8589449904084
114;01:54:00;4058,113062065518
115;01:55:00;4050,691204707435
116;01:56:00;4044,263885758935
117;01:57:00;4029,905049215171
118;01:58:00;3874,5779010574133
119;01:59:00;3868,2827076575886
120;02:00:00;3804,1978444055
121;02:01:00;3793,6409085090568
122;02:02:00;3771,958288640628
123;02:03:00;3744,267278797151
124;02:04:00;3734,7913845858816
125;02:05:00;3701,4175018476717
126;02:06:00;3652,4573828560224
127;02:07:00;3583,618759657032
128;02:08:00;3573,102114453899
129;02:09:00;3371,004850404487
130;02:10:00;3330,215487478695
131;02:11:00;3318,398130560177
132;02:12:00;3298,1927430522614
133;02:13:00;3278,4811012757664
134;02:14:00;3212,0400901557814
135;02:15:00;3191,6314852496434
136;02:16:00;3182,6343643534105
137;02:17:00;3164,9591406128047
138;02:18:00;3161,210123330479
139;02:19:00;3137,8063229179597
140;02:20:00;3094,1001671914055
141;02:21:00;3078,7386839168566
142;02:22:00;3076,5809867702637
143;02:23:00;3064,846195050366
144;02:24:00;3059,522735388514
145;02:25:00;3046,318161403613
146;02:26:00;3035,5235204140445
147;02:27:00;3034,6979952302568
148;02:28:00;3027,0153713017894
149;02:29:00;3026,465333239005
150;02:30:00;3021,1701761711324
151;02:31:00;3002,304220848523
152;02:32:00;2995,2023905920964
