Timestep;Time span;Sum [var]
0;00:00:00;1934,1717587273295
1;00:01:00;1895,9494957476613
2;00:02:00;1848,756058806273
3;00:03:00;1823,2282445245864
4;00:04:00;1819,5752301403743
5;00:05:00;1773,8517008075714
6;00:06:00;1770,8464279825637
7;00:07:00;1759,6168194320403
8;00:08:00;1755,798367502019
9;00:09:00;1754,2521639571278
10;00:10:00;1731,1479246013853
11;00:11:00;1726,8095970737181
12;00:12:00;1714,948305856727
13;00:13:00;1711,7053841625932
14;00:14:00;1709,0270080781067
15;00:15:00;1705,913140219428
16;00:16:00;1705,9083243613313
17;00:17:00;1702,481740957526
18;00:18:00;1697,6042000377076
19;00:19:00;1695,4485777088923
20;00:20:00;1685,717583991243
21;00:21:00;1681,4227588623523
22;00:22:00;1678,4043208185412
23;00:23:00;1677,6113491798562
24;00:24:00;1659,9574008147792
25;00:25:00;1658,979080253988
26;00:26:00;1658,3365079769135
27;00:27:00;1655,1087112734456
28;00:28:00;1651,735514632427
29;00:29:00;1650,8669668241682
30;00:30:00;1649,8838407956273
31;00:31:00;1646,8670133651644
32;00:32:00;1646,6933385563757
33;00:33:00;1619,1874111372283
34;00:34:00;1616,744250111169
35;00:35:00;1615,224533842966
36;00:36:00;1613,4764939925494
37;00:37:00;1612,3747467848548
38;00:38:00;1611,3656709033967
39;00:39:00;1607,2602303148324
40;00:40:00;1604,8780259757457
41;00:41:00;1594,7104767392843
42;00:42:00;1593,8199182717178
43;00:43:00;1592,5335726453973
44;00:44:00;1592,2120720765292
45;00:45:00;1590,6142668276927
46;00:46:00;1590,063990721275
47;00:47:00;1588,146185325974
48;00:48:00;1583,5145996361705
49;00:49:00;1576,284417933778
50;00:50:00;1575,7554534019755
51;00:51:00;1571,8010912506963
52;00:52:00;1570,8036544152299
53;00:53:00;1570,7611233867462
54;00:54:00;1568,3824999628466
55;00:55:00;1566,0341651013716
56;00:56:00;1564,1556224811134
57;00:57:00;1555,5559009342828
58;00:58:00;1554,5647820058546
59;00:59:00;1550,4323712776775
60;01:00:00;1548,622778154995
61;01:01:00;1548,3883290837703
62;01:02:00;1543,083891680706
63;01:03:00;1539,6580815231896
64;01:04:00;1534,967375345141
65;01:05:00;1529,86326808464
66;01:06:00;1528,404966405352
67;01:07:00;1526,4002631388923
68;01:08:00;1522,5321571859893
69;01:09:00;1521,998945049022
70;01:10:00;1521,5834314404576
71;01:11:00;1521,4730384662244
72;01:12:00;1519,799006575987
73;01:13:00;1518,4683734606904
