-----
CHR44 Christopher (16/Male)
Actions;Times of execution in the simulation period;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
eat small breakfast (25min) interruping subaff, no alarm;2;0;0;0;1;1;0;0;cooking;eat small breakfast (25min) interruping subaff, no alarm;Food;
get ready in the morning (men);2;0;0;0;1;1;0;0;hygiene;get ready in the morning (men);Hygiene;
go to the toilet;7;0;0;0;3;4;0;0;hygiene;go to the toilet;Hygiene;
take a shower (men);2;0;0;0;1;1;0;0;hygiene;take a shower (men);Hygiene;
Replacement Activity A;52;0;0;0;16;36;0;0;recreation;Replacement Activity A;Media Use;
Replacement Activity B;49;0;0;0;14;35;0;0;recreation;Replacement Activity B;Media Use;
Replacement Activity C;46;0;0;0;14;32;0;0;recreation;Replacement Activity C;Media Use;
Replacement Activity D;68;0;0;0;19;49;0;0;recreation;Replacement Activity D;Media Use;
join watching a movie in the home cinema (watch a movie for 2 h with home cinema system);1;0;0;0;0;1;0;0;recreation;watch a movie for 2 h with home cinema system;Media Use;
listen to music on hifi (2 h);2;0;0;0;1;1;0;0;recreation;listen to music on hifi (2 h);Media Use;
paint a picture;2;0;0;0;1;1;0;0;recreation;paint a picture;Hobby;
play Wii;2;0;0;0;1;1;0;0;recreation;play Wii;Games;
play a puzzle game;1;0;0;0;1;0;0;0;recreation;play a puzzle game;Games;
play board games (1 h);1;0;0;0;0;1;0;0;recreation;play board games (1 h);Games;
relax in the garden;2;0;0;0;1;1;0;0;recreation;relax in the garden;Hobby;
use the laptop for Internet, Movie, Music, News (2 h);4;0;0;0;2;2;0;0;recreation;use the laptop for Internet, Movie, Music, News (2 h);Media Use;
watch TV with someone (watch a movie for 2 h with home cinema system);2;0;0;0;1;1;0;0;recreation;watch a movie for 2 h with home cinema system;Media Use;
watch a movie for 1 h 30 min with home cinema system;1;0;0;0;1;0;0;0;recreation;watch a movie for 1 h 30 min with home cinema system;Media Use;
sleep bed 03 (08 h) Child;2;0;0;0;1;1;0;0;sleeping;sleep bed 03 (08 h) Child;Sleep;
-----
CHR44 Barbara (43/Female)
