Tag + Time Used [60 seconds];CHR52 Iris (22/Female);CHR52 Maddy (23/Female);CHR52 Chris (22/Male);
get ready in the morning (women);402;19;0;
go to the toilet;17;389;445;
fry two eggs and eat them with toast;17;0;17;
use the laptop (1_5 h);181;0;0;
use the laptop for Internet, Movie, Music, News (2 h);227;250;200;
study sports;646;0;0;
go to part time job;164;0;0;
take a shower with electric air heater;62;60;0;
go shopping for food in the supermarket (1_5 h);85;79;101;
heat up leftovers;17;20;0;
use the laptop (1 h);59;57;45;
sleep bed 02 (08 h);480;0;0;
play board games (1 h);56;53;65;
make frozen pizza and eat it;35;0;29;
take a shower without hair washing (women);59;62;0;
take a nap;60;0;0;
study at home;62;114;118;
make soup;17;13;12;
watch a movie for 2 h with home cinema system;119;117;27;
read a book on the couch only 9:00 to 22:00;115;0;0;
eat breakfast (1 h);0;126;139;
study mechanical enginering;0;613;0;
cook pasta and eat it;0;30;0;
clean the bath;0;59;0;
read a book on the couch all the time;0;123;105;
sleep bed 08 (08 h);0;456;0;
bake a cake;0;36;0;
paint a picture;0;30;0;
go to a bar (4 h);0;174;0;
get ready in the morning (men);0;0;21;
watch a movie for 1 h 30 min with home cinema system;0;0;100;
study philosophy;0;0;692;
take a shower (men);0;0;41;
sleep bed 01 (08 h);0;0;570;
do laundry at 30°C (by variable);0;0;15;
hang up laundry outside;0;0;24;
take singing lessons;0;0;114;
