------
CHR52 Iris (22/Female);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
get ready in the morning (women);402;hygiene;get ready in the morning (women);Hygiene
go to the toilet;17;hygiene;go to the toilet;Hygiene
fry two eggs and eat them with toast;17;cooking;fry two eggs and eat them with toast;Food
use the laptop (1_5 h);181;recreation;use the laptop (1_5 h);Media Use
use the laptop for Internet, Movie, Music, News (2 h);227;recreation;use the laptop for Internet, Movie, Music, News (2 h);Media Use
study sports;646;work;study sports;Work / School
go to part time job;164;work;go to part time job;Work / School
take a shower with electric air heater;62;hygiene;take a shower with electric air heater;Hygiene
go shopping for food in the supermarket (1_5 h);85;shopping;go shopping for food in the supermarket (1_5 h);Unpaid Work
heat up leftovers;17;cooking;heat up leftovers;Food
use the laptop (1 h);59;recreation;use the laptop (1 h);Media Use
sleep bed 02 (08 h);480;sleeping;sleep bed 02 (08 h);Sleep
play board games (1 h);56;recreation;play board games (1 h);Games
make frozen pizza and eat it;35;cooking;make frozen pizza and eat it;Food
take a shower without hair washing (women);59;hygiene;take a shower without hair washing (women);Hygiene
take a nap;60;sleeping;take a nap;Sleep
study at home;62;work;study at home;Work / School
make soup;17;cooking;make soup;Food
watch a movie for 2 h with home cinema system;119;recreation;watch a movie for 2 h with home cinema system;Media Use
read a book on the couch only 9:00 to 22:00;115;recreation;read a book on the couch only 9:00 to 22:00;Hobby
------
CHR52 Maddy (23/Female);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
go to the toilet;389;hygiene;go to the toilet;Hygiene
eat breakfast (1 h);126;cooking;eat breakfast (1 h);Food
get ready in the morning (women);19;hygiene;get ready in the morning (women);Hygiene
go shopping for food in the supermarket (1_5 h);79;shopping;go shopping for food in the supermarket (1_5 h);Unpaid Work
study mechanical enginering;613;work;study mechanical enginering;Work / School
take a shower with electric air heater;60;hygiene;take a shower with electric air heater;Hygiene
cook pasta and eat it;30;cooking;cook pasta and eat it;Food
study at home;114;work;study at home;Work / School
use the laptop for Internet, Movie, Music, News (2 h);250;recreation;use the laptop for Internet, Movie, Music, News (2 h);Media Use
clean the bath;59;cleaning;clean the bath;Unpaid Work
heat up leftovers;20;cooking;heat up leftovers;Food
play board games (1 h);53;recreation;play board games (1 h);Games
read a book on the couch all the time;123;shopping;read a book on the couch all the time;Entertainment
sleep bed 08 (08 h);456;sleeping;sleep bed 08 (08 h);Sleep
watch a movie for 2 h with home cinema system;117;recreation;watch a movie for 2 h with home cinema system;Media Use
take a shower without hair washing (women);62;hygiene;take a shower without hair washing (women);Hygiene
make soup;13;cooking;make soup;Food
bake a cake;36;cooking;bake a cake;Food
paint a picture;30;recreation;paint a picture;Hobby
use the laptop (1 h);57;recreation;use the laptop (1 h);Media Use
go to a bar (4 h);174;recreation;go to a bar (4 h);Events
------
CHR52 Chris (22/Male);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
go to the toilet;445;hygiene;go to the toilet;Hygiene
get ready in the morning (men);21;hygiene;get ready in the morning (men);Hygiene
eat breakfast (1 h);139;cooking;eat breakfast (1 h);Food
watch a movie for 1 h 30 min with home cinema system;100;recreation;watch a movie for 1 h 30 min with home cinema system;Media Use
study philosophy;692;work;study philosophy;Work / School
take a shower (men);41;hygiene;take a shower (men);Hygiene
fry two eggs and eat them with toast;17;cooking;fry two eggs and eat them with toast;Food
study at home;118;work;study at home;Work / School
go shopping for food in the supermarket (1_5 h);101;shopping;go shopping for food in the supermarket (1_5 h);Unpaid Work
use the laptop for Internet, Movie, Music, News (2 h);200;recreation;use the laptop for Internet, Movie, Music, News (2 h);Media Use
make frozen pizza and eat it;29;cooking;make frozen pizza and eat it;Food
play board games (1 h);65;recreation;play board games (1 h);Games
sleep bed 01 (08 h);570;sleeping;sleep bed 01 (08 h);Sleep
use the laptop (1 h);45;recreation;use the laptop (1 h);Media Use
do laundry at 30°C (by variable);15;cleaning;do laundry at 30°C (by variable);Unpaid Work
watch TV with someone (watch a movie for 2 h with home cinema system);27;recreation;watch a movie for 2 h with home cinema system;Media Use
hang up laundry outside;24;cleaning;hang up laundry outside;Unpaid Work
make soup;12;cooking;make soup;Food
take singing lessons;114;recreation;take singing lessons;Hobby
read a book on the couch all the time;105;shopping;read a book on the couch all the time;Entertainment
