Electricity.Time;Time span;Living Room Light (200W) [Watt];Kitchen Light (300W) [Watt];Bathroom Light (60W) [Watt];Bathroom Mirror Light 100W (Conventional) [Watt];Bedroom Light (60W) [Watt];Bedroom Light (20W) [Watt];Egg Cooker / Russell Hobbs 14048-56 Stylo [Watt];Juicer / Moulinex Vitafruit [Watt];Kitchen radio / AEG KRC 4323 CD [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left [Watt];Coffee Machine / Braun Impression KF 600 [Watt];Food Slicer / DOMO Schneidemaschine DO521S [Watt];Toaster / Bosch TAT8SL1 [Watt];Miele H 5241 B [Watt];Handmixer / Phillips Robust HR 1581 [Watt];Extractor Hood / Miele DA 429-4 [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv [Watt];Microwave / Panasonic NN-CD757W [Watt];Electronic hometrainer / Kettler Track Perfomance [Watt];Laptop Lenovo Thinkpad x220 [Watt];Washing Machine Samsung P1405J [Watt];CD/DVD Player / Philips DVDR 725 H [Watt];Home Cinema System / Samsung HT-D5550 [Watt];TV Medion MD20123_DE_A [Watt];SAT Receiver / Kathrein UFS913 [Watt];Hifi System / Sharp XL-HF300PH [Watt];Electric Kettle / Phillips Essential HD 4685/90 Schwarz [Watt];Energy Saving Lamp / EL-REF 11 E27 [Watt];Vacuum Cleaner FiF [Watt];Nintendo Wii [Watt];Coffee Machine / Braun KF 580E [Watt];Electric Kettle / Petra WK288 1.5L [Watt];Hair Dryer / Braun Satin Pro 2200 Ion Care [Watt];Heater / Honeywell BH-888E [Watt];Liebherr CBNPes 3956 [Watt];Electric Razor Braun Cruzer 5 [Watt];Electric Tooth Brush / Phillips HX9332 [Watt];Phone Siemens Gigaset C320 [Watt];Router O2 Box 6431 [Watt];Yamaha RX-V667 [Watt];
0;00:00:00;0;0;0;-151,45909174239497;0;0;0;0;0,8059254466650781;0;0;0;0;0;0;0;0;15,620191162547744;0;0;0;0,6531894154240799;1,2884214160939684;0,18247988637790402;0,8464274029327351;1,9300364810629738;0;0;0;1,212408276334397;0;0;0;0;0;0,926795163934426;1,3338638531734937;2,72044196721312;6,11708049180328;7,531737210193887;
1;00:01:00;0;0;0;-147,27650630292172;0;0;0;0;0,840827550280013;0;0;0;0;0;0;0;0;16,328274331393093;0;0;0;0,6552045330618828;1,3535580661388422;0,18868780766101398;0,8802275582694993;1,9573054055319223;0;0;0;1,2361432680645388;0;0;0;0;0;0,926795163934426;1,3467141588097808;2,72044196721312;6,11708049180328;7,584710493183171;
2;00:02:00;0;0;0;-117,59681025789264;0;0;0;0;0,8654842762744434;0;0;0;0;0;0;0;0;16,350018869667156;0;0;0;0,698667636459496;1,4218472026424653;0,1888313139747848;0,9198320533446649;1,9790221557216692;0;0;0;1,288446700954639;0;0;0;0;0;0,926795163934426;1,3545666903745572;2,72044196721312;6,11708049180328;7,646211265567716;
3;00:03:00;0;0;0;-105,997777203185;0;0;0;0;0,8865247025989481;0;0;0;0;0;0;0;0;16,399007628601034;0;0;0;0,7340004356499711;1,4223520400017418;0,18899255104535906;0,9234942034927658;2,069138892265893;0;0;0;1,3316803617474207;0;0;0;0;0;0,926795163934426;1,3577655465867746;2,72044196721312;6,11708049180328;7,809713989238822;
4;00:04:00;0;0;0;-91,87183081450065;0;0;0;0;0,8937040088348194;0;0;0;0;0;0;0;0;16,5545126523619;0;0;0;0,7378183031408753;1,42817129751648;0,19038217341243152;0,932721413299973;2,0742282147577438;0;0;0;1,349521783386075;0;0;0;0;0;0,926795163934426;1,3933142541220391;2,72044196721312;6,11708049180328;7,946378544697819;
5;00:05:00;0;0;0;-89,98725189434644;0;0;0;0;0,8960242139333751;0;0;0;0;0;0;0;0;16,563558164722416;0;0;0;0,7422174847661311;1,4326475505896967;0,19121494574072628;0,9380455669412568;2,0801511711174867;0;0;0;1,3597478468077748;0;0;0;0;0;0,926795163934426;1,394061301117762;2,72044196721312;6,11708049180328;7,9968652347264495;
6;00:06:00;0;0;0;-78,89188525084943;0;0;0;0;0,9080878579692973;0;0;0;0;0;0;0;0;16,574863499323506;0;2,520898892698748;0;0,7448719234038663;1,4345235598403765;0,19146008350224988;0,9429160256091468;2,0814699905111733;0;0;0;1,3696922949642731;0;0;0;0;0;0,926795163934426;1,4005813033709216;2,72044196721312;6,11708049180328;8,086509744364754;
7;00:07:00;0;0;0;-77,58517344818712;0;0;0;0;0,915310618446046;0;0;0;0;0;0;0;0;16,646644170099258;0;2,7459317362689863;0;0,7455213762194461;1,4502440105181713;0,19305156134633952;0,9537304829123903;2,092086387225797;0;0;0;1,3732955209727247;0;0;0;0;0;0,926795163934426;1,4022587962129487;2,72044196721312;6,11708049180328;8,161235428345405;
8;00:08:00;0;0;0;-73,97246177177794;0;0;0;0;0,9265075662843991;0;0;0;0;0;0;0;0;16,844888094196506;0;2,777000770885063;0;0,7506330309419033;1,4508789803564996;0,19426671772934848;0,9620685922024638;2,1147221161868295;0;0;0;1,385123217679166;0;0;0;0;0;0,926795163934426;1,4056178973340743;2,72044196721312;6,11708049180328;8,223762315550339;
9;00:09:00;0;0;0;-71,10352016324013;0;0;0;0;0,929680690776017;0;0;0;0;0;0;0;0;16,911748245334817;0;2,7897844234855684;0;0,7531710241799089;1,4600834791077975;0,19444497576714867;0,9635497405160103;2,127110057965055;0;0;0;1,3873992708582497;0;0;0;0;0;0,926795163934426;1,4067658188903467;2,72044196721312;6,11708049180328;8,336118245445917;
