Device name;Usage sum in this simulation [None];Usage sum in this simulation linear extrapolated to 1 year [None];Comparison Value from the device entry [None];Percentage of the comparison value [1 = 100%];Device Category;
Board Games;0;0;0;0;Other;
Cloth Drying Rack;2220;405150;0;0;Furniture;
Supermarket;15900;2901750;0;0;Other;
Horse;0;0;0;0;Other;
Couch;0;0;0;0;Furniture;
Desk 2;0;0;0;0;Furniture;
Puzzle;0;0;0;0;Other;
Book;0;0;0;0;Other;
Book;0;0;0;0;Other;
Student philosophy;0;0;0;0;External locations;
Couch;0;0;0;0;Furniture;
Magazine;0;0;0;0;Other;
Newspaper;0;0;0;0;Other;
Singing School;14880;2715600;0;0;Other;
Bed 1;0;0;0;0;Furniture;
Desk;0;0;0;0;Furniture;
Cinema;0;0;0;0;Other;
Baseball;0;0;0;0;Other;
Bed 2;114420;20881650;0;0;Furniture;
Part time jobber;0;0;0;0;External locations;
Bar;0;0;0;0;External locations;
Cleanser;0;0;0;0;Cleaning devices;
Student (engineering);0;0;0;0;External locations;
Bed 8;0;0;0;0;Furniture;
Outdoor Swimming Pool;0;0;0;0;Other;
Sums;147420;26904150;0
