-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,0003731820261700065;0,9963;;
Laundry;1,3693496989699997E-06;0,0037;;

Sum;0,00037455137586897645;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;4,4805811968705145E-05;0,1196;;
Office;2,182810888341931E-05;0,0583;;
Cooling;1,1137530453822049E-05;0,0297;;
TV/Audio;2,6971094827587006E-05;0,0720;;
Cooking;0,00017563550599510283;0,4689;;
Washing;2,7025277486290645E-05;0,0722;;
Other;6,714804625404952E-05;0,1793;;

Sum;0,00037455137586897645;1;
