Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Bathroom Light (20W);0,08561403508771959;15,624561403508824;0;0;(no category);
Bathroom Mirror Light 10 W (LED);0,04280701754385979;7,812280701754412;0;0;(no category);
Kitchen Light (20W);0,14701754385964935;26,830701754386006;0;0;(no category);
Cellar Light (20W);0;0;0;0;(no category);
Living Room Light (Energy Saving Lamp, 20W);0,6203508771929654;113,2140350877162;0;0;(no category);
Bedroom Light (20W);0,16245614035087685;29,648245614035027;0;0;(no category);
Children Room Light Device (20W);0,23087719298245332;42,13508771929773;0;0;(no category);
Children Room Light Device (20W);0;0;0;0;(no category);
AFK BM-2N;0;0;8;0;Kitchen equipment / Breadmaker;
Eye Glass Cleaner Grundig UC 5020;0,0184411651543098;3,3655126406615383;1,0526315789473684;3,1972370086284614;Bath devices / Cleaning device for glasses;
Clatronic MS 3249 Milk Foamer;0,5970340338313732;108,95871117422561;4;27,239677793556403;Kitchen equipment / Coffee equipment / Cappucino creamer;
Nespresso Coffee Machine, Single Cup;0,192512312306011;35,13349699584701;0;0;Kitchen equipment / Coffee equipment / Coffee machine;
AEG PN 2200 RX 4935365097;0;0;2;0;Tools / Power drill / Hammer drill;
Hand-held Circular Saw / Bosch PKS 46;0;0;2;0;Tools / Saw / Hand-held circular saw;
Skil 4270;0;0;1;0;Tools / Saw / Jig saw;
Polishing Machine / Flex L 602 VR;0;0;3;0;Tools / Other Tools / Polishing maschine;
Dishwasher NEFF SD6P1F (2011);3,2884176019234954;600,1362123510379;0;0;Kitchen equipment / Dishwashers;
Christopeit Treadmill TM 2 Pro;0,45064268399112933;82,2422898283811;200;0,4112114491419055;Health equipment / Electronic hometrainer / Treadmill;
Lawn Mower / Sabo 32-EL;0;0;127;0;Tools / Garden devices / Lawn mower;
Digitalpiano / Kawai CN-23;0,1981839775295349;36,168575899140116;14;2,583469707081437;Education and Entertainment equipment / Music instrument / Digital piano;
Lamp Ikea V1017 Jansjo;0,0007555167133879784;0,13788180019330606;0;0;Light / Desk Light;
AEG PN 2200 RX 4935365097;0;0;2;0;Tools / Power drill / Hammer drill;
AEG SB 2E 650 R;0;0;1;0;Tools / Power drill / Impact drill;
Skil 4270;0;0;1;0;Tools / Saw / Jig saw;
Hand-held Circular Saw / Bosch PKS 46;0;0;2;0;Tools / Saw / Hand-held circular saw;
Cordless Screwdriver / Bosch PSR 18 LI-2;0;0;0;0;Tools / Other Tools / Cordless screwdriver;
Electric Kettle / Petra WK288 1.5L;0,6178372874101089;112,75530495234487;0;0;Kitchen equipment / Electric kettle;
Energy Saving Lamp / EL-REF 11 E27;0;0;48;0;Light;
CD/DVD Player / Philips DVDR 725 H;0,7690157184786212;140,34536862234836;33;4,252889958252981;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
TV Medion MD20123_DE_A;1,9296784489464476;352,16631693272666;0;0;Education and Entertainment equipment / Entertainment device / Television set;
SAT Receiver / Kathrein UFS913;0,3849273457719544;70,24924060338168;31;2,2661045355929574;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Egg Cooker / Russell Hobbs 14048-56 Stylo;0,3051003272694656;55,680809726677474;9;6,186756636297497;Kitchen equipment / Egg cooker;
Juicer / Moulinex Vitafruit;0,30633194151285686;55,90557932609638;0;0;Kitchen equipment / Juicer;
Kitchen radio / AEG KRC 4323 CD;0,17375591980842933;31,710455365038353;4;7,927613841259588;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Single Stove Plate;7,864181385914214;1435,213102929344;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Food Slicer / DOMO Schneidemaschine DO521S;0,03568368572092565;6,512272644068932;1;6,512272644068932;Kitchen equipment / Food slicer;
Toaster Salco MT 400;0,625325384789617;114,12188272410509;0;0;Kitchen equipment / Toaster;
PC / Acer 8400;0,9234470758933013;168,5290913505275;61;2,7627719893529097;Computers and Components / Computer / PC;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,9637735999982633;175,88868199968306;72;2,442898361106709;Computers and Components / Monitor / TFT display;
Epson Stylus Color 860;0,03687155155489037;6,729058158767493;30;0,2243019386255831;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;1,9563726772960661;357,03801360653205;29;12,311655641604553;Computers and Components / Computer component / Photocopier;
Canon CanoScan LIDE 110;0,003977858892277751;0,7259592478406895;4;0,1814898119601724;Computers and Components / Computer component / Scanner;
TFT Monitor Samsung S27C750P;0,09588525938977571;17,499059838634068;100;0,17499059838634068;Computers and Components / Monitor / Second TFT display Monitor;
Active Speaker Trust Tytan 2.1;0,026311368452185773;4,801824742523904;0;0;Education and Entertainment equipment / Hifi devices / Active speaker;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,7489575885890702;136,68475991750532;72;1,898399443298685;Computers and Components / Monitor / TFT display;
Gaming Computer;9,642766100269258;1759,8048132991396;300;5,866016044330466;Computers and Components / Computer / Workstation or Gaming Rig;
Cell Phone Samsung Charging;0,0004814999999999993;0,08787374999999988;0;0;Education and Entertainment equipment / Smartphones;
SAT Receiver / Kathrein UFS913;0,01662236914146711;3,0335823683177474;31;0,0978574957521854;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
TV Medion MD20123_DE_A;0,056487931608469974;10,30904751854577;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Miele DG 1450;6,535250854069302;1192,6832808676477;62;19,236827110768512;Kitchen equipment / Baking oven / Normal sized Baking oven;
Handmixer / Phillips Robust HR 1581;0,03199889569774456;5,839798464838383;1;5,839798464838383;Kitchen equipment / Handmixer;
Westinghouse Fanaway;0;0;14,73684210526316;0;Devices for enviromental improvement / Fan / Ceiling fan;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power;2,273469791399434;414,9082369303967;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front right;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;0,6794288764063661;123,99576994416181;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind left;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;1,6873976047035761;307,95006285840265;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Microwave / Panasonic NN 5259;0,670645072958957;122,39272581500965;46;2,6607114307610793;Kitchen equipment / Microwave;
Kitchen Machine Bosch UM4VE2B;0,005023135;0,9167221375;0;0;Kitchen equipment / Kitchen Machines;
Extractor Hood / Miele DA 429-4;0,5775244605519413;105,39821405072928;16;6,58738837817058;Kitchen equipment / Extractor hood / Cabinet mounted;
Miele DA 61;0,16225233341365763;29,61105084799252;16;1,8506906779995325;Kitchen equipment / Extractor hood / Wall mounted;
Deep Fryer / DeLonghi F 28311.W Rotofritteuse;0;0;105,26315789473685;0;Kitchen equipment / Deep Fryer;
Ricecooker / Tristar RK-6112;0;0;21,05263157894737;0;Kitchen equipment / Rice Cooker;
Steam Cooker / Phillips HD9140;0;0;31,578947368421055;0;Kitchen equipment / Steam cooker;
Immersion Blender Noah Hit Top;0,009447744473958332;1,7242133664973955;0;0;Kitchen equipment / Electric whisks / Immersion blender;
Fondue / Unold 48746 Asia;2,9194158437745132;532,7933914888487;7;76,1133416412641;Kitchen equipment / Fondue;
Bauknecht GTE 260;0;0;282;0;Appliances / Freezer;
Dryer / Miele T 8626 WP;3,9303483135589303;717,2885672245047;349;2,055268100929813;Appliances / Dryer;
Electronic Hometrainer / Kettler Satura E;0,6302838401431802;115,02680082613038;44,21052631578947;2,6017966853529493;Health equipment / Electronic hometrainer / Crosstrainer;
Hair Dryer Braun Silencio 1250;0,6382757205530055;116,48531900092351;0;0;Bath devices / Hair dryer;
Laptop Sony Vaio SVE151G11M;1,341846393253549;244,88696676877268;0;0;Computers and Components / Computer / Laptop;
Nespresso Coffee Machine, Single Cup;0;0;0;0;Kitchen equipment / Coffee equipment / Coffee machine;
Electric Kettle / Petra WK288 1.5L;0;0;0;0;Kitchen equipment / Electric kettle;
Steam Iron / Phillips GC 4410;1,9674700568582206;359,0632853766253;31;11,582686625052428;Appliances / Steam iron;
Washing Machine / Bosch WAE 28143;1,468761831063823;268,0490341691477;184;1,4567882291801506;Appliances / Washing machine;
Phone Siemens Gigaset C320;8,20333333333333E-05;0,014971083333333328;0;0;Education and Entertainment equipment / Communication devices / Phone;
Canister vacuum cleaner / Siemens VS 06 G 1831;0;0;48;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;
External Harddrive Iomega 3.5";0,14813948697207813;27,03545637240426;0;0;Computers and Components / Computer component / External Harddrives;
Cell Phone Samsung Charging;0,00033749999999999953;0,06159374999999991;0;0;Education and Entertainment equipment / Smartphones;
Nintendo Wii;0,01632633680934757;2,9795564677059314;20;0,14897782338529658;Education and Entertainment equipment / Video game console / Nintendo Wii;
Siemens Kl 20 LA 65 (A+);2,1320480783333493;389,0987742958362;0;0;(no category);
Electric Razor Braun Cruzer 5;0,35461090368852194;64,71648992315525;0;0;(no category);
Electric Toothbrush Dondodent Professional Clean;0,49415954863169637;90,18411762528459;0;0;(no category);
Cell Phone Samsung Charging;0,21368542002622914;38,997589154786816;0;0;Education and Entertainment equipment / Smartphones;
Samsung CLP-315W;1,7679073250635908;322,6430868241053;0;0;(no category);
PC / Acer 8400;0,1067369689355573;19,47949683073921;0;0;Computers and Components / Computer / PC;
Fax / Phillips Faxjet 525 Primo (IPF525);0,6313406343443533;115,21966576784448;0;0;(no category);
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,0827183896520123;15,096106111492244;0;0;Computers and Components / Monitor / TFT display;
Cordless Screwdriver / Bosch PSR 18 LI-2;0,7578324302849849;138,30441852700974;0;0;Tools / Other Tools / Cordless screwdriver;
CD/DVD Player / Philips DVDR 725 H;0,11319278406312032;20,65768309151946;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
SAT Receiver / Kathrein UFS913;0,13640885116587265;24,894615337771757;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
TV Medion MD20123_DE_A;0,048621000000002905;8,87333250000053;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Microsoft Xbox 360;0,4505969711299336;82,23394723121288;0;0;(no category);
Yamaha RX-V667;1,5154387136043936;276,5675652328018;0;0;(no category);
Kitchen radio / AEG KRC 4323 CD;0,15482955927177655;28,25639456709922;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Router O2 Box 6431;1,4075450290163762;256,87696779548867;0;0;(no category);
Epson Stylus Color 860;0,02916914847108105;5,3233695959722915;0;0;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,3096591783395585;56,51280004696943;0;0;Computers and Components / Computer component / Photocopier;
TFT Monitor Samsung S27C750P;0,28096512328280576;51,27613499911205;0;0;Computers and Components / Monitor / Second TFT display Monitor;
Active Speaker Trust Tytan 2.1;0,20125166666668404;36,728429166669834;0;0;Education and Entertainment equipment / Hifi devices / Active speaker;
PC / Acer 8400;0,20203453327517862;36,8713023227201;0;0;Computers and Components / Computer / PC;
Router O2 Box 6431;1,4075699988797636;256,88152479555686;0;0;(no category);
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,126904737430033;23,160114580981023;0;0;Computers and Components / Monitor / TFT display;
Gaming Computer;0,4098908553851277;74,80508110778581;0;0;Computers and Components / Computer / Workstation or Gaming Rig;
SAT Receiver / Kathrein UFS913;0,16928749468737186;30,894967780445366;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
TV Medion MD20123_DE_A;0,06782050000000842;12,377241250001536;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Microwave / Panasonic NN 5259;1,483231141674907;270,6896833556705;0;0;Kitchen equipment / Microwave;
Bauknecht GTE 260;2,3295065413655154;425,13494379920655;0;0;Appliances / Freezer;
Electronic Hometrainer / Kettler Satura E;0,49918444118844757;91,10116051689168;0;0;Health equipment / Electronic hometrainer / Crosstrainer;
Phone Siemens Gigaset C320;0,5290210247470021;96,54633701632788;0;0;Education and Entertainment equipment / Communication devices / Phone;
Laptop Sony Vaio SVE151G11M;0,28468333333330953;51,95470833332899;0;0;Computers and Components / Computer / Laptop;
Phone Siemens Gigaset C320;0,5211920339218652;95,1175461907404;0;0;Education and Entertainment equipment / Communication devices / Phone;
Cell Phone Samsung Charging;0,2945939540355184;53,76339661148211;0;0;Education and Entertainment equipment / Smartphones;
Nintendo Wii;0,2464686040275021;44,98052023501913;0;0;Education and Entertainment equipment / Video game console / Nintendo Wii;
Sums;78,9727354680928;14412,524222926939;2471,8947368421054
