Device name;Usage sum in this simulation [None];Usage sum in this simulation linear extrapolated to 1 year [None];Comparison Value from the device entry [None];Percentage of the comparison value [1 = 100%];Device Category;
Concert;0;0;0;0;Other;
Supermarket;10320;1883400;0;0;Other;
Gardening Tools;0;0;0;0;Other;
Book;0;0;0;0;Other;
Sunbed;0;0;0;0;Furniture / Garden furniture;
Sunbed 2;0;0;0;0;Furniture / Garden furniture;
Book;0;0;0;0;Other;
Day Trip Bus;0;0;0;0;Other;
Snow Shovel;0;0;0;0;Other;
Couch;0;0;0;0;Furniture;
Couch;0;0;0;0;Furniture;
Magazine;0;0;0;0;Other;
Newspaper;0;0;0;0;Other;
Bed 1;0;0;0;0;Furniture;
Office;142920;26082900;0;0;Other;
Board Games;0;0;0;0;Other;
Cinema;0;0;0;0;Other;
Schoolbook;0;0;0;0;Other;
School (with holidays);0;0;0;0;External locations;
Shopping Cart;0;0;0;0;External locations;
Bed 3 (Children);0;0;0;0;Furniture;
Summer Camp;0;0;0;0;Other;
Indoor Swimming Pool;6420;1171650;0;0;Other;
Cleanser;0;0;0;0;Cleaning devices;
Doctors Office;0;0;0;0;External locations / Doctors Office;
Mop;0;0;0;0;Cleaning devices;
Watering Can;0;0;0;0;Other;
Public Market;6840;1248300;0;0;Other;
Duster;0;0;0;0;Other;
Bed 2;114960;20980200;0;0;Furniture;
Volunteering Place;11580;2113350;0;0;Other;
Window;0;0;0;0;Furniture;
Schoolbook;0;0;0;0;Other;
Generic Music Instrument without Electricity;17340;3164550;0;0;Education and Entertainment equipment / Music instrument;
School (with holidays);0;0;0;0;External locations;
Bed 4;0;0;0;0;Furniture;
Outdoor Swimming Pool;0;0;0;0;Other;
Sums;310380;56644350;0
