Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Bathroom Light (20W);0,026732973887880995;4,878767734538282;0;0;(no category);
Bathroom Mirror Light 10 W (LED);0,013366486943940497;2,439383867269141;0;0;(no category);
Kitchen Light (20W);0,04590621335664775;8,377883937588214;0;0;(no category);
Cellar Light (20W);0;0;0;0;(no category);
Living Room Light (Energy Saving Lamp, 20W);0,19370449931873918;35,3510711256699;0;0;(no category);
Bedroom Light (20W);0,05072691356593761;9,257661725783613;0;0;(no category);
Children Room Light Device (20W);0,07209138040256313;13,15667692346777;0;0;(no category);
Children Room Light Device (20W);0;0;0;0;(no category);
AFK BM-2N;0;0;8;0;Kitchen equipment / Breadmaker;
Eye Glass Cleaner Grundig UC 5020;0,005758251973839955;1,0508809852257917;1;1,0508809852257917;Bath devices / Cleaning device for glasses;
Clatronic MS 3249 Milk Foamer;0,18642381731263233;34,0223466595554;4;8,50558666488885;Kitchen equipment / Coffee equipment / Cappucino creamer;
Nespresso Coffee Machine, Single Cup;-0,007937136857923495;-1,4485274765710379;0;0;Kitchen equipment / Coffee equipment / Coffee machine;
AEG PN 2200 RX 4935365097;0;0;2;0;Tools / Power drill / Hammer drill;
Hand-held Circular Saw / Bosch PKS 46;0;0;2;0;Tools / Saw / Hand-held circular saw;
Skil 4270;0;0;1;0;Tools / Saw / Jig saw;
Polishing Machine / Flex L 602 VR;0;0;3;0;Tools / Other Tools / Polishing maschine;
Dishwasher NEFF SD6P1F (2011);-0,6461735640546451;-117,92667543997273;0;0;Kitchen equipment / Dishwashers;
Christopeit Treadmill TM 2 Pro;0,1407131329758743;25,680146768097057;200;0,12840073384048528;Health equipment / Electronic hometrainer / Treadmill;
Lawn Mower / Sabo 32-EL;0;0;127;0;Tools / Garden devices / Lawn mower;
Digitalpiano / Kawai CN-23;0,061882927149328956;11,293634204752534;14;0,8066881574823238;Education and Entertainment equipment / Music instrument / Digital piano;
Lamp Ikea V1017 Jansjo;-0,0006977571942622952;-0,12734068795286888;0;0;Light / Desk Light;
AEG PN 2200 RX 4935365097;0;0;2;0;Tools / Power drill / Hammer drill;
AEG SB 2E 650 R;0;0;1;0;Tools / Power drill / Impact drill;
Skil 4270;0;0;1;0;Tools / Saw / Jig saw;
Hand-held Circular Saw / Bosch PKS 46;0;0;2;0;Tools / Saw / Hand-held circular saw;
Cordless Screwdriver / Bosch PSR 18 LI-2;0;0;0;0;Tools / Other Tools / Cordless screwdriver;
Electric Kettle / Petra WK288 1.5L;-0,015758252793989076;-2,8758811349030062;0;0;Kitchen equipment / Electric kettle;
Energy Saving Lamp / EL-REF 11 E27;0;0;48;0;Light;
CD/DVD Player / Philips DVDR 725 H;0,24012508113179515;43,82282730655261;33;1,3279644638349275;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
TV Medion MD20123_DE_A;-1,680134253161744;-306,6245012020183;0;0;Education and Entertainment equipment / Entertainment device / Television set;
SAT Receiver / Kathrein UFS913;0,12019352519373305;21,93531834785628;31;0,7075909144469769;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Egg Cooker / Russell Hobbs 14048-56 Stylo;0,09526754665542549;17,38632726461515;9;1,9318141405127944;Kitchen equipment / Egg cooker;
Juicer / Moulinex Vitafruit;0,09565211807966444;17,45651154953876;0;0;Kitchen equipment / Juicer;
Kitchen radio / AEG KRC 4323 CD;0,05425526857067572;9,901586514148319;4;2,4753966285370796;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Single Stove Plate;-0,15373272129617507;-28,05622163655195;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Food Slicer / DOMO Schneidemaschine DO521S;0,011142227295132907;2,0334564813617555;1;2,0334564813617555;Kitchen equipment / Food slicer;
Toaster Salco MT 400;-0,029189752474316957;-5,327129826562844;0;0;Kitchen equipment / Toaster;
PC / Acer 8400;0,28834625702902617;52,62319190779728;61;0,8626752771770045;Computers and Components / Computer / PC;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,30093821014491956;54,92122335144782;72;0,7627947687701087;Computers and Components / Monitor / TFT display;
Epson Stylus Color 860;0,011513138282906683;2,1011477366304696;30;0,07003825788768232;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,6108771726917623;111,48508401624663;29;3,844313241939539;Computers and Components / Computer component / Photocopier;
Canon CanoScan LIDE 110;0,0012420860410092926;0,22668070248419592;4;0,05667017562104898;Computers and Components / Computer component / Scanner;
TFT Monitor Samsung S27C750P;0,029940162648253037;5,4640796833061795;100;0,0546407968330618;Computers and Components / Monitor / Second TFT display Monitor;
Active Speaker Trust Tytan 2.1;-0,025639933441256823;-4,67928785302937;0;0;Education and Entertainment equipment / Hifi devices / Active speaker;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,2338619320812012;42,67980260481922;72;0,5927750361780447;Computers and Components / Monitor / TFT display;
Gaming Computer;2,999515414300654;547,4115631098693;300;1,8247052103662311;Computers and Components / Computer / Workstation or Gaming Rig;
Cell Phone Samsung Charging;0,00010699999999999917;0,019527499999999847;0;0;Education and Entertainment equipment / Smartphones;
SAT Receiver / Kathrein UFS913;0,005190333100855074;0,947235790906051;31;0,030555993255033904;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
TV Medion MD20123_DE_A;-0,04919828772021856;-8,978687508939887;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Miele DG 1450;2,0406314251347126;372,4152350870851;62;6,006697340114275;Kitchen equipment / Baking oven / Normal sized Baking oven;
Handmixer / Phillips Robust HR 1581;0,009991651979168698;1,8234764861982875;1;1,8234764861982875;Kitchen equipment / Handmixer;
Westinghouse Fanaway;0;0;14;0;Devices for enviromental improvement / Fan / Ceiling fan;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power;0,7098907148354346;129,55505545746684;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front right;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;0,2121515986605917;38,717666755557985;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind left;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;0,526889733193804;96,15737630786924;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Microwave / Panasonic NN 5259;0,20940885691322192;38,217116386663;46;0,8308068779709348;Kitchen equipment / Microwave;
Kitchen Machine Bosch UM4VE2B;0,00031538970133333327;0,05755862049333332;0;0;Kitchen equipment / Kitchen Machines;
Extractor Hood / Miele DA 429-4;0,18033195500864935;32,910581789078506;16;2,0569113618174066;Kitchen equipment / Extractor hood / Cabinet mounted;
Miele DA 61;0,05066327487018808;9,246047663809325;16;0,5778779789880828;Kitchen equipment / Extractor hood / Wall mounted;
Deep Fryer / DeLonghi F 28311.W Rotofritteuse;0;0;100;0;Kitchen equipment / Deep Fryer;
Ricecooker / Tristar RK-6112;0;0;20;0;Kitchen equipment / Rice Cooker;
Steam Cooker / Phillips HD9140;0;0;30;0;Kitchen equipment / Steam cooker;
Immersion Blender Noah Hit Top;0,002325015473958333;0,42431532399739574;0;0;Kitchen equipment / Electric whisks / Immersion blender;
Fondue / Unold 48746 Asia;0,9115873050432208;166,3646831703878;7;23,7663833100554;Kitchen equipment / Fondue;
Bauknecht GTE 260;0;0;282;0;Appliances / Freezer;
Dryer / Miele T 8626 WP;1,2272508675592018;223,9732833295543;349;0,6417572588239379;Appliances / Dryer;
