Device name;4;
Concert;0;
Supermarket;10320;
Gardening Tools;0;
Book;0;
Sunbed;0;
Sunbed 2;0;
Book;0;
Day Trip Bus;0;
Snow Shovel;0;
Couch;0;
Couch;0;
Magazine;0;
Newspaper;0;
Bed 1;0;
Office;142920;
Board Games;0;
Cinema;0;
Schoolbook;0;
School (with holidays);0;
Shopping Cart;0;
Bed 3 (Children);0;
Summer Camp;0;
Indoor Swimming Pool;6420;
Cleanser;0;
Doctors Office;0;
Mop;0;
Watering Can;0;
Public Market;6840;
Duster;0;
Bed 2;114960;
Volunteering Place;11580;
Window;0;
Schoolbook;0;
Generic Music Instrument without Electricity;17340;
School (with holidays);0;
Bed 4;0;
Outdoor Swimming Pool;0;
Sums;310380;
