-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,0005999735124172365;0,9269;;
Dishwashing;3,547531602468124E-05;0,0548;;
Laundry;1,1859708421107281E-05;0,0183;;

Sum;0,0006473085368630251;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;6,345029239766081E-06;0,0098;;
Office;0,00014306802169407443;0,2210;;
TV/Audio;3,7428199454905955E-05;0,0578;;
Cooling;1,4335557805555542E-05;0,0221;;
Washing;2,0099939649836793E-05;0,0311;;
Other;5,7319756318244345E-05;0,0886;;
Cooking;0,0002846231815242037;0,4397;;
Freezing;1,598703720150565E-05;0,0247;;
Dish washing;3,547531602468124E-05;0,0548;;
Drying;3,262649795025135E-05;0,0504;;

Sum;0,0006473085368630251;1;
