-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,000542897084957395;0,9895;;
Dishwashing;4,281400896228621E-06;0,0078;;
Laundry;1,4940654413112316E-06;0,0027;;

Sum;0,0005486725512949349;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;6,027777777777776E-06;0,0110;;
Office;0,00012324870589021099;0,2246;;
TV/Audio;3,0049042570321383E-05;0,0548;;
Cooling;7,513126843055549E-06;0,0137;;
Washing;5,113754221082495E-06;0,0093;;
Other;5,2396825961970115E-05;0,0955;;
Cooking;0,0002738590587401189;0,4991;;
Freezing;1,5187685341430366E-05;0,0277;;
Dish washing;4,281400896228621E-06;0,0078;;
Drying;3,099517305273877E-05;0,0565;;

Sum;0,0005486725512949349;1;
