-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,00012278445470317932;1,0276;;
Dishwashing;-7,003941037431692E-06;-0,0586;;
Laundry;3,7031927675701778E-06;0,0310;;

Sum;0,00011948370643331782;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;1,9812347451059265E-06;0,0166;;
Office;1,7804415349873857E-05;0,1490;;
TV/Audio;4,167714287008427E-07;0,0035;;
Cooling;7,513126843055549E-06;0,0629;;
Washing;2,1091154087040596E-06;0,0177;;
Other;1,6019220679083257E-05;0,1341;;
Cooking;6,546419153033636E-05;0,5479;;
Freezing;4,991950766186177E-06;0,0418;;
Dish washing;-7,003941037431692E-06;-0,0586;;
Drying;1,0187620719703453E-05;0,0853;;

Sum;0,00011948370643331782;1;
