Timestep;Time span;Sum [Watt]
0;00:00:00;6667,546738442756
1;00:01:00;6652,513379587581
2;00:02:00;6651,241990184921
3;00:03:00;6589,566417308955
4;00:04:00;6574,109852263862
5;00:05:00;6549,178910663632
6;00:06:00;6532,990027881084
7;00:07:00;6523,576374388414
8;00:08:00;6489,707995511531
9;00:09:00;6419,602788008809
10;00:10:00;6334,618707764694
11;00:11:00;6326,837010576014
12;00:12:00;6304,883233373334
13;00:13:00;6292,178864271003
14;00:14:00;6280,943534148088
15;00:15:00;6252,143111529714
16;00:16:00;6251,278699305851
17;00:17:00;6236,810913692348
18;00:18:00;6233,515757183634
19;00:19:00;6216,952954223142
20;00:20:00;6197,195469185058
21;00:21:00;6195,2413043430015
22;00:22:00;6139,785082274828
23;00:23:00;6073,214252580611
24;00:24:00;6065,095291721728
25;00:25:00;6054,349326841625
26;00:26:00;6050,030719976566
27;00:27:00;6047,540469458639
28;00:28:00;6043,449267171962
29;00:29:00;6036,317996482338
30;00:30:00;6033,841191126599
31;00:31:00;6029,577216317271
32;00:32:00;6016,148289586178
33;00:33:00;5970,8243706469475
34;00:34:00;5969,048937668623
35;00:35:00;5958,989535747288
36;00:36:00;5957,828550109371
37;00:37:00;5956,824836153132
38;00:38:00;5945,5433143390555
39;00:39:00;5939,940967155458
40;00:40:00;5933,149281805394
41;00:41:00;5907,532580369401
42;00:42:00;5901,2601618754825
43;00:43:00;5897,397796883041
44;00:44:00;5889,892251104789
45;00:45:00;5888,59697535129
46;00:46:00;5886,935272187326
47;00:47:00;5822,692215305682
48;00:48:00;5735,4451783318955
49;00:49:00;5700,209089493977
50;00:50:00;5680,829079981413
51;00:51:00;5677,770072132173
52;00:52:00;5628,251956932055
53;00:53:00;5583,3340782849
54;00:54:00;5555,379462951195
55;00:55:00;5540,578806938556
56;00:56:00;5526,0841535277905
57;00:57:00;5503,794005487681
58;00:58:00;5466,582608805206
59;00:59:00;5409,93989544214
60;01:00:00;5409,369563166305
61;01:01:00;5390,475350367187
62;01:02:00;5198,971464631879
63;01:03:00;5112,378271028499
64;01:04:00;4822,080284071278
65;01:05:00;4700,498421440953
66;01:06:00;4627,675977343769
67;01:07:00;4620,164318804003
68;01:08:00;4551,766964446226
69;01:09:00;4416,4411206625255
70;01:10:00;4387,48665161285
71;01:11:00;4382,921674157345
72;01:12:00;4342,584429204054
73;01:13:00;3983,783814084239
74;01:14:00;3854,7949678082787
75;01:15:00;3765,5805510910404
76;01:16:00;3758,397806871211
77;01:17:00;3746,5348167665857
78;01:18:00;3664,0792136468044
79;01:19:00;3619,335708895833
80;01:20:00;3561,9712433023833
81;01:21:00;3523,324705011827
82;01:22:00;3519,4409932049975
83;01:23:00;3509,9884831181753
84;01:24:00;3500,342603031612
85;01:25:00;3495,260917044279
86;01:26:00;3485,2055587165714
87;01:27:00;3481,591149604842
88;01:28:00;3449,842262090989
89;01:29:00;3445,7927009362265
90;01:30:00;3426,8897156244802
91;01:31:00;3411,488573180472
92;01:32:00;3379,6755341699513
93;01:33:00;3377,7974917304523
94;01:34:00;3351,145816932791
95;01:35:00;3322,6770191160244
96;01:36:00;3297,904990924977
97;01:37:00;3265,658061779153
98;01:38:00;3242,240658588278
99;01:39:00;3222,8492208489597
100;01:40:00;3222,1834145808975
101;01:41:00;3204,3357962514137
102;01:42:00;3204,2162420659656
103;01:43:00;3198,454597840147
104;01:44:00;3196,404848515132
105;01:45:00;3190,1108711219085
106;01:46:00;3189,920846832999
107;01:47:00;3182,383003910914
108;01:48:00;3176,06314736922
109;01:49:00;3166,427766582959
110;01:50:00;3165,9444215315275
111;01:51:00;3163,0406615020456
112;01:52:00;3161,073935666183
113;01:53:00;3145,2848200911503
114;01:54:00;3143,850897867272
115;01:55:00;3134,753357741397
116;01:56:00;3128,9748763471293
117;01:57:00;3119,603873023185
118;01:58:00;3115,4385905430686
119;01:59:00;3076,85541582769
120;02:00:00;3048,0199955344456
121;02:01:00;3014,8015987410727
122;02:02:00;3004,0490395539096
123;02:03:00;2979,677372038914
124;02:04:00;2973,550635798417
125;02:05:00;2961,684498349144
126;02:06:00;2959,605038467945
127;02:07:00;2959,4569654182264
128;02:08:00;2941,1808133743725
129;02:09:00;2938,7094521897934
130;02:10:00;2936,8662015179116
131;02:11:00;2926,662898047031
132;02:12:00;2925,5003866956913
133;02:13:00;2915,509748322207
134;02:14:00;2915,081769907939
135;02:15:00;2902,675831176795
136;02:16:00;2897,7247443558495
137;02:17:00;2894,856257597235
138;02:18:00;2891,85518203954
139;02:19:00;2888,492383832151
140;02:20:00;2884,738376440829
141;02:21:00;2874,0441707043533
142;02:22:00;2873,650312901357
143;02:23:00;2862,1548115411592
144;02:24:00;2859,4176067379417
145;02:25:00;2847,6500711021004
146;02:26:00;2847,4962526738354
147;02:27:00;2841,6564001876154
148;02:28:00;2835,978354634648
149;02:29:00;2829,5128897592285
150;02:30:00;2828,9307125424566
151;02:31:00;2827,3069832813826
152;02:32:00;2823,4319351181375
153;02:33:00;2821,5783818980253
154;02:34:00;2817,149324226018
155;02:35:00;2814,3509311362855
156;02:36:00;2806,723362403798
157;02:37:00;2806,4599871155037
158;02:38:00;2798,855824470366
159;02:39:00;2795,461941450654
160;02:40:00;2790,372440320592
161;02:41:00;2780,5540307956076
162;02:42:00;2776,2435251797806
163;02:43:00;2767,8520394392804
164;02:44:00;2767,317551571965
165;02:45:00;2766,9085397316653
166;02:46:00;2760,230951232031
167;02:47:00;2758,2430337814326
168;02:48:00;2757,995821123647
169;02:49:00;2754,4982989829805
170;02:50:00;2745,4465714083412
171;02:51:00;2744,1108557686857
172;02:52:00;2739,7680791100283
173;02:53:00;2736,1350291309122
174;02:54:00;2728,3118975220896
175;02:55:00;2727,0550083858943
176;02:56:00;2724,5362151616328
177;02:57:00;2714,3905076065394
178;02:58:00;2712,324655524492
179;02:59:00;2703,856105836594
180;03:00:00;2701,2794525686068
181;03:01:00;2696,603709272738
182;03:02:00;2694,386918834831
183;03:03:00;2689,4597138727827
184;03:04:00;2685,459757249015
185;03:05:00;2678,301201767253
186;03:06:00;2677,9204014304783
187;03:07:00;2676,217421679162
188;03:08:00;2676,013762907087
189;03:09:00;2675,72533512779
190;03:10:00;2673,845721874042
191;03:11:00;2667,3647210836484
192;03:12:00;2662,26365781612
193;03:13:00;2659,2696703985603
194;03:14:00;2648,987492270976
195;03:15:00;2647,1873595027755
196;03:16:00;2643,8585082577288
197;03:17:00;2641,52351106635
198;03:18:00;2638,8289746597693
199;03:19:00;2630,192611031306
200;03:20:00;2628,957372205951
201;03:21:00;2628,0891874143103
202;03:22:00;2625,394282566331
203;03:23:00;2624,828484385754
204;03:24:00;2620,1593636215553
205;03:25:00;2617,8653029020093
206;03:26:00;2614,8719498659643
207;03:27:00;2606,151012587111
208;03:28:00;2600,7554980600476
