Device;Load Type;Profile;Number of Activations
AEG NM 2701 Premium;Apparent;01 h 0 min 100% [Synthetic];1
AEG NM 2701 Premium;Electricity;01 h 0 min 100% [Synthetic];1
AEG NM 2701 Premium;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];1
AEG NM 2701 Premium;Reactive;01 h 0 min 100% [Synthetic];1
Bar;None;04 h 0 min 100% [Synthetic];3
Bathroom Light (100W);Apparent;Bath - light [Synthetic for Light Device];26
Bathroom Light (100W);Electricity;Bath - light [Synthetic for Light Device];26
Bathroom Light (100W);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];26
Bathroom Light (100W);Reactive;Bath - light [Synthetic for Light Device];26
Bathroom Mirror Light 10 W (LED);Apparent;Bath - light [Synthetic for Light Device];26
Bathroom Mirror Light 10 W (LED);Electricity;Bath - light [Synthetic for Light Device];26
Bathroom Mirror Light 10 W (LED);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];26
Bathroom Mirror Light 10 W (LED);Reactive;Bath - light [Synthetic for Light Device];26
Bathroom Sink 15 L/Min;Warm Water;0 h 01 min 100% [Synthetic];102
Bathroom Sink 15 L/Min;Warm Water;0 h 01 min 50% [Synthetic];10
Bed 1;None;10 h 0 min 100% [Synthetic];4
Bed 2;None;10 h 0 min 100% [Synthetic];5
Bed 3 (Children);None;08 h 0 min 100% [Synthetic];5
Bed 4;None;10 h 0 min 100% [Synthetic];5
Bed 5;None;10 h 0 min 100% [Synthetic];1
Bed 5;None;12h 0 min 100% [Synthetic];4
Bedroom Light (60W);Apparent;Bedroom - light [Synthetic for Light Device];234
Bedroom Light (60W);Electricity;Bedroom - light [Synthetic for Light Device];234
Bedroom Light (60W);Inner Device Heat Gains;Bedroom - light [Synthetic for Light Device];234
Bedroom Light (60W);Reactive;Bedroom - light [Synthetic for Light Device];234
Book;None;0 h 01 min 100% [Synthetic];773
Book;None;01 h 0 min 100% [Synthetic];3
Braun Multiquick 3 MR 300 Soup;Apparent;0 h 01 min 100% [Synthetic];3
Braun Multiquick 3 MR 300 Soup;Electricity;0 h 01 min 100% [Synthetic];3
Braun Multiquick 3 MR 300 Soup;Inner Device Heat Gains;0 h 01 min 100% [Synthetic];3
Braun Multiquick 3 MR 300 Soup;Reactive;0 h 01 min 100% [Synthetic];3
CD/DVD Player / Phillips HDR3810/31;Apparent;01 h 30 min 100% [Synthetic];9
CD/DVD Player / Phillips HDR3810/31;Apparent;02 h 0 min 100% [Synthetic];7
CD/DVD Player / Phillips HDR3810/31;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Phillips HDR3810/31;Electricity;01 h 30 min 100% [Synthetic];9
CD/DVD Player / Phillips HDR3810/31;Electricity;02 h 0 min 100% [Synthetic];7
CD/DVD Player / Phillips HDR3810/31;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Phillips HDR3810/31;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];9
CD/DVD Player / Phillips HDR3810/31;Inner Device Heat Gains;02 h 0 min 100% [Synthetic];7
CD/DVD Player / Phillips HDR3810/31;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Phillips HDR3810/31;Reactive;01 h 30 min 100% [Synthetic];9
CD/DVD Player / Phillips HDR3810/31;Reactive;02 h 0 min 100% [Synthetic];7
CD/DVD Player / Phillips HDR3810/31;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Canon CanoScan LIDE 110;Apparent;0 h 10 min 100% [Synthetic];1
Canon CanoScan LIDE 110;Electricity;0 h 10 min 100% [Synthetic];1
Canon CanoScan LIDE 110;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];1
Canon CanoScan LIDE 110;Reactive;0 h 10 min 100% [Synthetic];1
Children Room Light Device (20W);Apparent;Children's room - light [Synthetic for Light Device];14
Children Room Light Device (20W);Apparent;Children's room 2 - light [Synthetic for Light Device];6
Children Room Light Device (20W);Electricity;Children's room - light [Synthetic for Light Device];14
Children Room Light Device (20W);Electricity;Children's room 2 - light [Synthetic for Light Device];6
Children Room Light Device (20W);Inner Device Heat Gains;Children's room - light [Synthetic for Light Device];14
Children Room Light Device (20W);Inner Device Heat Gains;Children's room 2 - light [Synthetic for Light Device];6
Children Room Light Device (20W);Reactive;Children's room - light [Synthetic for Light Device];14
Children Room Light Device (20W);Reactive;Children's room 2 - light [Synthetic for Light Device];6
Cleanser;None;01 h 0 min 100% [Synthetic];1
Cloth Drying Rack;None;0 h 20 min 100% [Synthetic];2
Coffee Machine / Braun Impression KF 600;Apparent;0 h 10 min 100% [Synthetic];8
Coffee Machine / Braun Impression KF 600;Electricity;0 h 10 min 100% [Synthetic];8
Coffee Machine / Braun Impression KF 600;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];8
Coffee Machine / Braun Impression KF 600;Reactive;0 h 10 min 100% [Synthetic];8
Community College;None;03 h 0 min 100 % [Synthetic];1
Couch;None;01 h 0 min 100% [Synthetic];8
Couch;None;02 h 0 min 100% [Synthetic];16
Dishwashers / Bosch SGI 4662 Silence Comfort;Apparent;Dishwasher profile [Synthetic];3
Dishwashers / Bosch SGI 4662 Silence Comfort;Cold Water;0 h 05 min 100% [Synthetic];3
