CHR59 Dani (37/Male)
Activity;Time Used [60 seconds];Percentage
sleep;1181;0,41
cooking;114;0,04
hygiene;66;0,02
Active Entertainment (Computer, Internet etc);340;0,12
Passive Entertainment (TV etc.);587;0,20
Outside recreation;470;0,16
other;122;0,04
CHR59 Sonea (12/Female)
Activity;Time Used [60 seconds];Percentage
hygiene;433;0,15
Active Entertainment (Computer, Internet etc);1161;0,40
Passive Entertainment (TV etc.);432;0,15
cooking;114;0,04
other;24;0,01
sleep;716;0,25
CHR59 Simo (8/Male)
Activity;Time Used [60 seconds];Percentage
hygiene;378;0,13
Offline Entertainment;276;0,10
Passive Entertainment (TV etc.);257;0,09
school;725;0,25
cooking;163;0,06
Entertainment;206;0,07
sleep;875;0,30
CHR59 Sorra (12/Female)
Activity;Time Used [60 seconds];Percentage
hygiene;565;0,20
Offline Entertainment;314;0,11
cooking;71;0,02
sleep;1045;0,36
Passive Entertainment (TV etc.);320;0,11
other;241;0,08
Active Entertainment (Computer, Internet etc);324;0,11
CHR59 Rachela (35/Female)
Activity;Time Used [60 seconds];Percentage
hygiene;722;0,25
cooking;530;0,18
cleaning;217;0,08
Passive Entertainment (TV etc.);292;0,10
school;171;0,06
sleep;629;0,22
Outside recreation;257;0,09
Active Entertainment (Computer, Internet etc);62;0,02
