------
CHR59 Dani (37/Male);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
sleep bed 01 (10 h);1181;sleeping;sleep bed 01 (10 h);Sleep
eat a cooked meal (interrupting) (eat breakfast (1 h));114;cooking;eat breakfast (1 h);Food
take a shower (men);43;hygiene;take a shower (men);Hygiene
go to the toilet;23;hygiene;go to the toilet;Hygiene
use the laptop for Internet, Movie, Music, News (2 h);110;recreation;use the laptop for Internet, Movie, Music, News (2 h);Media Use
watch TV with someone (watch sports on TV with SAT Reciever (2 h));113;recreation;watch sports on TV with SAT Reciever (2 h);Media Use
go shopping (4 h);240;shopping;go shopping (4 h);Entertainment
watch a movie for 2 h;125;recreation;watch a movie for 2 h;Media Use
use the laptop (1_5 h);79;recreation;use the laptop (1_5 h);Media Use
watch sports on TV with SAT Reciever (2 h);95;recreation;watch sports on TV with SAT Reciever (2 h);Media Use
watch TV (1 h);51;recreation;watch TV (1 h);Media Use
use the computer (1_5 h);90;recreation;use the computer (1_5 h);Media Use
watch the news;14;recreation;watch the news;Media Use
Replacement Activity B;26;recreation;Replacement Activity B;Media Use
Replacement Activity D;41;recreation;Replacement Activity D;Media Use
Replacement Activity C;20;recreation;Replacement Activity C;Media Use
Replacement Activity A;35;recreation;Replacement Activity A;Media Use
watch a movie for 1 h 30 min with home cinema system;87;recreation;watch a movie for 1 h 30 min with home cinema system;Media Use
use the laptop (1 h);61;recreation;use the laptop (1 h);Media Use
watch TV with someone (watch TV (1 h));12;recreation;watch TV (1 h);Media Use
watch a movie for 1 h 30 min;90;recreation;watch a movie for 1 h 30 min;Media Use
go to a bar (4 h);230;recreation;go to a bar (4 h);Events
------
CHR59 Sonea (12/Female);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
go to the toilet;272;hygiene;go to the toilet;Hygiene
use the laptop (1_5 h);367;recreation;use the laptop (1_5 h);Media Use
take a shower without hair washing (women);74;hygiene;take a shower without hair washing (women);Hygiene
get ready in the morning (children);20;hygiene;get ready in the morning (children);Hygiene
watch TV with someone (watch a movie for 2 h);105;recreation;watch a movie for 2 h;Media Use
use the laptop for Internet, Movie, Music, News (2 h);315;recreation;use the laptop for Internet, Movie, Music, News (2 h);Media Use
eat a cooked meal (interrupting) (eat breakfast (1 h));114;cooking;eat breakfast (1 h);Food
play Xbox (1 h);122;recreation;play Xbox (1 h);Games
use the computer (1_5 h);271;recreation;use the computer (1_5 h);Media Use
watch TV (1 h);198;recreation;watch TV (1 h);Media Use
use the computer with external HD (1 h);67;recreation;use the computer with external HD (1 h);Media Use
join XBox game (play Xbox (1 h));1;recreation;play Xbox (1 h);Games
Replacement Activity C;4;recreation;Replacement Activity C;Media Use
Replacement Activity D;4;recreation;Replacement Activity D;Media Use
Replacement Activity B;6;recreation;Replacement Activity B;Media Use
Replacement Activity A;10;recreation;Replacement Activity A;Media Use
sleep bed 03 (08 h) Child;716;sleeping;sleep bed 03 (08 h) Child;Sleep
take a shower with hair washing (women) (5 min hair drying);67;hygiene;take a shower with hair washing (women) (5 min hair drying);Hygiene
use the laptop (1 h);65;recreation;use the laptop (1 h);Media Use
use the computer (1 h);76;recreation;use the computer (1 h);Media Use
watch TV with someone (watch a movie for 1 h 30 min);6;recreation;watch a movie for 1 h 30 min;Media Use
------
CHR59 Simo (8/Male);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
go to the toilet;358;hygiene;go to the toilet;Hygiene
play with toys (1 h);60;recreation;play with toys (1 h);Games
get ready in the morning (children);20;hygiene;get ready in the morning (children);Hygiene
watch a movie for 2 h;112;recreation;watch a movie for 2 h;Media Use
go to primary school for 6h every day, with vacation;725;work;go to primary school for 6h every day, with vacation;Work / School
eat a cooked meal (interrupting) (cook with immersion blender);36;cooking;cook with immersion blender;Food
watch TV (1 h);45;recreation;watch TV (1 h);Media Use
play Xbox (1 h);66;recreation;play Xbox (1 h);Games
play with toys (2 h);120;recreation;play with toys (2 h);Games
play with wooden toys (1 h);67;recreation;play with wooden toys (1 h);Entertainment
sleep bed 04 (10 h) Child;875;sleeping;sleep bed 04 (10 h) Child;Sleep
watch TV with someone (watch TV (1 h));34;recreation;watch TV (1 h);Media Use
play with toys (1_5 h);96;recreation;play with toys (1_5 h);Games
play with wooden toys (2 h);139;recreation;play with wooden toys (2 h);Entertainment
eat a cooked meal (interrupting) (make fondue and eat it);127;cooking;make fondue and eat it;Food
------
CHR59 Sorra (12/Female);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
get ready in the morning (children);495;hygiene;get ready in the morning (children);Hygiene
take a shower with hair washing (women) (20 min hair drying);60;hygiene;take a shower with hair washing (women) (20 min hair drying);Hygiene
read a book (1 h);16;recreation;read a book (1 h);Hobby
eat a cooked meal (interrupting) (eat breakfast (1 h));55;cooking;eat breakfast (1 h);Food
go to the toilet;10;hygiene;go to the toilet;Hygiene
make and drink tea (15 min);16;cooking;make and drink tea (15 min);Food
take a nap;77;sleeping;take a nap;Sleep
