Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Kitchen Light (100W);0,8766666666666665;159,99166666666665;0;0;(no category);
Living Room Light (Energy Saving Lamp, 20W);0,5109999999999999;93,25749999999998;0;0;(no category);
Bathroom Light (100W);0,5616666666666665;102,50416666666665;0;0;(no category);
Bathroom Mirror Light 10 W (LED);0,056166666666666656;10,250416666666665;0;0;(no category);
Bedroom Light (60W);0,3549999999999999;64,78749999999998;0;0;(no category);
Children Room Light (200W);0;0;0;0;(no category);
Children Room Light Device (20W);0,2776666666666666;50,67416666666666;0;0;(no category);
Children Room Light Device (20W);0,11233333333333331;20,50083333333333;0;0;(no category);
Egg Cooker / Russell Hobbs 14048-56 Stylo;0,2693301308747996;49,15274888465093;0;0;Kitchen equipment / Egg cooker;
Juicer / Moulinex Vitafruit;0,2859955447137928;52,194186910267184;0;0;Kitchen equipment / Juicer;
Kitchen radio / AEG KRC 4323 CD;0,15997965197041625;29,196286484600964;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;8,670103382180471;1582,293867247936;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Coffee Machine / Braun Impression KF 600;1,5440782834113462;281,7942867225707;0;0;Kitchen equipment / Coffee equipment / Coffee machine;
Food Slicer / DOMO Schneidemaschine DO521S;0,033902554984306166;6,187216284635875;0;0;Kitchen equipment / Food slicer;
Toaster Salco MT 400;0,40195704244945357;73,35716024702528;0;0;Kitchen equipment / Toaster;
PC / Acer 8400;0,38662453891973486;70,55897835285161;0;0;Computers and Components / Computer / PC;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,5842337790559066;106,62266467770294;0;0;Computers and Components / Monitor / TFT display;
Epson Stylus Color 860;0,019655257566079713;3,5870845058095475;0;0;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;1,0319965558351503;188,3393714399149;0;0;Computers and Components / Computer component / Photocopier;
Canon CanoScan LIDE 110;0,000476519138686516;0,08696474281028917;0;0;Computers and Components / Computer component / Scanner;
External Harddrive Iomega 3.5";0,1008634098718832;18,407572301618686;0;0;Computers and Components / Computer component / External Harddrives;
Laptop / ACER BT.00603.043 Replacement laptop battery;3,1890776473508966;582,0066706415387;0;0;Computers and Components / Computer / Laptop;
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;0,7650141755216929;139,61508703270897;0;0;Kitchen equipment / Electric kettle;
Fancy Ceiling Lights with at least 3 Bulbs;0,5020220463984286;91,61902346771322;0;0;Light;
CD/DVD Player / Phillips HDR3810/31;0,7326307176824758;133,70510597705183;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
Panasonic TX-P58V10E;21,075420610743382;3846,264261460667;0;0;Education and Entertainment equipment / Entertainment device / Television set;
SAT Receiver / Kathrein UFS913;0,5347875588411991;97,59872948851884;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Miele H 5241 B;6,726785211817121;1227,6383011566245;0;0;Kitchen equipment / Baking oven / Normal sized Baking oven;
Handmixer / Phillips Robust HR 1581;0;0;0;0;Kitchen equipment / Handmixer;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power;1,9201156855202104;350,4211126074384;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front right;
Microwave / Panasonic NN-V 359 W Inverter;0,2885179174197035;52,65451992909589;0;0;Kitchen equipment / Microwave;
Extractor Hood / Miele DA 429-4;0,503498989440763;91,88856557293924;0;0;Kitchen equipment / Extractor hood / Cabinet mounted;
Miele DA 61;0,13069339354677498;23,851544322286433;0;0;Kitchen equipment / Extractor hood / Wall mounted;
Deep Fryer / DeLonghi F 28311.W Rotofritteuse;0;0;0;0;Kitchen equipment / Deep Fryer;
Ricecooker / Tristar RK-6112;0;0;0;0;Kitchen equipment / Rice Cooker;
Steam Cooker / Phillips HD9140;0;0;0;0;Kitchen equipment / Steam cooker;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;1,4197862184650678;259,11098486987487;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Braun Multiquick 3 MR 300 Soup;0,030762089357574275;5,6140813077573055;0;0;Kitchen equipment / Electric whisks / Immersion blender;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv;0,3925611121088524;71,64240295986556;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind left;
Fondue / Unold 48746 Asia;2,574063842156652;469,76665119358904;0;0;Kitchen equipment / Fondue;
Dishwashers / Bosch SGI 4662 Silence Comfort;0,5731882869643056;104,60686237098577;242;0,43225976186357756;Kitchen equipment / Dishwashers;
Dryer / Miele T 8626 WP;1,5534400508864183;283,50280928677137;0;0;Appliances / Dryer;
Washing Machine Samsung P1405J;0,26392268678600006;48,16589033844501;0;0;Appliances / Washing machine;
Home Cinema System / Samsung HT-D5550;0,6022133112645558;109,90392930578143;0;0;Education and Entertainment equipment / Hifi devices / Home cinema system;
Hifi System / Sharp XL-HF300PH;0;0;0;0;Education and Entertainment equipment / Hifi devices / Compact System;
AEG NM 2701 Premium;0,08175670858226268;14,920599316262939;0;0;Appliances / Sewing machine;
Hair Dryer Babyliss 2000;2,441801149049999;445,6287097016248;0;0;Bath devices / Hair dryer;
Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260;0;0;0;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;
SAT Receiver / Kathrein UFS913;0,12703385369552822;23,1836782994339;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
TV Medion MD20123_DE_A;0,22469245686175057;41,006373377269476;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Microsoft Xbox 360;1,0427463879885626;190,30121580791266;0;0;Education and Entertainment equipment / Video game console / Xbox360;
SAT Receiver / Kathrein UFS913;0,33769626593469987;61,629568533082725;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
TV / Phillips Goya 9770 VT;1,899482291665314;346,6555182289198;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Liebherr CBP 4056-20A;2,9140224811229345;531,8091028049355;0;0;(no category);
Kitchen radio / AEG KRC 4323 CD;0,14758285495149825;26,933871028648433;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
PC / Acer 8400;0,1406366164844876;25,666182508418988;0;0;Computers and Components / Computer / PC;
Epson Stylus Color 860;0,028222592043425;5,1506230479250625;0;0;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,29913611749100694;54,59234144210877;0;0;Computers and Components / Computer component / Photocopier;
Router O2 Box 6431;0,7692107048114638;140,38095362809216;0;0;(no category);
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,10906345068028907;19,904079749152753;0;0;Computers and Components / Monitor / TFT display;
Electric Razor Braun Cruzer 5;0,11414908646775676;20,83220828036561;0;0;(no category);
Electric Tooth Brush / Phillips HX9332;0,23993763946484087;43,78861920233346;0;0;(no category);
Phone Siemens Gigaset C320;0,3334079630270573;60,84695325243795;0;0;(no category);
Laptop / ACER BT.00603.043 Replacement laptop battery;0,5202460853613532;94,94491057844695;0;0;Computers and Components / Computer / Laptop;
CD/DVD Player / Phillips HDR3810/31;0,07166610595405129;13,07906433661436;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
SAT Receiver / Kathrein UFS913;0,1139258940960715;20,79147567253305;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Panasonic TX-P58V10E;0,6647846270660273;121,32319443954998;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Yamaha RX-V667;1,439525083602458;262,7133277574486;0;0;(no category);
Liebherr GP 2756-20A;2,190956383860968;399,84954005462663;0;0;(no category);
Microwave / Panasonic NN-V 359 W Inverter;2,6403601801049827;481,86573286915933;0;0;Kitchen equipment / Microwave;
Home Cinema System / Samsung HT-D5550;0,22712910339450726;41,45106136949757;0;0;Education and Entertainment equipment / Hifi devices / Home cinema system;
Hifi System / Sharp XL-HF300PH;0,3605812670366834;65,80608123419472;0;0;Education and Entertainment equipment / Hifi devices / Compact System;
SAT Receiver / Kathrein UFS913;0,1504291351944229;27,45331717298218;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
TV Medion MD20123_DE_A;0,031243748061895137;5,701984021295862;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Microsoft Xbox 360;0,3963449566119865;72,33295458168753;0;0;Education and Entertainment equipment / Video game console / Xbox360;
SAT Receiver / Kathrein UFS913;0,13164484252649278;24,025183761084932;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
TV / Phillips Goya 9770 VT;0,24813503965429953;45,28464473690966;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Sums;80,45574927609317;14683,174242887007;242
