Device name;Usage sum in this simulation [None];Usage sum in this simulation linear extrapolated to 1 year [None];Comparison Value from the device entry [None];Percentage of the comparison value [1 = 100%];Device Category;
Balcony Flower Pots;0;0;0;0;Other;
Bar;0;0;0;0;External locations;
Couch;0;0;0;0;Furniture;
Book;0;0;0;0;Other;
Shopping Cart;0;0;0;0;External locations;
Book;0;0;0;0;Other;
Couch;0;0;0;0;Furniture;
Magazine;9060;1653450;0;0;Other;
Newspaper;0;0;0;0;Other;
Bed 1;0;0;0;0;Furniture;
Cleanser;0;0;0;0;Cleaning devices;
Community College;10260;1872450;0;0;Other;
Cloth Drying Rack;2340;427050;0;0;Furniture;
Supermarket;5280;963600;0;0;Other;
Bed 2;141120;25754400;0;0;Furniture;
Schoolbook;0;0;0;0;Other;
Toys;0;0;0;0;Other;
Wooden Toys;93300;17027250;0;0;Other;
School (primary);0;0;0;0;External locations;
Toys;0;0;0;0;Other;
Bed 4;0;0;0;0;Furniture;
Schoolbook;0;0;0;0;Other;
School (with holidays);0;0;0;0;External locations;
Bed 3 (Children);0;0;0;0;Furniture;
Schoolbook;0;0;0;0;Other;
Horse;0;0;0;0;Other;
School (with holidays);0;0;0;0;External locations;
Bed 5;0;0;0;0;Furniture;
Sums;261360;47698200;0
