Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Kitchen Light (100W);0,2881463988734743;52,58671779440906;0;0;(no category);
Living Room Light (Energy Saving Lamp, 20W);0,1679575777463956;30,6522579387172;0;0;(no category);
Bathroom Light (100W);0,18461090574212954;33,69149029793864;0;0;(no category);
Bathroom Mirror Light 10 W (LED);0,018461090574212868;3,3691490297938484;0;0;(no category);
Bedroom Light (60W);0,11668285733849713;21,29462146427573;0;0;(no category);
Children Room Light (200W);0;0;0;0;(no category);
Children Room Light Device (20W);0,09126461987132962;16,655793126517658;0;0;(no category);
Children Room Light Device (20W);0,036922181148425735;6,738298059587697;0;0;(no category);
Egg Cooker / Russell Hobbs 14048-56 Stylo;0,08852453306428966;16,155727284232864;9;1,795080809359207;Kitchen equipment / Egg cooker;
Juicer / Moulinex Vitafruit;0,09400218969939458;17,155399620139512;0;0;Kitchen equipment / Juicer;
Kitchen radio / AEG KRC 4323 CD;0,05258276875472231;9,596355297736821;4;2,3990888244342052;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;2,8497251719802223;520,0748438863906;160;3,250467774289941;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Coffee Machine / Braun Impression KF 600;0,5075139889091742;92,6213029759243;17;5,448311939760252;Kitchen equipment / Coffee equipment / Coffee machine;
Food Slicer / DOMO Schneidemaschine DO521S;0,011143230948293874;2,033639648063632;1;2,033639648063632;Kitchen equipment / Food slicer;
Toaster Salco MT 400;-0,018834536510928968;-3,4373029132445367;0;0;Kitchen equipment / Toaster;
PC / Acer 8400;0,1270773406150239;23,19161466224186;61;0,3801904042990469;Computers and Components / Computer / PC;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,19202835688425623;35,045175131376766;72;0,486738543491344;Computers and Components / Monitor / TFT display;
Epson Stylus Color 860;0,006460370745166986;1,179017660992975;30;0,03930058869976583;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,3392008645023447;61,90415777167791;29;2,134626130057859;Computers and Components / Computer component / Photocopier;
Canon CanoScan LIDE 110;0,00015662426669978022;0,02858392867270989;4;0,007145982168177472;Computers and Components / Computer component / Scanner;
External Harddrive Iomega 3.5";0,032276291159002636;5,890423136517981;0;0;Computers and Components / Computer component / External Harddrives;
Laptop / ACER BT.00603.043 Replacement laptop battery;1,0481991328654432;191,2963417479434;17;11,252725985173141;Computers and Components / Computer / Laptop;
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;0,25144799973049337;45,88925995081504;30;1,5296419983605012;Kitchen equipment / Electric kettle;
Fancy Ceiling Lights with at least 3 Bulbs;0,16500666710052936;30,113716745846606;0;0;Light;
CD/DVD Player / Phillips HDR3810/31;0,24080407186801348;43,94674311591246;33;1,3317194883609837;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
Panasonic TX-P58V10E;6,927155764710369;1264,2059270596424;200;6,321029635298212;Education and Entertainment equipment / Entertainment device / Television set;
SAT Receiver / Kathrein UFS913;0,17577617023850778;32,07915106852767;31;1,0348113247912152;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Miele H 5241 B;2,210987378076521;403,50519649896506;104;3,879857658643895;Kitchen equipment / Baking oven / Normal sized Baking oven;
Handmixer / Phillips Robust HR 1581;0;0;1;0;Kitchen equipment / Handmixer;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power;0,6311115059351098;115,17784983315754;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front right;
Microwave / Panasonic NN-V 359 W Inverter;0,09483125351516446;17,306703766517515;46;0,37623269057646774;Kitchen equipment / Microwave;
Extractor Hood / Miele DA 429-4;0,1654921148027989;30,2023109515108;16;1,887644434469425;Kitchen equipment / Extractor hood / Cabinet mounted;
Miele DA 61;0,042956841110710756;7,839623502704713;16;0,48997646891904456;Kitchen equipment / Extractor hood / Wall mounted;
Deep Fryer / DeLonghi F 28311.W Rotofritteuse;0;0;100;0;Kitchen equipment / Deep Fryer;
Ricecooker / Tristar RK-6112;0;0;20;0;Kitchen equipment / Rice Cooker;
Steam Cooker / Phillips HD9140;0;0;30;0;Kitchen equipment / Steam cooker;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;0,46666116276147257;85,16566220396874;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Braun Multiquick 3 MR 300 Soup;0,010111009813926541;1,8452592910415937;2;0,9226296455207968;Kitchen equipment / Electric whisks / Immersion blender;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv;0,12902859786151769;23,547719109726977;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind left;
Fondue / Unold 48746 Asia;0,8460538706325246;154,40483139043573;7;22,057833055776534;Kitchen equipment / Fondue;
Dishwashers / Bosch SGI 4662 Silence Comfort;1,4218707864140991;259,49141852057306;242;1,0722785889279878;Kitchen equipment / Dishwashers;
Dryer / Miele T 8626 WP;0,5105910530746103;93,18286718611637;349;0,2669996194444595;Appliances / Dryer;
Washing Machine Samsung P1405J;0,6398125740266669;116,76579475986671;0;0;Appliances / Washing machine;
Home Cinema System / Samsung HT-D5550;0,19793794333979042;36,12367465951175;440;0,08209926058979942;Education and Entertainment equipment / Hifi devices / Home cinema system;
Hifi System / Sharp XL-HF300PH;0;0;0;0;Education and Entertainment equipment / Hifi devices / Compact System;
AEG NM 2701 Premium;0,026872130602730082;4,90416383499824;1;4,90416383499824;Appliances / Sewing machine;
Hair Dryer Babyliss 2000;0,8007708692621293;146,14068364033858;0;0;Bath devices / Hair dryer;
Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260;0;0;48;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;
SAT Receiver / Kathrein UFS913;0,04175400852933731;7,6201065566040596;31;0,2458098889227116;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
